labeling,frm,to,dominant,reverse,stems_fwd,stems_rev,p,bonferroni,testable,holds
usas,A3,A10,25,4,20.0,4.0,0.001543879508972168,False,True,False
usas,A9,A10,18,0,14.0,0.0,0.0001220703125,True,True,True
usas,G2.1,A10,21,3,18.0,3.0,0.0014896392822265625,False,True,False
usas,M1,A10,26,2,19.0,2.0,0.00022125244140625,True,True,True
usas,M2,A10,20,0,15.0,0.0,6.103515625e-05,True,True,True
usas,N4,A10,35,5,28.0,5.0,6.618769839406013e-05,True,True,True
usas,Q2.1,A10,26,1,20.0,1.0,2.09808349609375e-05,True,True,True
usas,Z5,A10,36,2,27.0,2.0,1.6242265701293945e-06,True,True,True
usas,Z8f,A10,17,1,12.0,1.0,0.00341796875,False,True,False
usas,Z8m,A10,19,0,16.0,0.0,3.0517578125e-05,True,True,True
usas,Z8m,A3,33,6,23.0,6.0,0.002315700054168701,False,True,False
usas,A7,Z5,80,5,40.0,5.0,7.878384167270269e-08,True,True,True
usas,A7,Z8f,37,0,24.0,0.0,1.1920928955078125e-07,True,True,True
usas,Z8m,A9,21,3,20.0,3.0,0.00048828125,True,True,True
usas,M1,X3.4,16,0,12.0,0.0,0.00048828125,True,True,True
usas,Z5,M1,78,20,61.0,15.0,9.842847414734726e-08,True,True,True
usas,Z8m,M1,30,3,23.0,3.0,8.797645568847656e-05,True,True,True
usas,N4,X3.4,31,6,25.0,6.0,0.0008779102936387062,False,True,False
usas,S3.2,Q2.1,25,2,21.0,2.0,6.604194641113281e-05,True,True,True
usas,Z5,Q2.2,34,8,31.0,7.0,0.00011616700794547796,True,True,True
usas,Z5,T2,24,1,22.0,1.0,5.7220458984375e-06,True,True,True
usas,Y2,X3.4,14,0,12.0,0.0,0.00048828125,True,True,True
usas,Z5,X3.4,35,0,26.0,0.0,2.9802322387695312e-08,True,True,True
usas,Z7,Z5,27,5,24.0,4.0,0.00017999112606048584,True,True,True
usas,Z5,Z8f,153,78,69.0,55.0,0.24292283198051148,False,True,False
usas,Z8m,Z5,145,68,96.0,43.0,8.118471675145188e-06,True,True,True
usas,Z8mf,Z5,51,3,38.0,3.0,1.0479197953827679e-08,True,True,True
usas,Z5,Z8mfn,36,11,22.0,10.0,0.050102459732443094,False,True,False
usas,Z8m,Z8f,53,17,40.0,14.0,0.0005354355028570622,False,True,False
usas,Z8mf,Z8f,29,0,23.0,0.0,2.384185791015625e-07,True,True,True
verbnet,amuse,conjecture,10,0,,,,,False,False
verbnet,appear,declare,24,3,18.0,3.0,0.0014896392822265625,True,True,True
verbnet,assuming_position,declare,10,0,,,,,False,False
verbnet,bring,declare,11,0,,,,,False,False
verbnet,conjecture,declare,15,0,12.0,0.0,0.00048828125,True,True,True
verbnet,cut,declare,17,1,12.0,1.0,0.00341796875,False,True,False
verbnet,escape,declare,11,0,,,,,False,False
verbnet,indicate,declare,14,0,13.0,0.0,0.000244140625,True,True,True
verbnet,escape,run,14,1,11.0,1.0,0.00634765625,False,True,False
verbnet,indicate,manner_speaking,14,1,13.0,1.0,0.0018310546875,True,True,True
verbnet,marry,manner_speaking,19,0,18.0,0.0,7.62939453125e-06,True,True,True
rid,aggression,instrumental_behavior,25,4,21.0,4.0,0.0009105205535888672,True,True,True
rid,aggression,need,13,0,12.0,0.0,0.00048828125,True,True,True
rid,aggression,social_behavior,16,1,15.0,1.0,0.000518798828125,True,True,True
rid,aggression,temporal_references,19,3,13.0,3.0,0.021270751953125,False,True,False
rid,icarian_imagery,instrumental_behavior,13,0,13.0,0.0,0.000244140625,True,True,True
rid,sensation,instrumental_behavior,28,7,19.0,6.0,0.01463329792022705,False,True,False
rid,social_behavior,instrumental_behavior,31,3,25.0,3.0,2.744048833847046e-05,True,True,True
rid,temporal_references,instrumental_behavior,36,9,29.0,8.0,0.0007528970600105822,True,True,True
rid,need,sensation,29,0,26.0,0.0,2.9802322387695312e-08,True,True,True
rid,social_behavior,sensation,49,6,35.0,6.0,4.873598300036974e-06,True,True,True
rid,temporal_references,sensation,49,10,40.0,10.0,2.3861331676755526e-05,True,True,True
framenet,Becoming_aware,Intentionally_create,11,0,,,,,False,False
framenet,Body_movement,Placing,15,0,14.0,0.0,0.0001220703125,True,True,True
framenet,Manipulation,Communication_manner,23,0,20.0,0.0,1.9073486328125e-06,True,True,True
framenet,Request,Communication_manner,14,0,11.0,0.0,0.0009765625,True,True,True
framenet,Statement,Communication_manner,16,2,14.0,2.0,0.004180908203125,False,True,False
