family,pair,faller_jaccard,riser_jaccard,n
amber,base>sft | sft>pref,0.061432456950487345,0.14479039198833032,2182
archangel-dpo,base>sft | sft>pref,0.0,0.07606702460598563,2182
beaver,base>sft | sft>pref,0.07151614492718042,0.3599519928262563,2182
ct-llm,base>sft | sft>pref,8.040721007956818e-05,0.1414035146643709,2182
map-neo,base>sft | sft>pref,0.014008094118495707,0.1958038007049364,2182
minicpm,base>sft | sft>pref,0.00022620030870495987,0.09821711178608732,2182
olmo,base>sft | sft>pref,0.03826621916962381,0.268201996002387,2182
olmo,sft>pref | pref>rlvr,0.0007137836131327088,0.20447283923528925,2182
olmo-32b,base>sft | sft>pref,0.021569866678686836,0.2580222115456265,2182
olmo-32b,sft>pref | pref>rlvr,0.00022210376687988628,0.23625933280453018,2182
olmo-hybrid,base>sft | sft>pref,0.001945743947387328,0.2158137210973444,2182
olmo-tiny,base>sft | sft>pref,0.044077647981221726,0.2668453869813842,2182
olmo-tiny,sft>pref | pref>rlvr,3.506926179203928e-05,0.09426938014267948,2182
olmoe,base>sft | sft>pref,0.06038286431048623,0.32639397661652364,2182
olmoe,sft>pref | pref>rlvr,0.00032723486538747585,0.24100202137859986,2182
pythia,base>sft | sft>pref,0.0,0.28035343666685913,2182
redpajama,base>sft | sft>pref,0.02531292807358452,0.06820354381795316,2182
stablelm,base>sft | sft>pref,0.008163825409793345,0.0668875476702679,2182
tulu,base>sft | sft>pref,0.06905060016009118,0.3708733359341656,2182
tulu,sft>pref | pref>rlvr,0.0,0.10746611888707629,2182
zephyr,base>sft | sft>pref,0.029164874250677056,0.27528423060473695,2182
