family,n_pairs,twin_cos,random_cos
amber,990,0.3811456965545964,0.07965593462577089
beaver,942,0.39185052051262304,0.11475581023958512
ct-llm,816,0.3969358481368616,0.06231235936471266
map-neo,972,0.31797757197780835,0.06630109242745676
minicpm,1082,0.4307474031882591,0.04515136251691729
olmo,1038,0.26161797574644113,0.0196195733663626
olmo-32b,980,0.21749428226232376,0.0144854912483005
olmo-hybrid,948,0.3634947094779446,0.06811081951502758
olmo-tiny,1054,0.3547263965134348,0.05277665232890286
olmoe,838,0.2580405128197322,0.033631646139127086
redpajama,252,0.2881257507233097,0.0557077698566718
stablelm,1056,0.4252570745161255,0.13994793486548587
tulu,376,0.23446700544507698,0.04939541227300651
zephyr,556,0.25967557870334,0.043002329490154534
