stratum,labeling,frm,to,fwd,rev,e_fwd,e_rev,reciprocal,p,bonferroni,frm_name,to_name
ALL,TOKEN,a,closed,449,126,34,27,True,0.4426260049464714,False,,
ALL,TOKEN,a,couldn,152,3,12,3,True,0.03515625,False,,
ALL,TOKEN,a,couldn't,406,42,23,15,True,0.2558750795433298,False,,
ALL,TOKEN,a,felt,1638,187,34,23,True,0.18485048241641844,False,,
ALL,TOKEN,a,gazed,378,50,32,7,True,7.025478407740593e-05,False,,
ALL,TOKEN,a,heard,364,86,29,19,True,0.19341265286193737,False,,
ALL,TOKEN,a,let,1259,402,35,35,True,1.0,False,,
ALL,TOKEN,a,listened,290,42,29,16,True,0.07245426016254441,False,,
ALL,TOKEN,a,pondered,117,5,16,3,True,0.004425048828125,False,,
ALL,TOKEN,a,stared,1116,193,33,23,True,0.2288055412343561,False,,
ALL,TOKEN,a,the,1971,315,37,33,True,0.7202027723528612,False,,
ALL,TOKEN,a,thought,552,85,32,24,True,0.34968195298368476,False,,
ALL,TOKEN,a,watched,1827,239,36,26,True,0.25285439418811073,False,,
ALL,TOKEN,closed,began,503,370,37,27,True,0.26043547657665356,False,,
ALL,TOKEN,began,couldn,134,5,14,4,True,0.0308837890625,False,,
ALL,TOKEN,began,couldn't,150,25,21,12,True,0.16275565745308995,False,,
ALL,TOKEN,began,felt,808,495,33,32,True,1.0,False,,
ALL,TOKEN,began,gazed,219,149,30,22,True,0.3317497633694906,False,,
ALL,TOKEN,heard,began,229,211,29,27,True,0.8938530948350216,False,,
ALL,TOKEN,let,began,786,824,36,34,True,0.9049745264594622,False,,
ALL,TOKEN,listened,began,227,163,33,28,True,0.6089207154048286,False,,
ALL,TOKEN,began,pondered,29,16,13,5,True,0.09625244140625,False,,
ALL,TOKEN,stared,began,685,458,36,27,True,0.31350305329645284,False,,
ALL,TOKEN,began,the,985,3540,37,36,True,1.0,False,,
ALL,TOKEN,thought,began,219,264,31,28,True,0.794843653982861,False,,
ALL,TOKEN,watched,began,971,964,35,32,True,0.8071946913670247,False,,
ALL,TOKEN,covered,closed,90,21,27,11,True,0.013852965261321515,False,,
ALL,TOKEN,covered,felt,118,29,29,15,True,0.048766765904474596,False,,
ALL,TOKEN,covered,gazed,65,5,24,4,True,0.00017999112606048584,False,,
ALL,TOKEN,covered,heard,21,15,10,9,True,1.0,False,,
ALL,TOKEN,covered,let,179,66,29,22,True,0.4010619910279374,False,,
