labeling,frm,to,stems_fwd,stems_rev,pairs_fwd,pairs_rev,p,bonferroni
induced,person_reference,perception_cognition,50,9,71,10,5.264832102225281e-08,True
induced,grammatical_function,perception_cognition,124,43,263,49,2.6714396498593266e-10,True
induced,locomotion_posture,perception_cognition,54,10,75,10,1.9964982237862146e-08,True
induced,locomotion_posture,transfer_possession,21,17,34,19,0.6271025701571489,False
induced,grammatical_function,object_handling,116,95,150,124,0.16840642629329217,False
induced,transfer_possession,perception_cognition,33,10,49,11,0.0006061066312668117,True
induced,entity_noun,object_handling,6,5,6,6,1.0,False
induced,contact_care,perception_cognition,11,0,16,0,0.0009765625,False
induced,person_reference,object_handling,47,12,59,14,5.1256292496887346e-06,True
induced,transfer_possession,object_handling,42,38,56,65,0.7375543089843226,False
induced,speech_act,perception_cognition,55,10,76,12,1.1753602809018608e-08,True
induced,grammatical_function,transfer_possession,68,42,103,50,0.01674502147823378,False
induced,object_handling,perception_cognition,58,10,78,12,2.361627111046021e-09,True
induced,grammatical_function,locomotion_posture,122,98,178,135,0.12078552644297028,False
induced,locomotion_posture,object_handling,55,36,76,40,0.058573528410188855,False
induced,bodily_violence,perception_cognition,10,0,10,0,0.001953125,False
induced,locomotion_posture,speech_act,26,18,32,22,0.2912152365458951,False
induced,object_handling,speech_act,30,29,39,38,1.0,False
induced,person_reference,grammatical_function,205,153,512,428,0.006946613741516126,False
induced,person_reference,transfer_possession,18,6,26,6,0.022655844688415527,False
induced,process_event,grammatical_function,11,5,15,7,0.210113525390625,False
induced,grammatical_function,speech_act,102,95,144,135,0.6691366685528433,False
induced,person_reference,locomotion_posture,52,9,75,12,1.802802378388091e-08,True
induced,grammatical_function,nonverbal_expression,25,7,28,9,0.0021024015732109547,False
induced,quality_manner,grammatical_function,12,7,18,9,0.359283447265625,False
induced,object_handling,procedural_operation,12,9,16,10,0.6636238098144531,False
induced,grammatical_function,procedural_operation,46,35,74,39,0.2664123096713203,False
induced,speech_act,transfer_possession,14,11,16,11,0.6900379657745361,False
induced,person_reference,speech_act,58,39,80,60,0.06705179535289088,False
induced,property_damage,object_handling,14,8,17,10,0.28627872467041016,False
induced,contact_care,object_handling,10,4,12,5,0.1795654296875,False
induced,contact_care,speech_act,22,3,28,4,0.00015652179718017578,True
induced,person_reference,contact_care,11,6,12,8,0.332305908203125,False
induced,contact_care,grammatical_function,12,9,13,10,0.6636238098144531,False
induced,speech_act,nonverbal_expression,13,9,18,12,0.5234670639038086,False
induced,person_reference,nonverbal_expression,8,2,10,2,0.109375,False
induced,bodily_violence,speech_act,29,1,38,1,5.774199962615967e-08,True
induced,person_reference,procedural_operation,25,9,30,10,0.00904118549078703,False
induced,bodily_violence,object_handling,25,6,34,6,0.0008779102936387062,True
induced,bodily_violence,locomotion_posture,16,2,18,2,0.001312255859375,False
induced,bodily_violence,grammatical_function,30,8,41,11,0.0004719867429230362,True
induced,procedural_operation,perception_cognition,8,3,10,4,0.2265625,False
induced,ritual_observance,object_handling,7,3,9,3,0.34375,False
induced,procedural_operation,locomotion_posture,6,5,7,5,1.0,False
induced,transfer_possession,procedural_operation,14,4,14,6,0.0308837890625,False
induced,property_damage,grammatical_function,30,11,40,11,0.00432400493446039,False
induced,property_damage,perception_cognition,11,0,13,0,0.0009765625,False
induced,speech_act,procedural_operation,12,8,12,14,0.5034446716308594,False
induced,property_damage,locomotion_posture,10,2,10,2,0.03857421875,False
induced,entity_noun,grammatical_function,15,12,19,27,0.7011080384254456,False
induced,locomotion_posture,nonverbal_expression,10,1,12,1,0.01171875,False
induced,ritual_observance,grammatical_function,21,8,23,8,0.0241195447742939,False
induced,perception_cognition,nonverbal_expression,12,7,15,11,0.359283447265625,False
wordnet,unassigned,perception,73,20,133,21,2.9201448769714557e-08,True
wordnet,stative,perception,24,4,30,4,0.00017999112606048584,True
