family,n_pairs,twin_cos,random_cos
amber,990,0.3643665541825241,0.06596116793425649
beaver,942,0.3309965434152936,0.06818407941804329
ct-llm,814,0.39767310707627296,0.06904839105273848
map-neo,972,0.3148780561441047,0.05654500296327042
minicpm,1082,0.435930353603828,0.0167839696150608
olmo,1038,0.2505450864529632,0.013501447513969976
olmo-32b,980,0.20543063775839634,0.012894976960993596
olmo-hybrid,948,0.34192363662638525,0.05644763481452392
olmo-tiny,1054,0.3437335677067514,0.04333743912334264
olmoe,836,0.2536919163971136,0.046370722179758454
redpajama,250,0.24753173816832189,0.043789374223697046
stablelm,1056,0.38370741900075583,0.09802184797366875
tulu,372,0.24651675664544132,0.05366127797621242
zephyr,554,0.26305476928890814,0.02815083279186134
