,bodily_violence,contact_care,entity_noun,grammatical_function,locomotion_posture,nonverbal_expression,object_handling,perception_cognition,person_reference,procedural_operation,process_event,property_damage,quality_manner,ritual_observance,speech_act,transfer_possession
bodily_violence,9.0,6.0,3.0,41.0,18.0,6.0,34.0,10.0,2.0,4.0,4.0,1.0,1.0,0.0,38.0,5.0
contact_care,0.0,3.0,1.0,13.0,6.0,0.0,12.0,16.0,8.0,1.0,0.0,0.0,2.0,0.0,28.0,2.0
entity_noun,1.0,0.0,8.0,19.0,5.0,1.0,6.0,11.0,5.0,2.0,1.0,1.0,0.0,1.0,5.0,2.0
grammatical_function,11.0,10.0,27.0,753.0,178.0,28.0,150.0,263.0,428.0,74.0,7.0,11.0,9.0,8.0,144.0,103.0
locomotion_posture,2.0,2.0,0.0,135.0,109.0,12.0,76.0,75.0,12.0,5.0,2.0,2.0,3.0,2.0,32.0,34.0
nonverbal_expression,0.0,0.0,0.0,9.0,1.0,1.0,2.0,11.0,2.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0
object_handling,6.0,5.0,6.0,124.0,40.0,6.0,162.0,78.0,14.0,16.0,5.0,10.0,3.0,3.0,39.0,65.0
perception_cognition,0.0,0.0,2.0,49.0,10.0,15.0,12.0,79.0,10.0,4.0,0.0,0.0,1.0,0.0,12.0,11.0
person_reference,2.0,12.0,5.0,512.0,75.0,10.0,59.0,71.0,183.0,30.0,5.0,1.0,5.0,3.0,80.0,26.0
procedural_operation,1.0,0.0,1.0,39.0,7.0,0.0,10.0,10.0,10.0,11.0,0.0,0.0,0.0,0.0,14.0,6.0
process_event,1.0,1.0,1.0,15.0,2.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
property_damage,2.0,2.0,0.0,40.0,10.0,0.0,17.0,13.0,1.0,2.0,0.0,10.0,0.0,0.0,6.0,4.0
quality_manner,1.0,0.0,2.0,18.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ritual_observance,0.0,0.0,0.0,23.0,2.0,1.0,9.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,6.0
speech_act,1.0,4.0,7.0,135.0,22.0,18.0,38.0,76.0,60.0,12.0,3.0,0.0,2.0,1.0,62.0,16.0
transfer_possession,2.0,0.0,1.0,50.0,19.0,0.0,56.0,49.0,6.0,14.0,2.0,2.0,1.0,0.0,11.0,29.0
