usas,mean_excess,n_pairs,n_obs,p
O4.6,1.4472394391923435,4,105,0.042750397452190676
E3,1.0178025360482654,5,145,0.0029416959128275772
N3.7,0.9068742380910974,4,248,0.04000445935456628
N5.1,0.8297517714100392,5,191,0.14287422380961765
N3.2,0.6824040414726782,4,101,0.06815289320807588
A8,0.6133516535639412,4,367,0.147707236648451
A9,0.5191192591147888,5,1048,0.007907543908550533
A5.1,0.4817576111938241,5,68,0.1757636231856815
Z8,0.4126798514851789,5,215,0.8559971937870487
E2,0.32961438990681324,5,143,0.2232656374726066
S8,0.3284484463547816,4,257,0.029694645899585093
A3,0.29408322206516646,5,703,0.12053327653370033
X2.1,0.27211731180305243,5,200,0.028272608571553125
X3.4,0.2529252554383117,4,811,0.010024314560274052
E4.2,0.22940341606806994,5,168,0.512211364267782
N5,0.22866642475845791,5,718,0.24673230026306042
O4.1,0.1969281303418803,5,334,0.3336706672562521
O4.5,0.1958422852564102,4,142,0.5532736827968411
Q2.1,0.1913361135643067,5,975,0.37685298625607877
A7,0.17954601516675048,4,229,0.05739583092176959
M1,0.17552077522991533,5,1108,0.06993687151994306
N1,0.17253218881151214,5,918,0.4133262654418386
X7,0.1706420380306929,5,391,0.30730917216811554
I3.1,0.1664649408783784,4,101,0.19771413254806006
Z5,0.10138125714377286,5,8934,0.0066857830402503714
B1,0.0693630157857732,5,683,0.6056188619496818
X4.2,-0.002006194521497916,4,168,0.8550843389375915
T2,-0.011725980914963196,5,292,0.9661533990214174
M6,-0.01438473512889572,5,397,0.8297651772143737
M2,-0.022884081787360695,5,317,0.906552224833218
Z8f,-0.047264127630769356,5,4565,0.5804361681907239
Q2.2,-0.05007518965785986,5,247,0.8718283784248819
A13,-0.05063133236311453,4,800,0.7047991698871918
F1,-0.11717230750510028,5,739,0.5568783652543594
Y2,-0.14860911793818624,5,1361,0.5478790335906256
A1.1.1,-0.19940421869234498,5,1240,0.7483454671442354
S3.2,-0.21102137798792894,5,304,0.7670499126240535
Z8m,-0.2415108073241611,5,3687,0.44509931429157285
N4,-0.2640040937736069,5,441,0.36893279987009947
G3,-0.2662324783540486,5,633,0.5237518763474026
A6.1,-0.4481397400210084,4,96,0.5591038516178095
Z8mf,-0.5045593156913368,4,169,0.47640656604536796
Z4,-0.9485777661064425,4,123,0.37377167189742877
