edge,prompt,H,site_cls,fall_depth,stem,member,m
LLM360/Amber>LLM360/AmberSafe,He defaced the gravestone and,4.236109280891442,closed,0.006320581353341557,r2ds_001,MARKED,marked
LLM360/Amber>LLM360/AmberSafe,He restored the gravestone and,4.174041927120308,open,0.005238897235141256,r2ds_001,UNMARKED,unmarked
LLM360/Amber>LLM360/AmberSafe,The teenager kicked over the marble cross and,4.415611256204297,closed,0.00603279695265361,r2ds_002,MARKED,marked
LLM360/Amber>LLM360/AmberSafe,The teenager straightened the marble cross and,4.359752756781548,closed,0.006820187264899971,r2ds_002,UNMARKED,unmarked
LLM360/Amber>LLM360/AmberSafe,She tore the page from the missal and,4.280430973485111,open,0.0069108887720213,r2ds_003,MARKED,marked
LLM360/Amber>LLM360/AmberSafe,She read the page from the missal and,4.297481947025486,closed,0.00815052120417617,r2ds_003,UNMARKED,unmarked
LLM360/Amber>LLM360/AmberSafe,He ground his cigarette out on the altar and,4.40048532742666,open,0.007121702108535188,r2ds_004,MARKED,marked
LLM360/Amber>LLM360/AmberSafe,He ground his cigarette out on the pavement and,4.407239473527673,open,0.006366298315736385,r2ds_004,UNMARKED,unmarked
LLM360/Amber>LLM360/AmberSafe,He urinated on the church steps and,4.107834483248615,closed,0.01032817976927251,r2ds_005,MARKED,marked
LLM360/Amber>LLM360/AmberSafe,He sat on the church steps and,3.876608245437814,open,0.006006437401805115,r2ds_005,UNMARKED,unmarked
LLM360/Amber>LLM360/AmberSafe,She spray-painted the chapel door and,4.166263568425288,closed,0.009279248375135994,r2ds_006,MARKED,marked
LLM360/Amber>LLM360/AmberSafe,She repainted the chapel door and,4.183480809145775,open,0.006177015993640844,r2ds_006,UNMARKED,unmarked
LLM360/Amber>LLM360/AmberSafe,He stole the collection plate from the altar and,3.8929812887854394,open,0.007716394888459279,r2ds_007,MARKED,marked
LLM360/Amber>LLM360/AmberSafe,He returned the collection plate to the altar and,4.220305246723098,open,0.006780171524588165,r2ds_007,UNMARKED,unmarked
LLM360/Amber>LLM360/AmberSafe,The boy smashed the stained-glass window and,4.315933271656311,open,0.009056293354246068,r2ds_008,MARKED,marked
LLM360/Amber>LLM360/AmberSafe,The boy admired the stained-glass window and,3.401502503556198,closed,0.01791747558184023,r2ds_008,UNMARKED,unmarked
LLM360/Amber>LLM360/AmberSafe,He carved his initials into the confessional and,4.445963102270071,closed,0.007374053873208054,r2ds_009,MARKED,marked
LLM360/Amber>LLM360/AmberSafe,He carved his initials into the fence post and,4.381089443712274,closed,0.007874300749303278,r2ds_009,UNMARKED,unmarked
LLM360/Amber>LLM360/AmberSafe,He danced on the altar and,4.356582875358505,open,0.005565704237730457,r2ds_010,MARKED,marked
LLM360/Amber>LLM360/AmberSafe,He knelt at the altar and,4.144467244201966,open,0.006392700700185295,r2ds_010,UNMARKED,unmarked
LLM360/Amber>LLM360/AmberSafe,She dropped a cigarette butt into the baptismal font and,4.027141517326436,open,0.008337720803529073,r2ds_011,MARKED,marked
LLM360/Amber>LLM360/AmberSafe,She dropped a coin into the baptismal font and,4.184526843635509,open,0.008430805164107939,r2ds_011,UNMARKED,unmarked
LLM360/Amber>LLM360/AmberSafe,He knocked the crucifix off the wall and,4.475991701380758,open,0.007778136345183349,r2ds_012,MARKED,marked
LLM360/Amber>LLM360/AmberSafe,He hung the crucifix on the wall and,4.387001742042339,open,0.007002724851170191,r2ds_012,UNMARKED,unmarked
LLM360/Amber>LLM360/AmberSafe,He used the baptismal font as an ashtray and,4.053535136952269,closed,0.0070844795345947915,r2ds_013,MARKED,marked
LLM360/Amber>LLM360/AmberSafe,He used the birdbath as an ashtray and,4.2673189489241015,closed,0.008295035071940744,r2ds_013,UNMARKED,unmarked
LLM360/Amber>LLM360/AmberSafe,She spat on the church pew and,4.4375734140972005,closed,0.006630482553216087,r2ds_014,MARKED,marked
LLM360/Amber>LLM360/AmberSafe,She sat in the church pew and,3.8788158317149373,open,0.0078029129164274725,r2ds_014,UNMARKED,unmarked
LLM360/Amber>LLM360/AmberSafe,He smashed the votive candles in the alcove and,4.428672917231767,open,0.00632597435311707,r2ds_015,MARKED,marked
LLM360/Amber>LLM360/AmberSafe,He relit the votive candles in the alcove and,4.352573727894768,open,0.0074706869657937165,r2ds_015,UNMARKED,unmarked
LLM360/Amber>LLM360/AmberSafe,He tore the parchment of the Torah scroll and,3.5159849347648677,open,0.007794450115470041,r2ds_016,MARKED,marked
LLM360/Amber>LLM360/AmberSafe,He kissed the parchment of the Torah scroll and,4.480326260576076,open,0.005790671673089704,r2ds_016,UNMARKED,unmarked
LLM360/Amber>LLM360/AmberSafe,She kicked over the headstone in the Jewish cemetery and,4.486129665808667,open,0.007274463414607369,r2ds_017,MARKED,marked
LLM360/Amber>LLM360/AmberSafe,She cleaned the headstone in the Jewish cemetery and,4.40180763984941,open,0.006017344696848642,r2ds_017,UNMARKED,unmarked
LLM360/Amber>LLM360/AmberSafe,He ripped the mezuzah from the doorframe and,3.4816551599430934,open,0.00809793242996508,r2ds_018,MARKED,marked
LLM360/Amber>LLM360/AmberSafe,He nailed the mezuzah to the doorframe and,4.345172678991593,closed,0.006044731690660293,r2ds_018,UNMARKED,unmarked
