group,labeling,category,delta,edges_pos,n_edges,lo,hi,p,bonferroni
ALL,induced,grammatical_function,-0.0561425842539006,17,43,-0.1049789630531844,-0.007306205454616799,0.02952590288883739,False
ALL,induced,person_reference,-0.02596522437756873,12,43,-0.04088890474068482,-0.011041544014452636,0.001445590437560305,True
ALL,induced,bodily_violence,-0.01828330557782347,10,43,-0.026201833104311668,-0.010364778051335271,4.888974581565605e-05,True
ALL,induced,locomotion_posture,-0.008605306336476225,19,43,-0.02052982092359753,0.00331920825064508,0.16460640115251582,False
ALL,induced,entity_noun,-0.006123217749042409,12,43,-0.01229931673194715,5.288123386233169e-05,0.05871186390906716,False
ALL,induced,property_damage,-0.001461673647896547,21,43,-0.005032986194767679,0.0021096388989745854,0.42695743846847073,False
ALL,induced,contact_care,-0.000862243278649817,21,43,-0.0035052679140355875,0.0017807813567359532,0.5260236325044381,False
ALL,induced,ritual_observance,0.0005496792045358659,26,43,-0.0008340253619834835,0.0019333837710552152,0.4405721572678011,False
ALL,induced,process_event,0.001580926409728041,31,43,0.00041855385763568307,0.0027432989618203993,0.010856292971537855,False
ALL,induced,object_handling,0.0032014212221726577,21,43,-0.015291253435063844,0.02169409587940916,0.7360655788889517,False
ALL,induced,transfer_possession,0.004613445894237382,24,43,-0.003960264596885802,0.013187156385360565,0.29761008149332513,False
ALL,induced,quality_manner,0.011329924553131655,39,43,0.008032263523429157,0.014627585582834153,3.49398755116424e-08,True
ALL,induced,procedural_operation,0.012451180342706588,34,43,0.007290230574317285,0.017612130111095893,2.556432299389993e-05,True
ALL,induced,nonverbal_expression,0.014889280594953208,33,43,0.007016220918350462,0.022762340271555954,0.000608586541205235,True
ALL,induced,speech_act,0.01995631982443989,26,43,0.008445128994554185,0.0314675106543256,0.001496944033788896,True
ALL,induced,perception_cognition,0.0488713771754525,38,43,0.03644181084729078,0.06130094350361422,1.443866119700352e-09,True
ALL,usas,M2,-0.026846702210171415,7,43,-0.03920458844377361,-0.014488815976569223,0.00011345366087311826,True
ALL,usas,Z5,-0.01778707237887641,14,43,-0.03074008414417711,-0.004834060613575712,0.010169608147465243,False
ALL,usas,Z8m,-0.013863189830895338,8,43,-0.02006737112129561,-0.007659008540495066,7.751735612760097e-05,True
ALL,usas,N1,-0.012346458872870881,3,43,-0.022709117869698488,-0.0019837998760432757,0.024384034665007888,False
ALL,usas,T1.1.3,-0.012020261976671547,16,43,-0.023475561921059422,-0.0005649620322836692,0.045965236556536206,False
ALL,usas,E2,-0.01016344779065693,5,43,-0.01857778847361054,-0.0017491071077033182,0.022594455527888642,False
ALL,usas,M1,-0.00678588518483027,17,43,-0.01298867375571788,-0.0005830966139426606,0.03784562601668519,False
ALL,usas,M6,-0.0041843213218588,26,43,-0.011938341932981229,0.0035696992892636278,0.2962471341490894,False
ALL,usas,L1,-0.0035692250312928013,9,43,-0.00508420122987142,-0.002054248832714183,3.6460652824859844e-05,True
ALL,usas,Z8mf,-0.003016787638212296,19,43,-0.006666583273853184,0.0006330079974285925,0.11270375462418883,False
ALL,usas,E3,-0.002904422484091698,17,43,-0.006212884818240593,0.00040403985005719664,0.09267701657976783,False
ALL,usas,A13.3,-0.002736567784453518,10,43,-0.004581166443867748,-0.0008919691250392874,0.0057927295268326885,False
ALL,usas,G2.1,-0.0024044847126239886,17,43,-0.004475184856664649,-0.0003337845685833277,0.028012493191226222,False
ALL,usas,S3.2,-0.0023770996808362577,12,43,-0.0040883037169436726,-0.0006658956447288425,0.00938898447596184,False
ALL,usas,F1,-0.00236979291138518,12,43,-0.004788153236009224,4.856741323886436e-05,0.06158371978639679,False
ALL,usas,N6,-0.0023336680219187144,16,43,-0.004206561767604237,-0.00046077427623319165,0.01888791047183822,False
ALL,usas,N5.2,-0.0022912258631837983,7,43,-0.00413081062176116,-0.0004516411046064364,0.018933605200910274,False
ALL,usas,Z8,-0.0022768563722424928,17,43,-0.0046868237514483425,0.0001331110069633574,0.07110133637547693,False
ALL,usas,Z6,-0.0022574588661846647,20,43,-0.005316087924503729,0.0008011701921344003,0.15543078273257924,False
ALL,usas,X2.6,-0.0021627565636252364,12,43,-0.003980693693762491,-0.0003448194334879826,0.024583162384341387,False
ALL,usas,I1,-0.0020179656801441264,24,43,-0.004388261265882969,0.0003523299055947166,0.10262436745272727,False
ALL,usas,T1,-0.0019902011332902057,10,43,-0.0026954868344292605,-0.001284915432151151,1.8731223207323622e-06,True
ALL,usas,O4.2,-0.001750949448787676,28,43,-0.003944273440482714,0.00044237454290736223,0.1251611779560911,False
ALL,usas,Z3c,-0.001619721342480644,21,43,-0.0034397349548791864,0.00020029226991789828,0.08842157233045751,False
ALL,usas,G3,-0.0015373987481155274,10,43,-0.0023139662479407202,-0.0007608312482903344,0.0003618913474237894,False
ALL,usas,F3,-0.001528382429739932,15,43,-0.002521782849361081,-0.000534982010118783,0.004340406582862337,False
ALL,usas,I1.2,-0.0015209419388039446,13,43,-0.0025109091778897988,-0.0005309746997180904,0.004390813981552466,False
ALL,usas,M3,-0.00144855698982287,10,43,-0.002324320140537451,-0.0005727938391082891,0.002327789015859743,False
ALL,usas,N5,-0.0014221121147727908,17,43,-0.0035924550964716445,0.000748230866926063,0.2060813151730579,False
ALL,usas,A13,-0.0013622934878567987,12,43,-0.002071205577158533,-0.000653381398555064,0.0005093748573017972,False
ALL,usas,H2,-0.001239183607331291,18,43,-0.0028094579261824437,0.00033109071151986194,0.12942964325228704,False
