cell,prompt,usas,mean_excess,n_obs
UNMARKED,He signed his own name on the report card and,Z8m,0.05466174128058306,3842
UNMARKED,He signed his own name on the report card and,T1,-0.7815167741935485,31
UNMARKED,He signed his own name on the report card and,X2.2,-0.03277559999999998,125
UNMARKED,He signed his own name on the report card and,Z5,0.09624683227965787,13445
UNMARKED,He signed his own name on the report card and,A6.1,0.11742858974358973,78
UNMARKED,He signed his own name on the report card and,M1,-0.029432979976442848,849
UNMARKED,He signed his own name on the report card and,Q2.2,0.8218773249738766,957
UNMARKED,He signed his own name on the report card and,A13,-0.5155798165137615,109
UNMARKED,He signed his own name on the report card and,A10,0.2890172808586763,559
UNMARKED,He signed his own name on the report card and,A1.1.1,0.3143244044943821,445
UNMARKED,He signed his own name on the report card and,Y2,0.02497051511357539,5591
UNMARKED,He signed his own name on the report card and,S4,0.16573255017709565,847
UNMARKED,He signed his own name on the report card and,B1,0.027373404730031237,2241
UNMARKED,He signed his own name on the report card and,P1,0.2800975132625995,3016
UNMARKED,He signed his own name on the report card and,Q2.1,0.06426978996499419,857
UNMARKED,He signed his own name on the report card and,M2,0.12099992392223162,1183
UNMARKED,He signed his own name on the report card and,Q3,0.19354993006993013,286
UNMARKED,He signed his own name on the report card and,Z2,0.49636550724637685,69
UNMARKED,He signed his own name on the report card and,Z8mf,-0.06444428770949721,1432
UNMARKED,He signed his own name on the report card and,X3.4,1.1231301298701297,77
UNMARKED,He signed his own name on the report card and,A9,0.15419400078064013,2562
UNMARKED,He signed his own name on the report card and,A8,0.3555987452471483,263
UNMARKED,He signed his own name on the report card and,Q1.2,0.168484778597786,542
UNMARKED,He signed his own name on the report card and,Z8f,-0.32958698895027627,362
UNMARKED,He signed his own name on the report card and,S4m,0.23813756756756757,37
UNMARKED,He signed his own name on the report card and,A3,0.11579967436974789,952
UNMARKED,He signed his own name on the report card and,X2.6,0.5370655172413793,29
UNMARKED,He signed his own name on the report card and,S8,0.03739853377265233,1214
UNMARKED,He signed his own name on the report card and,Z3c,0.37490359550561797,267
UNMARKED,He signed his own name on the report card and,T1.3,0.18639955223880603,134
UNMARKED,He signed his own name on the report card and,E4.1,0.2082457617728532,361
UNMARKED,He signed his own name on the report card and,I3.1,0.5592419999999999,85
UNMARKED,He signed his own name on the report card and,N4,0.1788171232876712,219
UNMARKED,He signed his own name on the report card and,A1.8,0.008961999999999968,25
UNMARKED,He signed his own name on the report card and,Z8mfn,0.05618666666666673,39
UNMARKED,He signed his own name on the report card and,E4.2,0.1831425816023739,674
UNMARKED,He signed his own name on the report card and,Z8,0.04643750750750751,333
UNMARKED,He signed his own name on the report card and,M6,0.9929096896551723,290
UNMARKED,He signed his own name on the report card and,Q1.1,0.5766051851851852,27
UNMARKED,He signed his own name on the report card and,X2.1,0.7576517525773194,97
UNMARKED,He signed his own name on the report card and,X7,-0.05353157894736843,95
