pair,A1_forced_tok_mismatch,A2_promptlen_mismatch,A_n_words,A_n_prompts,C1_identity_fail_rate,C1_n_eligible_beams,C2_mass_base,C2_mass_aligned,dd,n_sites,fails_A,fails_C1
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,0.0,0.0,347,557,3.719096631428226e-05,107553,0.0007810734559301039,0.00228914154741598,0.012316598170731694,164,0,0
EleutherAI/pythia-6.9b>lomahony/eleuther-pythia6.9b-hh-dpo,0.0,0.0,22,232,0.0,43950,0.0006153563312292598,0.0011053567086117791,0.005853985454545448,11,0,0
HuggingFaceTB/SmolLM2-360M>HuggingFaceTB/SmolLM2-360M-Instruct,0.0,0.0,370,602,0.0,112232,0.00021837441359213845,0.0005029983171087587,0.03621017179775284,178,0,0
HuggingFaceTB/SmolLM3-3B-Base>HuggingFaceTB/SmolLM3-3B,0.0,0.0,347,579,0.5000172720520925,115794,0.00037860144548109895,0.0009815035743699551,0.010697014431137724,167,0,1
LLM360/Amber>LLM360/AmberSafe,0.0,0.0,329,540,0.0,105586,0.0004204864690614223,0.025268855984169898,-0.006995669144736847,152,0,0
Qwen/Qwen2.5-0.5B>Qwen/Qwen2.5-0.5B-Instruct,0.0,0.0,307,517,0.49999029973809295,103090,0.004075521749865335,0.0030286283377864796,-0.0025889102684563863,149,0,1
Qwen/Qwen2.5-7B>Qwen/Qwen2.5-7B-Instruct,0.0,0.0,339,571,0.500206066239335,114041,0.005991156653069574,0.021106728006109077,0.0015222937888198734,161,0,1
Qwen/Qwen3-8B-Base>Qwen/Qwen3-8B,0.0,0.0,341,551,0.4995131096367889,109881,0.0017497681503660315,0.009994730556339444,0.0352838588125,160,0,1
RWKV/rwkv-4-7b-pile>RWKV/rwkv-raven-7b,0.0,0.0,212,444,1.0,2474,2.6436448920024315e-16,6.2542060065331735e-16,0.0701778024271844,103,0,1
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T>TinyLlama/TinyLlama-1.1B-Chat-v1.0,0.0,0.0,296,506,0.0,95250,0.0004906125480331714,0.0021497037475081016,0.03190438904411765,136,0,0
allenai/OLMo-2-0425-1B>allenai/OLMo-2-0425-1B-Instruct,0.0,0.0,344,554,0.0011511339122237732,110326,0.00021911338024133348,0.0010137571503321756,0.03598506458064516,155,0,0
allenai/OLMoE-1B-7B-0125>allenai/OLMoE-1B-7B-0125-Instruct,0.0,0.0,323,555,0.0036522367508764393,102403,0.0012217503625480538,0.00811612291232413,0.04353075288732394,142,0,0
allenai/Olmo-3-1025-7B>allenai/Olmo-3-7B-Think-DPO,0.0,0.0,330,562,1.7803731662156387e-05,112336,0.0005708454354272313,0.0008933286086005394,-0.0006045225165562881,151,0,0
allenai/Olmo-Hybrid-7B>allenai/Olmo-Hybrid-Instruct-DPO-7B,0.0,0.0,341,551,9.076716407072577e-06,110172,0.00045904794525832926,0.0015722152622887498,0.01489465794871793,156,0,0
bigscience/bloom-7b1>bigscience/bloomz-7b1,0.0,0.0,344,576,0.16052456604467583,70687,0.00010337218804461791,0.00019019539195676906,-0.4139254368662819,165,0,1
huggyllama/llama-7b>PKU-Alignment/beaver-7b-v1.0,0.0,0.0,307,517,0.0011335984911413188,102329,0.0010892742530311957,0.059552897904668355,-0.011429765661764697,136,0,0
m-a-p/CT-LLM-Base>m-a-p/CT-LLM-SFT-DPO,0.0,0.0,351,561,0.0,106868,0.0002933370534779678,0.0026700057478125467,0.02027689963855422,166,0,0
m-a-p/neo_7b>m-a-p/neo_7b_instruct_v0.1,0.0,0.0,317,549,0.0,103020,0.0010138753854334148,0.005404616513632228,0.013818260410958905,146,0,0
mistralai/Mistral-7B-v0.1>HuggingFaceH4/zephyr-7b-beta,1.0,0.5945945945945946,308,518,0.0,96877,0.0012470343444183553,0.00497926341317825,0.03244073481751823,137,1,0
openbmb/MiniCPM5-1B-Base>openbmb/MiniCPM5-1B,0.0,0.0,395,605,0.4946632591701744,119736,5.617259822227326e-05,0.00022532959863484381,0.032331810572916675,192,0,1
stabilityai/stablelm-2-1_6b>stabilityai/stablelm-2-zephyr-1_6b,0.0,0.0,317,527,0.0,104829,0.00025067620874637633,0.002888566188370313,0.00686987232394366,142,0,0
tiiuae/Falcon3-10B-Base>tiiuae/Falcon3-10B-Instruct,0.0,0.0,285,495,0.0,96956,0.0012090196763513894,0.005024960147920867,0.00477464373134329,134,0,0
tiiuae/Falcon3-1B-Base>tiiuae/Falcon3-1B-Instruct,0.0,0.0,287,497,0.0,96530,0.0005875503058971856,0.003526705372844742,-0.017871189703703695,135,0,0
tiiuae/Falcon3-3B-Base>tiiuae/Falcon3-3B-Instruct,0.0,0.0,332,542,0.0,105537,0.00029527848955078587,0.00300149634402982,0.005346151847133749,157,0,0
tiiuae/Falcon3-7B-Base>tiiuae/Falcon3-7B-Instruct,0.0,0.0,331,563,0.0,109583,0.0009617707849879227,0.005329155009932141,0.0326206254605263,152,0,0
togethercomputer/RedPajama-INCITE-Base-7B-v0.1>togethercomputer/RedPajama-INCITE-7B-Chat,0.0,0.0,358,568,2.7121340879093063e-05,110614,0.0002440974487886345,0.11137945166597327,0.006180479529411753,170,0,0
zai-org/glm-4-9b-hf>zai-org/glm-4-9b-chat-hf,0.0,0.0,353,563,0.0,112077,0.0016540848581371261,0.0032588260970028773,-0.009742761964285715,168,0,0
