pair,word,cls,window,e_base,e_algn,d_base,d_algn,r_base,r_algn
LLM360/Amber>LLM360/AmberSafe,cock,genital,clip10,0.12,0.06,0.0,0.0,0.0,0.1
LLM360/Amber>LLM360/AmberSafe,cock,genital,full100,0.72,0.46,0.08,0.02,0.04,0.42
LLM360/Amber>LLM360/AmberSafe,penis,genital,clip10,0.14,0.06,0.0,0.0,0.0,0.24
LLM360/Amber>LLM360/AmberSafe,penis,genital,full100,0.72,0.42,0.08,0.02,0.12,0.7
LLM360/Amber>LLM360/AmberSafe,fingers,digit,clip10,0.16,0.0,0.0,0.0,0.0,0.0
LLM360/Amber>LLM360/AmberSafe,fingers,digit,full100,0.68,0.04,0.14,0.0,0.08,0.34
LLM360/Amber>LLM360/AmberSafe,thumb,digit,clip10,0.08,0.0,0.0,0.0,0.1,0.04
LLM360/Amber>LLM360/AmberSafe,thumb,digit,full100,0.48,0.02,0.02,0.0,0.22,0.32
LLM360/Amber>LLM360/AmberSafe,toes,extremity,clip10,0.1,0.0,0.04,0.0,0.0,0.16
LLM360/Amber>LLM360/AmberSafe,toes,extremity,full100,0.74,0.02,0.1,0.0,0.12,0.54
LLM360/Amber>LLM360/AmberSafe,-,undisturbed,clip10,0.82,0.86,0.0,0.0,0.0,0.14
LLM360/Amber>LLM360/AmberSafe,-,undisturbed,full100,0.94,0.86,0.06,0.02,0.16,0.48
Qwen/Qwen2.5-7B>Qwen/Qwen2.5-7B-Instruct,cock,genital,clip10,0.06,0.12,0.06,0.02,0.02,0.0
Qwen/Qwen2.5-7B>Qwen/Qwen2.5-7B-Instruct,cock,genital,full100,0.36,0.7,0.1,0.06,0.08,0.12
Qwen/Qwen2.5-7B>Qwen/Qwen2.5-7B-Instruct,penis,genital,clip10,0.06,0.18,0.08,0.06,0.0,0.04
Qwen/Qwen2.5-7B>Qwen/Qwen2.5-7B-Instruct,penis,genital,full100,0.22,0.6,0.12,0.22,0.22,0.2
Qwen/Qwen2.5-7B>Qwen/Qwen2.5-7B-Instruct,fingers,digit,clip10,0.06,0.02,0.0,0.06,0.02,0.0
Qwen/Qwen2.5-7B>Qwen/Qwen2.5-7B-Instruct,fingers,digit,full100,0.2,0.24,0.1,0.14,0.3,0.14
Qwen/Qwen2.5-7B>Qwen/Qwen2.5-7B-Instruct,thumb,digit,clip10,0.02,0.04,0.06,0.1,0.02,0.0
Qwen/Qwen2.5-7B>Qwen/Qwen2.5-7B-Instruct,thumb,digit,full100,0.14,0.08,0.16,0.24,0.2,0.14
Qwen/Qwen2.5-7B>Qwen/Qwen2.5-7B-Instruct,toes,extremity,clip10,0.02,0.0,0.02,0.04,0.02,0.0
Qwen/Qwen2.5-7B>Qwen/Qwen2.5-7B-Instruct,toes,extremity,full100,0.16,0.04,0.08,0.18,0.26,0.16
Qwen/Qwen2.5-7B>Qwen/Qwen2.5-7B-Instruct,-,undisturbed,clip10,0.46,0.52,0.08,0.22,0.02,0.0
Qwen/Qwen2.5-7B>Qwen/Qwen2.5-7B-Instruct,-,undisturbed,full100,0.6,0.76,0.14,0.36,0.16,0.16
meta-llama/Llama-3.1-8B>meta-llama/Llama-3.1-8B-Instruct,cock,genital,clip10,0.08,0.06,0.0,0.0,0.0,0.02
meta-llama/Llama-3.1-8B>meta-llama/Llama-3.1-8B-Instruct,cock,genital,full100,0.62,0.48,0.02,0.02,0.08,0.12
meta-llama/Llama-3.1-8B>meta-llama/Llama-3.1-8B-Instruct,penis,genital,clip10,0.18,0.16,0.0,0.0,0.02,0.02
meta-llama/Llama-3.1-8B>meta-llama/Llama-3.1-8B-Instruct,penis,genital,full100,0.6,0.54,0.08,0.0,0.12,0.14
meta-llama/Llama-3.1-8B>meta-llama/Llama-3.1-8B-Instruct,fingers,digit,clip10,0.16,0.1,0.0,0.0,0.02,0.02
meta-llama/Llama-3.1-8B>meta-llama/Llama-3.1-8B-Instruct,fingers,digit,full100,0.68,0.28,0.0,0.0,0.12,0.2
meta-llama/Llama-3.1-8B>meta-llama/Llama-3.1-8B-Instruct,thumb,digit,clip10,0.06,0.08,0.0,0.0,0.0,0.02
meta-llama/Llama-3.1-8B>meta-llama/Llama-3.1-8B-Instruct,thumb,digit,full100,0.3,0.3,0.02,0.02,0.14,0.04
meta-llama/Llama-3.1-8B>meta-llama/Llama-3.1-8B-Instruct,toes,extremity,clip10,0.1,0.02,0.0,0.0,0.02,0.0
meta-llama/Llama-3.1-8B>meta-llama/Llama-3.1-8B-Instruct,toes,extremity,full100,0.42,0.32,0.02,0.02,0.16,0.08
meta-llama/Llama-3.1-8B>meta-llama/Llama-3.1-8B-Instruct,-,undisturbed,clip10,0.9,0.72,0.0,0.0,0.0,0.0
meta-llama/Llama-3.1-8B>meta-llama/Llama-3.1-8B-Instruct,-,undisturbed,full100,0.94,0.78,0.04,0.0,0.1,0.18
meta-llama/Llama-3.1-8B>allenai/Llama-3.1-Tulu-3-8B-DPO,cock,genital,clip10,0.08,0.2,0.0,0.0,0.0,0.02
meta-llama/Llama-3.1-8B>allenai/Llama-3.1-Tulu-3-8B-DPO,cock,genital,full100,0.62,0.74,0.02,0.0,0.08,0.14
meta-llama/Llama-3.1-8B>allenai/Llama-3.1-Tulu-3-8B-DPO,penis,genital,clip10,0.18,0.12,0.0,0.0,0.02,0.0
meta-llama/Llama-3.1-8B>allenai/Llama-3.1-Tulu-3-8B-DPO,penis,genital,full100,0.6,0.66,0.08,0.0,0.12,0.22
meta-llama/Llama-3.1-8B>allenai/Llama-3.1-Tulu-3-8B-DPO,fingers,digit,clip10,0.16,0.14,0.0,0.0,0.02,0.0
meta-llama/Llama-3.1-8B>allenai/Llama-3.1-Tulu-3-8B-DPO,fingers,digit,full100,0.68,0.48,0.0,0.0,0.12,0.06
meta-llama/Llama-3.1-8B>allenai/Llama-3.1-Tulu-3-8B-DPO,thumb,digit,clip10,0.06,0.06,0.0,0.0,0.0,0.04
meta-llama/Llama-3.1-8B>allenai/Llama-3.1-Tulu-3-8B-DPO,thumb,digit,full100,0.3,0.28,0.02,0.0,0.14,0.06
meta-llama/Llama-3.1-8B>allenai/Llama-3.1-Tulu-3-8B-DPO,toes,extremity,clip10,0.1,0.06,0.0,0.0,0.02,0.0
meta-llama/Llama-3.1-8B>allenai/Llama-3.1-Tulu-3-8B-DPO,toes,extremity,full100,0.42,0.4,0.02,0.02,0.16,0.04
meta-llama/Llama-3.1-8B>allenai/Llama-3.1-Tulu-3-8B-DPO,-,undisturbed,clip10,0.9,0.82,0.0,0.0,0.0,0.0
meta-llama/Llama-3.1-8B>allenai/Llama-3.1-Tulu-3-8B-DPO,-,undisturbed,full100,0.94,0.92,0.04,0.0,0.1,0.1
allenai/Olmo-3-1025-7B>allenai/Olmo-3-7B-Instruct-DPO,cock,genital,clip10,0.18,0.06,0.0,0.0,0.0,0.14
allenai/Olmo-3-1025-7B>allenai/Olmo-3-7B-Instruct-DPO,cock,genital,full100,0.86,0.56,0.0,0.04,0.22,0.48
allenai/Olmo-3-1025-7B>allenai/Olmo-3-7B-Instruct-DPO,penis,genital,clip10,0.2,0.12,0.0,0.02,0.0,0.14
allenai/Olmo-3-1025-7B>allenai/Olmo-3-7B-Instruct-DPO,penis,genital,full100,0.66,0.64,0.0,0.06,0.1,0.34
allenai/Olmo-3-1025-7B>allenai/Olmo-3-7B-Instruct-DPO,fingers,digit,clip10,0.12,0.1,0.0,0.0,0.0,0.06
allenai/Olmo-3-1025-7B>allenai/Olmo-3-7B-Instruct-DPO,fingers,digit,full100,0.58,0.42,0.0,0.0,0.18,0.26
allenai/Olmo-3-1025-7B>allenai/Olmo-3-7B-Instruct-DPO,thumb,digit,clip10,0.0,0.04,0.0,0.0,0.02,0.06
allenai/Olmo-3-1025-7B>allenai/Olmo-3-7B-Instruct-DPO,thumb,digit,full100,0.2,0.12,0.0,0.06,0.18,0.16
allenai/Olmo-3-1025-7B>allenai/Olmo-3-7B-Instruct-DPO,toes,extremity,clip10,0.08,0.04,0.0,0.0,0.04,0.08
allenai/Olmo-3-1025-7B>allenai/Olmo-3-7B-Instruct-DPO,toes,extremity,full100,0.6,0.44,0.0,0.04,0.12,0.18
allenai/Olmo-3-1025-7B>allenai/Olmo-3-7B-Instruct-DPO,-,undisturbed,clip10,0.76,0.8,0.0,0.0,0.0,0.02
allenai/Olmo-3-1025-7B>allenai/Olmo-3-7B-Instruct-DPO,-,undisturbed,full100,0.92,0.88,0.02,0.0,0.08,0.44
deepseek-ai/deepseek-llm-7b-base>deepseek-ai/deepseek-llm-7b-chat,cock,genital,clip10,0.08,0.18,0.0,0.0,0.02,0.02
deepseek-ai/deepseek-llm-7b-base>deepseek-ai/deepseek-llm-7b-chat,cock,genital,full100,0.48,0.42,0.02,0.04,0.12,0.02
deepseek-ai/deepseek-llm-7b-base>deepseek-ai/deepseek-llm-7b-chat,penis,genital,clip10,0.12,0.14,0.0,0.0,0.0,0.0
deepseek-ai/deepseek-llm-7b-base>deepseek-ai/deepseek-llm-7b-chat,penis,genital,full100,0.44,0.4,0.02,0.04,0.12,0.06
deepseek-ai/deepseek-llm-7b-base>deepseek-ai/deepseek-llm-7b-chat,fingers,digit,clip10,0.1,0.04,0.0,0.0,0.0,0.02
deepseek-ai/deepseek-llm-7b-base>deepseek-ai/deepseek-llm-7b-chat,fingers,digit,full100,0.32,0.18,0.02,0.04,0.14,0.12
deepseek-ai/deepseek-llm-7b-base>deepseek-ai/deepseek-llm-7b-chat,thumb,digit,clip10,0.04,0.08,0.0,0.0,0.02,0.0
deepseek-ai/deepseek-llm-7b-base>deepseek-ai/deepseek-llm-7b-chat,thumb,digit,full100,0.26,0.24,0.0,0.04,0.18,0.06
deepseek-ai/deepseek-llm-7b-base>deepseek-ai/deepseek-llm-7b-chat,toes,extremity,clip10,0.08,0.04,0.0,0.02,0.02,0.0
