family,n_pairs,twin_cos,random_cos
amber,990,0.36491886352289615,0.07012203339397527
beaver,942,0.331262621368432,0.07420966209645208
ct-llm,816,0.39719626685436665,0.0738999911939093
map-neo,972,0.3151273735252545,0.06934383005645321
minicpm,1082,0.43595709448490566,0.042594563757825166
olmo,1038,0.25116168967529207,0.014597723722578077
olmo-32b,980,0.20520140477877252,0.010067162138491452
olmo-hybrid,948,0.34208244499984375,0.06266680204099007
olmo-tiny,1054,0.3438599619155006,0.041819905768601694
olmoe,838,0.25433942964868206,0.041642587403603624
redpajama,252,0.2536488180257959,0.028243448630452778
stablelm,1056,0.38235236536646955,0.0989531634815765
tulu,376,0.24619043265708423,0.04929741178281511
zephyr,556,0.2633209761677827,0.042396264804174785
