cluster,n_fields,n_resources,tightness,n_words,members,n_comp_tested,n_comp_sig,comp_sig_pos,comp_sig_neg,delta,edges_pos,n_edges,p,bonferroni,verdict
1,2,2,0.2222222222222222,18,framenet:Change_event_time|usas:T1.1.3,2,0,0,0,-0.00923089339252681,14,43,0.049886239592867435,False,QUIET
2,1,1,1.0,6,framenet:Cause_change_of_strength,1,0,0,0,4.421164391350784e-05,22,25,4.321328069372538e-05,True,COHERENT
3,1,1,1.0,20,usas:S1.2.5,1,0,0,0,5.589668896732963e-05,28,43,0.03154251452400527,False,QUIET
4,2,2,0.1111111111111111,18,usas:A15|verbnet:rely,2,1,1,0,0.0001308780494819298,30,38,9.459790997095294e-06,True,COHERENT
5,1,1,1.0,7,framenet:Daring,1,0,0,0,6.551335777548484e-05,25,37,0.013497722117730603,False,QUIET
6,3,3,0.25795454545454544,23,framenet:Bragging|usas:S1.2.3|verbnet:complain,3,1,0,1,-0.0005324192191344896,14,42,0.00028342427950834773,False,DILUTED
7,1,1,1.0,9,framenet:Complaining,1,1,0,1,-0.0006780126377790808,7,38,1.2253730513332974e-06,True,COHERENT
8,2,2,0.375,8,framenet:Quitting|verbnet:withdraw,2,0,0,0,-0.00019371133609442714,21,40,0.4959935512694667,False,QUIET
9,2,2,0.11538461538461539,26,framenet:Quitting_a_place|verbnet:gobble,2,0,0,0,0.0002366817215279285,30,43,0.1208240400427112,False,QUIET
10,1,1,1.0,120,usas:Z1f,1,0,0,0,0.00026782479986761637,32,43,0.19143550287250052,False,QUIET
11,2,2,0.2413793103448276,29,framenet:Corporal_punishment|verbnet:spank,2,0,0,0,-8.823886711220935e-06,20,43,0.856494664932642,False,QUIET
12,1,1,1.0,102,usas:Z3c,1,0,0,0,-0.0011996113651428846,21,43,0.10275880850806707,False,QUIET
13,2,2,0.2222222222222222,18,framenet:Cooking_creation|verbnet:preparing,2,2,2,0,0.001995632107266159,40,43,6.087538870927626e-12,True,COHERENT
14,1,1,1.0,20,induced:quality_manner,1,1,1,0,0.006693870851937139,38,43,5.906476766083604e-09,True,COHERENT
15,1,1,1.0,28,usas:A13.3,1,0,0,0,-0.0021777268754554287,10,43,0.004660331618675294,False,QUIET
16,1,1,1.0,5,framenet:Silencing,1,1,1,0,0.00011981723839666757,32,36,2.2643264187062913e-08,True,COHERENT
17,1,1,1.0,12,usas:A1.3,1,1,1,0,0.0021840853980908364,40,43,2.1685114557722328e-08,True,COHERENT
18,1,1,1.0,15,usas:A1.4,1,1,1,0,0.0012095208163939715,36,39,2.9162043488694133e-09,True,COHERENT
19,3,3,0.16379676870748297,66,framenet:Residence|usas:H4|verbnet:exist,3,0,0,0,-0.0027083386948630805,11,43,0.0019737849872240062,False,QUIET
20,3,3,0.17103729603729603,29,framenet:Colonization|usas:M8|verbnet:lodge,3,0,0,0,-0.0008416651277917925,24,43,0.4473633009970375,False,QUIET
21,1,1,1.0,5,usas:S2,1,0,0,0,-8.66744323514566e-06,21,42,0.829786966890446,False,QUIET
22,1,1,1.0,7,framenet:Process_continue,1,0,0,0,0.0016207988116191613,32,43,0.00655367761637137,False,QUIET
