family,measure,stratum,fr,rf,effect,p,n_items,min_cell,mde,lo,hi,symmetric,rank,bonferroni,bh,sparse_cells,reportable
main,strong,MARKED,0.06003734827264238,0.27703081232492993,-0.21699346405228756,4.999750012499375e-05,255,601,0.0774477489563381,-0.27117621279503945,-0.1628107153095357,False,10,True,True,False,True
main,punish,MARKED,0.11101774042950513,0.3203548085901026,-0.20933706816059758,4.999750012499375e-05,255,769,0.08304982974093335,-0.2674390545787975,-0.15123508174239766,False,8,True,True,False,True
main,mild,MARKED,0.230812324929972,0.06274509803921569,0.1680672268907563,4.999750012499375e-05,255,524,0.06871135357436978,0.11999649460138628,0.2161379591801263,False,9,True,True,False,True
main,strong,ALL,0.03786181139122316,0.18809523809523807,-0.15023342670401493,4.999750012499375e-05,510,806,0.04643725190421587,-0.18272111015687395,-0.11774574325115592,False,2,True,True,False,True
main,punish,ALL,0.06419234360410832,0.20079365079365077,-0.13660130718954247,4.999750012499375e-05,510,945,0.047054314772837905,-0.1695206902439984,-0.10368192413508653,False,6,True,True,False,True
main,mild,ALL,0.16890756302521007,0.047619047619047616,0.12128851540616246,4.999750012499375e-05,510,773,0.04218056040944878,0.0917788300080487,0.15079820080427622,False,1,True,True,False,True
main,continues,MARKED,0.5322128851540616,0.630812324929972,-0.09859943977591037,0.0008999550022498875,255,2071,0.08154098023516115,-0.15564582916561603,-0.04155305038620471,False,12,True,True,False,True
main,generic,MARKED,0.44593837535014,0.3495798319327731,0.09635854341736694,0.0010999450027498626,255,1420,0.08024870460139749,0.04021623512639109,0.1525008517083428,False,13,True,True,False,True
main,strong,UNMARKED,0.01568627450980392,0.09915966386554621,-0.08347338935574229,4.999750012499375e-05,255,205,0.0486729176713215,-0.11752515334243513,-0.04942162536904946,False,5,True,True,False,True
main,mild,UNMARKED,0.10700280112044817,0.03249299719887955,0.07450980392156863,4.999750012499375e-05,255,249,0.047689826012971115,0.04114581471249424,0.10787379313064302,False,7,True,True,False,True
main,punish,UNMARKED,0.017366946778711485,0.08123249299719888,-0.06386554621848739,4.999750012499375e-05,255,176,0.040615635762048595,-0.09228040419922551,-0.035450688237749266,False,3,True,True,False,True
main,speech,MARKED,0.11876750700280111,0.057142857142857134,0.061624649859943974,0.000599970001499925,255,314,0.05130996057014709,0.02572800032478316,0.09752129939510479,False,11,True,True,False,True
main,continues,UNMARKED,0.43809523809523815,0.39215686274509803,0.04593837535014005,0.10914454277286136,255,1482,0.07956234245284123,-0.009723751291363651,0.10160050199164375,False,24,False,False,False,False
main,generic,ALL,0.5011204481792717,0.4582633053221289,0.04285714285714285,0.036148192590370484,510,3425,0.056683907042985676,0.0032008593052598247,0.08251342640902587,False,20,False,False,False,False
main,speech,UNMARKED,0.09411764705882353,0.13221288515406163,-0.03809523809523809,0.03604819759012049,255,404,0.050024239330861975,-0.07309239201173762,-0.0030980841787385596,False,19,False,False,False,False
main,diff_reg,UNMARKED,0.005602240896358543,0.0392156862745098,-0.03361344537815126,4.999750012499375e-05,255,80,0.020254379465715636,-0.04778348864370717,-0.019443402112595348,False,4,True,True,False,True
main,same_pitch,UNMARKED,0.40784313725490196,0.38095238095238093,0.026890756302521007,0.02269886505674716,255,1408,0.03264673102835172,0.00405097530929148,0.04973053729575053,False,18,False,True,False,False
main,continues,ALL,0.48515406162464986,0.5114845938375351,-0.02633053221288515,0.20623968801559922,510,3553,0.05761020889034822,-0.0666348601680198,0.013973795742249495,False,25,False,False,False,False
main,same_pitch,ALL,0.4122782446311858,0.3863678804855275,0.025910364145658265,0.0047997600119994,510,2847,0.025662937679294735,0.007956472353890017,0.043864255937426516,False,17,False,True,False,False
main,same_pitch,MARKED,0.4167133520074696,0.39178338001867413,0.024929971988795506,0.07799610019499024,255,1439,0.039669418341986874,-0.0028229085759673353,0.05268285255355835,False,23,False,False,False,False
main,diff_reg,ALL,0.013725490196078431,0.02941176470588235,-0.01568627450980392,0.00199990000499975,510,154,0.014179840117737545,-0.025606546237067478,-0.005766002782540363,False,14,False,True,False,False
main,subst,MARKED,0.12492997198879552,0.11055088702147525,0.014379084967320259,0.04469776511174441,255,420,0.019358193191380935,0.0008360171320813126,0.027922152802559205,True,21,False,False,False,False
main,speech,ALL,0.10644257703081232,0.09467787114845937,0.01176470588235294,0.3775811209439528,510,718,0.03632625493421831,-0.013649284458096137,0.03717869622280202,False,27,False,False,False,False
main,generic,UNMARKED,0.5563025210084034,0.5669467787114846,-0.010644257703081243,0.6932153392330384,255,2005,0.07912524117535748,-0.06600058657754604,0.04471207117138355,False,30,False,False,False,False
main,related,UNMARKED,0.9904761904761906,0.9798319327731091,0.010644257703081233,0.002999850007499625,255,3517,0.009894193708694765,0.003722241002085144,0.01756627440407732,True,15,False,True,False,False
main,bare,UNMARKED,0.4173669467787115,0.4263305322128852,-0.008963585434173669,0.3471826408679566,255,1506,0.02569634118768528,-0.026940846451344085,0.009013675582996747,True,26,False,False,False,False
main,subst,ALL,0.09579831932773109,0.0880485527544351,0.0077497665732959835,0.07164641767911605,510,656,0.011720182832909053,-0.0004497192763525358,0.015949252422944503,True,22,False,False,False,False
main,related,ALL,0.9904761904761905,0.9837535014005603,0.006722689075630252,0.0030498475076246186,510,7043,0.006228530277538337,0.0023651848794174054,0.011080193271843099,True,16,False,True,False,False
main,bare,ALL,0.3585901027077497,0.36391223155929037,-0.005322128851540617,0.3822808859557022,510,2578,0.017534922218283313,-0.017589629167302726,0.006945371464221491,True,28,False,False,False,False
main,related,MARKED,0.9904761904761904,0.9876750700280112,0.0028011204481792713,0.40942952852357384,255,3526,0.007525843485694693,-0.002463989153554359,0.0080662300499129,True,29,False,False,False,False
main,diff_reg,MARKED,0.021848739495798318,0.0196078431372549,0.002240896358543418,0.711664416779161,255,74,0.019384338565676056,-0.01132046288303474,0.01580225560012158,False,31,False,False,False,False
main,bare,MARKED,0.29981325863678804,0.3014939309056956,-0.0016806722689075627,0.856407179641018,255,1072,0.023899656474294432,-0.01840096561810249,0.015039621080287365,True,32,False,False,False,False
main,subst,UNMARKED,0.06666666666666667,0.06554621848739496,0.0011204481792717075,0.8931553422328884,255,236,0.013155858777248657,-0.008083442188473521,0.010324338547016938,True,33,False,False,False,False
