,as_faller,as_riser,total,lean,vv
the,564,664,1228,0.08143322475570032,False
he,518,165,683,-0.5168374816983895,False
she,253,410,663,0.2368024132730015,False
then,345,297,642,-0.07476635514018691,False
said,241,148,389,-0.2390745501285347,True
found,17,321,338,0.8994082840236687,True
it,124,144,268,0.07462686567164178,False
was,151,115,266,-0.13533834586466165,False
that,195,37,232,-0.6810344827586207,False
handed,48,133,181,0.4696132596685083,True
would,148,19,167,-0.7724550898203593,False
put,136,28,164,-0.6585365853658537,True
watched,18,141,159,0.7735849056603774,True
went,121,35,156,-0.5512820512820513,True
they,66,89,155,0.14838709677419354,False
whispered,0,147,147,1.0,True
began,8,135,143,0.8881118881118881,True
i,115,18,133,-0.7293233082706767,False
to,114,12,126,-0.8095238095238095,False
told,115,5,120,-0.9166666666666666,True
left,33,87,120,0.45,True
threw,100,19,119,-0.680672268907563,True
now,13,94,107,0.7570093457943925,False
pulled,24,80,104,0.5384615384615384,True
on,68,34,102,-0.3333333333333333,False
into,49,51,100,0.02,False
ran,82,11,93,-0.7634408602150538,True
saw,44,49,93,0.053763440860215055,True
asked,39,50,89,0.12359550561797752,True
kissed,62,24,86,-0.4418604651162791,True
walked,25,59,84,0.40476190476190477,True
a,67,13,80,-0.675,False
sat,57,23,80,-0.425,True
placed,23,47,70,0.34285714285714286,True
held,14,52,66,0.5757575757575758,True
gave,29,34,63,0.07936507936507936,True
took,39,22,61,-0.2786885245901639,True
if,43,17,60,-0.43333333333333335,False
felt,5,53,58,0.8275862068965517,True
shouted,4,50,54,0.8518518518518519,True
smashed,52,1,53,-0.9622641509433962,True
looked,30,21,51,-0.17647058823529413,True
stole,45,6,51,-0.7647058823529411,True
his,28,21,49,-0.14285714285714285,False
turned,18,29,47,0.23404255319148937,True
did,15,31,46,0.34782608695652173,False
her,25,20,45,-0.1111111111111111,False
prayed,35,10,45,-0.5555555555555556,True
headed,27,17,44,-0.22727272727272727,True
read,20,24,44,0.09090909090909091,True
is,13,31,44,0.4090909090909091,False
waited,39,5,44,-0.7727272727272727,True
proceeded,3,39,42,0.8571428571428571,True
how,16,22,38,0.15789473684210525,False
sent,17,21,38,0.10526315789473684,True
wrote,23,14,37,-0.24324324324324326,True
stared,8,29,37,0.5675675675675675,True
drove,18,19,37,0.02702702702702703,True
this,6,29,35,0.6571428571428571,False
fired,20,15,35,-0.14285714285714285,True
missed,3,31,34,0.8235294117647058,True
hit,26,6,32,-0.625,True
set,10,21,31,0.3548387096774194,True
signed,7,24,31,0.5483870967741935,True
opened,25,6,31,-0.6129032258064516,True
in,30,0,30,-1.0,False
closed,7,23,30,0.5333333333333333,True
got,12,18,30,0.2,True
locked,2,27,29,0.8620689655172413,True
made,5,22,27,0.6296296296296297,True
dragged,23,4,27,-0.7037037037037037,True
bought,16,11,27,-0.18518518518518517,True
when,25,1,26,-0.9230769230769231,False
had,15,11,26,-0.15384615384615385,False
replaced,3,23,26,0.7692307692307693,True
led,6,18,24,0.5,True
slipped,5,19,24,0.5833333333333334,True
smiled,10,14,24,0.16666666666666666,True
sighed,1,22,23,0.9130434782608695,True
broke,9,13,22,0.18181818181818182,True
stepped,0,22,22,1.0,True
added,10,12,22,0.09090909090909091,True
laughed,6,16,22,0.45454545454545453,True
scattered,0,21,21,1.0,True
offered,1,20,21,0.9047619047619048,True
started,4,17,21,0.6190476190476191,True
threatened,4,17,21,0.6190476190476191,True
stood,8,12,20,0.2,True
swung,2,18,20,0.8,True
stabbed,20,0,20,-1.0,True
we,20,0,20,-1.0,False
leaned,1,19,20,0.9,True
tossed,5,15,20,0.5,True
punched,20,0,20,-1.0,True
shot,19,0,19,-1.0,False
hung,13,6,19,-0.3684210526315789,True
lit,7,12,19,0.2631578947368421,True
cut,17,1,18,-0.8888888888888888,True
turning,6,12,18,0.3333333333333333,False
pressed,3,15,18,0.6666666666666666,True
demanded,3,15,18,0.6666666666666666,True
stirred,3,15,18,0.6666666666666666,True
dropped,17,1,18,-0.8888888888888888,True
pocketed,1,17,18,0.8888888888888888,True
slammed,3,14,17,0.6470588235294118,True
onto,7,10,17,0.17647058823529413,False
paid,10,7,17,-0.17647058823529413,True
bowed,4,13,17,0.5294117647058824,True
no,3,13,16,0.625,False
caused,1,15,16,0.875,True
noticed,2,14,16,0.75,True
called,10,6,16,-0.25,True
stomped,1,15,16,0.875,True
