frame,block,edge,n,rho_delta,p_delta,rho_logratio,p_logratio
her,THE RUNGS,base->SFT,47,-0.6140544036593449,4.421336494178954e-06,-0.6060150740833208,6.358796118929637e-06
her,THE RUNGS,SFT->DPO,47,-0.21041065465882045,0.15572169749992926,-0.20254483579307017,0.17213157727380832
her,THE RUNGS,DPO->RLVR,47,-0.16697514018691995,0.2619489026390828,-0.05049161668970597,0.736081393761632
her,THE RUNGS,base->Instruct,47,-0.7041642991949256,3.341487309960127e-08,-0.6762869117442518,1.814947560813148e-07
her,THE SFT DATA ABLATIONS,base->SFT,52,-0.6011316719263645,2.449141359292593e-06,-0.5935305184417519,3.526292608193112e-06
her,THE SFT DATA ABLATIONS,base->no-safety,52,-0.7247998769344451,1.2373531773197174e-09,-0.7059251025513058,5.057355384398551e-09
her,THE SFT DATA ABLATIONS,base->no-math,52,-0.6552792147268639,1.3546797516598767e-07,-0.6607452127382707,9.789780335343542e-08
her,THE SFT DATA ABLATIONS,base->no-persona,52,-0.6971709651111619,9.366655823060976e-09,-0.6636917272912948,8.194608922412516e-08
her,THE SFT DATA ABLATIONS,base->no-wildchat,52,-0.35084874735717914,0.010768088698019778,-0.36532510146551456,0.007742525123307414
his,THE RUNGS,base->SFT,41,-0.4244194134336427,0.005680889235147009,-0.4377533292971637,0.004205717329923781
his,THE RUNGS,SFT->DPO,41,-0.07128851749255027,0.657825734707586,-0.14353568253084387,0.37062543574941387
his,THE RUNGS,DPO->RLVR,41,0.030938170794444178,0.8477261836777178,0.09342456082153286,0.5612523798610026
his,THE RUNGS,base->Instruct,41,-0.6807269072546577,9.715707976889565e-07,-0.6981568626318094,3.885458503502963e-07
his,THE SFT DATA ABLATIONS,base->SFT,43,-0.4405499772643551,0.003110423466903653,-0.4783955771630934,0.001175099806021026
his,THE SFT DATA ABLATIONS,base->no-safety,43,-0.530367179419245,0.000253974480370618,-0.5923856175766584,2.8531770731544956e-05
his,THE SFT DATA ABLATIONS,base->no-math,43,-0.6122526690205071,1.282577361151933e-05,-0.6089289037599394,1.4716846809175947e-05
his,THE SFT DATA ABLATIONS,base->no-persona,43,-0.5972201852283936,2.360215192678521e-05,-0.5243995099741345,0.0003066808566112907
his,THE SFT DATA ABLATIONS,base->no-wildchat,43,0.06594652437444821,0.6743719144181567,0.13778517807444848,0.3782599952972336
