stratum,pair,overall,fr,rf,diff,min_cell,p,rank,bonferroni,bh,sparse_cells
ALL,mild x generic,-0.5051475800865969,-0.877949129693664,0.296554225982449,-1.174503355676113,80,0.0001999600079984003,1,True,True,False
MARKED,generic x punish,-3.14176244530856,-1.9103092048216013,-4.360679217499862,2.4503700126782606,7,0.0001999600079984003,2,True,True,True
MARKED,mild x bare,-1.135601820115242,-1.529788460206493,-0.31397685217932286,-1.2158116080271701,27,0.0001999600079984003,3,True,True,False
ALL,generic x punish,-3.2951051329456478,-2.064942671651285,-4.312795178441091,2.2478525067898056,12,0.0001999600079984003,4,True,True,False
ALL,same_pitch x punish,-1.0078097689537509,0.2586144075560768,-1.6838353432533575,1.9424497508094343,94,0.0001999600079984003,5,True,True,False
MARKED,same_pitch x generic,-0.4090764199808003,-0.8056872147080149,-0.00850084641832355,-0.7971863682896912,243,0.0001999600079984003,6,True,True,False
ALL,same_pitch x continues,0.7438078720504893,1.0033550394613437,0.49066789929369936,0.5126871401676444,545,0.0001999600079984003,7,True,True,False
ALL,same_pitch x generic,-0.6219516704239522,-0.9252527075251716,-0.3270088840103733,-0.5982438235147983,541,0.0001999600079984003,8,True,True,False
ALL,strong x bare,-1.2245028103127702,-0.4374493981297949,-1.5263928986496915,1.0889435005198966,36,0.0001999600079984003,9,True,True,False
UNMARKED,diff_reg x subst,-2.459558639904009,-0.41537658735503785,-2.3383772554624858,1.9230006681074479,0,0.0001999600079984003,10,True,True,True
MARKED,speech x subst,-4.537013850559584,-4.254011150519981,-3.307263432607704,-0.9467477179122765,0,0.0001999600079984003,11,True,True,True
UNMARKED,punish x speech,-3.8659239169472315,-1.9007848651606989,-3.891834828559182,1.991049963398483,0,0.0001999600079984003,12,True,True,True
ALL,mild x continues,0.4398474276526733,0.7872206556688666,-0.392888468718732,1.1801091243875985,71,0.0001999600079984003,13,True,True,False
MARKED,same_pitch x punish,-1.0366963008652217,0.266426684828743,-1.845542361636266,2.111969046465009,80,0.0001999600079984003,14,True,True,False
ALL,mild x bare,-1.4773774859404718,-1.817405654150152,-0.7433612226635303,-1.0740444314866218,37,0.0001999600079984003,15,True,True,False
MARKED,same_pitch x continues,0.5295511311872344,0.9368651872647107,0.1268373842345222,0.8100278030301885,245,0.0001999600079984003,16,True,True,False
UNMARKED,generic x punish,-3.2256869665198877,-2.0667791578411334,-3.7044266905950196,1.6376475327538862,4,0.0003999200159968006,17,True,True,True
MARKED,mild x generic,-0.2148142080207739,-0.6579054706486669,0.508947214081714,-1.1668526847303808,52,0.0003999200159968006,18,True,True,False
UNMARKED,same_pitch x punish,-1.2727555977069565,0.18782141696082738,-1.8249738228624384,2.012795239823266,14,0.0005998800239952009,19,False,True,False
ALL,generic x speech,-0.27283796941205873,-0.7201179956880313,0.19565419320007307,-0.9157721888881043,131,0.0005998800239952009,20,False,True,False
UNMARKED,mild x continues,0.6726626070954634,1.0414006564465195,-0.61269245949885,1.6540931159453693,15,0.0005998800239952009,21,False,True,False
MARKED,strong x punish,4.745293536605447,3.651278755224664,5.1194373835983775,-1.4681586283737134,27,0.0007998400319936012,22,False,True,False
ALL,speech x bare,-0.2726719049368076,-0.5852508474547162,0.043167607153147824,-0.628418454607864,94,0.0007998400319936012,23,False,True,False
MARKED,strong x bare,-0.9173105404878175,-0.091205790886027,-1.2729735235006823,1.1817677326146552,30,0.0009998000399920016,24,False,True,False
MARKED,mild x continues,0.12518702312331756,0.5533746673043908,-0.5693914973738191,1.1227661646782099,56,0.0009998000399920016,25,False,True,False
MARKED,punish x bare,-1.1414732735661643,-0.5747117969848858,-1.498021480412299,0.9233096834274133,40,0.0011997600479904018,26,False,True,False
ALL,punish x bare,-1.3333865013869295,-0.8384005822674773,-1.6000299044832276,0.7616293222157503,46,0.0013997200559888023,27,False,True,False
ALL,strong x punish,4.7847135438493265,3.84988610398033,5.022501055091039,-1.1726149511107096,45,0.0015996800639872025,28,False,True,False
UNMARKED,mild x generic,-0.6936940663749542,-1.0677816606666177,0.3730378542683107,-1.4408195149349283,20,0.001999600079984003,29,False,True,False
ALL,diff_reg x subst,-3.467919608785872,-2.3672268414604063,-3.0484784436980594,0.6812516022376531,0,0.002999400119976005,30,False,True,True
ALL,continues x punish,2.8558553462925724,2.083226900131817,3.2979528785969423,-1.2147259784651254,29,0.003999200159968006,31,False,True,False
ALL,continues x speech,0.21371298899376576,0.5928398342260377,-0.19193467836174316,0.7847745125877809,146,0.004999000199960008,32,False,True,False
MARKED,continues x punish,2.8657715744618533,1.9603538458095224,3.4597749198568652,-1.4994210740473428,19,0.007998400319936013,33,False,True,False
ALL,strong x diff_reg,0.6290309749352206,-1.3768346055286456,0.5260475489911459,-1.9028821545197916,0,0.008598280343931213,34,False,True,True
ALL,strong x generic,-4.157126147936539,-3.068772464206103,-4.6080755795269415,1.5393031153208385,6,0.015796840631873626,35,False,False,True
UNMARKED,mild x punish,-1.7026808258585695,-0.3565280152276397,-2.375588867390972,2.0190608521633324,0,0.020195960807838434,36,False,False,True
UNMARKED,same_pitch x generic,-0.8467049661334111,-1.057354075679666,-0.6332604039620267,-0.42409367171763934,294,0.020395920815836834,37,False,False,False
ALL,mild x punish,-3.0181874789330085,-2.0133737644586676,-4.51250210128415,2.499128336825483,0,0.02539492101579684,38,False,False,True
ALL,generic x subst,0.4738831900352984,0.2665798785165925,0.6913430935900406,-0.42476321507344816,121,0.03259348130373925,39,False,False,False
MARKED,generic x speech,-0.5578020911299507,-0.955548833271642,-0.027478035732855916,-0.9280707975387861,35,0.033793241351729654,40,False,False,False
UNMARKED,speech x bare,-0.32042495024735135,-0.5704832597426872,-0.1517849936091074,-0.4186982661335798,50,0.03579284143171366,41,False,False,False
UNMARKED,generic x subst,0.26949426194573534,-0.08109851589818583,0.6552147828088515,-0.7363132987070373,34,0.03819236152769446,42,False,False,False
UNMARKED,strong x punish,4.991136396893197,3.8251784621297102,5.146486857636031,-1.3213083955063207,10,0.04099180163967207,43,False,False,False
UNMARKED,mild x bare,-1.871321944710542,-2.1262493771926123,-1.2682849996562553,-0.857964377536357,10,0.04599080183963208,44,False,False,False
ALL,diff_reg x speech,0.579724178757112,1.355516661722348,0.047618041416858034,1.3078986203054899,10,0.05678864227154569,45,False,False,False
UNMARKED,speech x subst,-4.178818789073995,-3.291179414967209,-3.658357273487252,0.3671778585200429,0,0.057388522295540895,46,False,False,True
