test,norm,subset,effect,lo,hi,mde,p,n_stems
paired_mean,Abs-Conc.MT-Conc,all,0.10657628621500628,0.0542894940148428,0.15886307841516978,0.07469541742880498,7.171070585496514e-05,683
paired_mean,Abs-Conc.MT-Conc,verbs,-0.014042321004782695,-0.07576807944303196,0.04768343743346656,0.08817965491178464,0.6558886772835152,455
paired_mean,Abs-Conc.LSN-Hapt,all,0.06954184801525767,0.0080078759294313,0.13107582010108404,0.08790567440832339,0.027084486975964113,684
paired_mean,Abs-Conc.LSN-Hapt,verbs,-0.0745601746664938,-0.18771785788823703,0.038597508555249446,0.1616538331739189,0.19720341412272308,455
paired_mean,Abs-Conc.LSN-Imag,all,0.1665909981979543,0.09277806491637622,0.2404039314795324,0.10544704754511154,1.1294105546206092e-05,684
paired_mean,Abs-Conc.LSN-Imag,verbs,0.052702335203102905,-0.04680108112332897,0.15220575152953478,0.1421477376091884,0.299766342220021,455
paired_mean,Abs-Conc.MRC-Conc,all,0.16586453134939985,0.09406287083947755,0.23766619185932214,0.10257380072846041,7.184161010421682e-06,606
paired_mean,Abs-Conc.MRC-Conc,verbs,0.19423541912161935,0.08768393715289445,0.3007869010903442,0.15221640281246412,0.0004219735056747963,256
bowker_trichotomy,Abs-Conc.MT-Conc,verbs_th0.5,71.0735639642865,,,,2.55351295663786e-15,1763
bowker_trichotomy,Abs-Conc.MT-Conc,verbs_th1.0,9.336634830798255,,,,0.025134329528769483,1763
bowker_trichotomy,Abs-Conc.LSN-Hapt,verbs_th0.5,4.929229581511636,,,,0.17705325875920574,1768
bowker_trichotomy,Abs-Conc.LSN-Hapt,verbs_th1.0,34.67103202313778,,,,1.4296470729480149e-07,1768
bowker_trichotomy,Abs-Conc.LSN-Imag,verbs_th0.5,12.222691712262725,,,,0.00665797228832643,1768
bowker_trichotomy,Abs-Conc.LSN-Imag,verbs_th1.0,17.35551948051948,,,,0.0005971811983397357,1768
abs_z_paired,Abs-Conc.MT-Conc,verbs,-0.05296146051176304,-0.09006071238921882,-0.015862208634307248,0.05299893125350826,0.005360408899187311,455
abs_z_paired,Abs-Conc.LSN-Hapt,verbs,-0.07885978821135325,-0.15107485672951756,-0.006644719693188944,0.10316438359737758,0.03285907169671473,455
abs_z_paired,Abs-Conc.LSN-Imag,verbs,0.01233518165589097,-0.04544419481443335,0.0701145581262153,0.0825419663861776,0.6758264248171396,455
