lexicon,min_types,n_resid,rho_resid,p_resid,mde_resid,n_raw,rho_raw,p_raw,mde_raw,n_fq_conc,rho_fq_conc,p_fq_conc,mde_fq_conc
induced,3,13,0.5274725274725275,0.06395489148355478,0.5529426594945893,13,0.3626373626373627,0.22331572029248167,0.5529426594945893,13,0.5714285714285714,0.041342267371723494,0.5529426594945893
wordnet,3,14,0.5384615384615385,0.04697614585955511,0.5324128046813096,14,0.5208791208791209,0.05615392734370263,0.5324128046813096,14,0.5868131868131868,0.02738437553108773,0.5324128046813096
verbnet,3,127,0.41161065804274466,1.5273979017620352e-06,0.17430829232764994,127,0.36167744656917883,2.941682791854522e-05,0.17430829232764994,126,0.42714960629921267,6.097553928787874e-07,0.17500167111255024
usas,3,78,0.35952654939996703,0.0012257877183340013,0.22272204281696126,78,0.22103213242453748,0.05180965072619975,0.22272204281696126,78,0.346931549463195,0.0018594647289648077,0.22272204281696126
framenet,3,118,0.4113045478947772,3.71324750193643e-06,0.18086371728430092,118,0.3034230641409106,0.0008376749288183254,0.18086371728430092,118,0.4158403909151666,2.8273760194770627e-06,0.18086371728430092
rid,3,17,0.5784313725490197,0.014996936854650129,0.4821460169003326,17,0.06372549019607844,0.808021077411703,0.4821460169003326,17,0.6544117647058824,0.004367978540420788,0.4821460169003326
induced,5,13,0.5274725274725275,0.06395489148355478,0.5529426594945893,13,0.3626373626373627,0.22331572029248167,0.5529426594945893,13,0.5714285714285714,0.041342267371723494,0.5529426594945893
wordnet,5,14,0.5384615384615385,0.04697614585955511,0.5324128046813096,14,0.5208791208791209,0.05615392734370263,0.5324128046813096,14,0.5868131868131868,0.02738437553108773,0.5324128046813096
verbnet,5,89,0.3976506639427988,0.00011394779619691234,0.2084145548937157,89,0.3716207013959823,0.00033628815066850915,0.2084145548937157,89,0.4307797071842016,2.5089308711384692e-05,0.2084145548937157
usas,5,51,0.4717647058823529,0.0004745193889913324,0.2759364632494313,51,0.216289592760181,0.12740084265360202,0.2759364632494313,50,0.45123649459783916,0.001005633477225026,0.2787105932305166
framenet,5,58,0.39678242948106685,0.002044563982769771,0.2585893097893557,58,0.3812790304223446,0.003147499765733007,0.2585893097893557,58,0.490725645205943,9.199228164430091e-05,0.2585893097893557
rid,5,16,0.5235294117647059,0.037412648130149384,0.49730903545939303,16,-0.08823529411764705,0.7452220943671326,0.49730903545939303,16,0.6205882352941177,0.010313515549677663,0.49730903545939303
induced,10,13,0.5274725274725275,0.06395489148355478,0.5529426594945893,13,0.3626373626373627,0.22331572029248167,0.5529426594945893,13,0.5714285714285714,0.041342267371723494,0.5529426594945893
wordnet,10,11,0.5545454545454546,0.0766523333397824,0.6020687774370083,11,0.5454545454545455,0.08265095734417502,0.6020687774370083,11,0.6000000000000001,0.05100326070695072,0.6020687774370083
verbnet,10,37,0.25746799431009953,0.12394331015437195,0.32457291523666976,37,0.41678520625889043,0.010283412587068273,0.32457291523666976,37,0.37268847795163584,0.023104509504241175,0.32457291523666976
usas,10,29,0.6556650246305418,0.00011293755835811554,0.3672776842415271,29,0.10985221674876844,0.5705293768306982,0.3672776842415271,29,0.622167487684729,0.0003139805445332714,0.3672776842415271
framenet,10,24,0.5434782608695652,0.006055021007749124,0.404386322432714,24,0.42956521739130427,0.036179675335291185,0.404386322432714,24,0.5313043478260869,0.0075481790985878865,0.404386322432714
rid,10,13,0.7197802197802198,0.005536115775787642,0.5529426594945893,13,0.021978021978021976,0.9431862416608072,0.5529426594945893,13,0.7527472527472527,0.002982233389169849,0.5529426594945893
induced,20,7,0.8571428571428573,0.013697326615325611,0.7544922344609644,7,0.7142857142857144,0.07134356146753763,0.7544922344609644,7,0.7500000000000002,0.05218140045705777,0.7544922344609644
wordnet,20,6,1.0,0.0,0.8114013518995078,6,0.6,0.208,0.8114013518995078,6,0.7714285714285715,0.07239650145772594,0.8114013518995078
verbnet,20,9,-0.06666666666666667,0.8646897846262036,0.666383605336309,9,0.08333333333333334,0.831214097710308,0.666383605336309,9,0.3666666666666667,0.3317398014330152,0.666383605336309
usas,20,12,0.7062937062937064,0.010245193941127849,0.5759829864422639,12,0.31468531468531474,0.3191387855033045,0.5759829864422639,12,0.5804195804195805,0.04785597684206059,0.5759829864422639
framenet,20,8,0.9285714285714287,0.0008629681828999772,0.7067344007306551,8,0.5714285714285715,0.13895995716070678,0.7067344007306551,8,0.9761904761904763,3.3143960262000996e-05,0.7067344007306551
rid,20,10,0.8060606060606059,0.004862061101964608,0.6318968647198338,10,0.04242424242424241,0.9073638178128159,0.6318968647198338,10,0.7575757575757575,0.01114344679969421,0.6318968647198338
