category,faller_rate,riser_rate,diff,p,n_words,rank,bonferroni
TranLw,0.07178714859437751,0.1892570281124498,0.12248656141488551,1.6434146663248483e-31,96,1,True
IAV,0.20163989290495316,0.3211178045515395,0.12637575705731294,6.224198744526336e-28,268,2,True
Active,0.26305220883534136,0.37399598393574296,0.12595389065552962,1.8042789683759486e-24,290,3,True
ComForm,0.07379518072289157,0.15227576974564927,0.08361609492726758,1.1832086074825348e-22,96,4,True
Power,0.03781793842034806,0.11178045515394913,0.07239902519507782,5.103591771731766e-20,62,5,True
COM,0.028447121820615796,0.08149263721552878,0.05447207839867119,6.9136547766764e-18,57,6,True
FormLw,0.02677376171352075,0.07028112449799197,0.043927869328954275,1.1846680218260378e-14,48,7,True
Hostile,0.1107764390896921,0.0607429718875502,-0.05077913808003836,6.717172382309584e-11,88,8,True
Tool,0.01639892904953146,0.04752342704149933,0.03116592634136494,3.36632030179962e-10,38,9,True
Object,0.030455153949129853,0.06342034805890227,0.03351757282678335,4.08685492207986e-09,67,10,True
Means,0.018072289156626505,0.04200133868808568,0.028588634400037907,4.744178967910311e-09,37,11,True
Perceiv,0.02610441767068273,0.05555555555555555,0.03304143671468233,8.131531166873158e-09,22,12,True
EnlTot,0.11328647925033467,0.16716867469879518,0.05348862219822515,1.531564211222054e-08,82,13,True
EnlOth,0.03547523427041499,0.06609772423025435,0.032924065051258035,1.9839408293388192e-08,58,14,True
Strong,0.11947791164658635,0.1755354752342704,0.054289647162454185,4.045891776733466e-08,142,15,True
TimeSpc,0.0391566265060241,0.07011378848728246,0.03211634653520618,5.633656953139457e-07,47,16,True
Weak,0.020917001338688086,0.032965194109772424,0.017517434238925465,5.0565261575839135e-05,51,17,True
Vice,0.020414993306559572,0.03765060240963856,0.018672973387885667,9.532411408427112e-05,24,18,True
ECON,0.006693440428380187,0.019076305220883535,0.012897580002843165,0.00023191154298737794,22,19,True
SocRel,0.09354082998661312,0.06726907630522089,-0.023416707817677348,0.0008607370829597517,100,20,True
Negativ,0.10107095046854082,0.07948460508701473,-0.023117612227723034,0.0019220511464034305,110,21,False
HU,0.016231593038821955,0.02710843373493976,0.013003849626656645,0.002417744901716124,32,22,False
Travel,0.046519410977242305,0.06040829986613119,0.02094994430520746,0.00302827034127349,49,23,False
Affil,0.036646586345381524,0.051706827309236945,0.016246572435976867,0.003925217595432304,52,24,False
PowTot,0.06994645247657295,0.0853413654618474,0.019757360492009615,0.006204757565858878,80,25,False
Role,0.01355421686746988,0.022757697456492636,0.011085121830735865,0.0063189541909682385,21,26,False
Exert,0.05906961178045515,0.047356091030789825,-0.014813784331328189,0.0109824829278383,57,27,False
Pstv,0.03982597054886212,0.05137215528781794,0.014934527593230272,0.012067284113895125,64,28,False
Positiv,0.040160642570281124,0.05187416331994645,0.014875351876159817,0.012621485834888752,67,29,False
Passive,0.07948460508701473,0.09103078982597054,0.018212352073732493,0.013588834130663025,94,30,False
RspTot,0.004016064257028112,0.007028112449799197,0.0041986806241192205,0.026276938883376528,22,31,False
Submit,0.05622489959839357,0.04183400267737617,-0.01179201247010573,0.03214422921072184,39,32,False
Ngtv,0.09119812583668005,0.07764390896921017,-0.01419206328024426,0.04555417005489244,94,33,False
Finish,0.011713520749665328,0.016900937081659972,0.00539866519206316,0.056348162019562054,22,34,False
Work,0.06492637215528782,0.05287817938420348,-0.010919024590538902,0.06505252245861251,64,35,False
PowOth,0.010040160642570281,0.014223560910307898,0.004996244415104064,0.07103964168739492,24,36,False
DAV,0.2784471218206158,0.28396921017402943,0.02130632279812797,0.07778972676617453,220,37,False
Virtue,0.018741633199464525,0.014558232931726908,-0.005658252971849462,0.0861533196494064,28,38,False
Stay,0.01673360107095047,0.020080321285140562,0.0047667529027178145,0.13678170111978888,21,39,False
TrnLoss,0.0319611780455154,0.02744310575635877,-0.0062713412147853516,0.14139733564013093,30,40,False
EnlGain,0.07647255689424363,0.06710174029451138,-0.009162540398112881,0.17843856788230503,27,41,False
NatrPro,0.011546184738955823,0.009036144578313253,-0.002878318887090817,0.23710793838593938,24,42,False
WlbTot,0.017904953145917002,0.015562248995983935,-0.003203594650963072,0.28721482710173596,34,43,False
Solve,0.04467871485943775,0.04919678714859438,0.005132976185607766,0.3948251856294041,41,44,False
ComnObj,0.0107095046854083,0.012884872824631861,0.002414043477639969,0.40558567630406983,22,45,False
Quality,0.011546184738955823,0.014056224899598393,0.0020864207267716046,0.45260317650106413,22,46,False
Fetch,0.04133199464524766,0.04417670682730924,0.0035059056440635383,0.4630165899506478,21,47,False
Ovrst,0.012215528781793841,0.008366800535475234,-0.0013456897228827053,0.5601315929364309,33,48,False
Quan,0.012884872824631861,0.009036144578313253,-0.0012659043360797745,0.5935276959690506,26,49,False
Space,0.048694779116465865,0.04752342704149933,-0.0013301168454677233,0.7869532572488118,36,50,False
