edge,pov,person,modal,v
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,indiv,I,absent,0.3139797840580186
HuggingFaceTB/SmolLM2-360M>HuggingFaceTB/SmolLM2-360M-Instruct,indiv,I,absent,0.2051357564171697
HuggingFaceTB/SmolLM3-3B-Base>HuggingFaceTB/SmolLM3-3B,indiv,I,absent,-0.42879595741160437
LLM360/Amber>LLM360/AmberSafe,indiv,I,absent,-0.24346835343537537
Qwen/Qwen2.5-0.5B>Qwen/Qwen2.5-0.5B-Instruct,indiv,I,absent,0.4505289992066659
Qwen/Qwen2.5-7B>Qwen/Qwen2.5-7B-Instruct,indiv,I,absent,-0.06332638994591921
Qwen/Qwen3-8B-Base>Qwen/Qwen3-8B,indiv,I,absent,0.19139292373063377
RWKV/rwkv-4-7b-pile>RWKV/rwkv-raven-7b,indiv,I,absent,0.04071898754646419
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T>TinyLlama/TinyLlama-1.1B-Chat-v1.0,indiv,I,absent,-0.29116192596951973
allenai/OLMo-2-0425-1B>allenai/OLMo-2-0425-1B-Instruct,indiv,I,absent,-0.35473303568667014
allenai/OLMoE-1B-7B-0125>allenai/OLMoE-1B-7B-0125-Instruct,indiv,I,absent,-0.05098260118943754
allenai/Olmo-3-1025-7B>allenai/Olmo-3-7B-Instruct,indiv,I,absent,-0.16578982490226546
allenai/Olmo-3-1025-7B>allenai/Olmo-3-7B-Think-DPO,indiv,I,absent,-0.04547820017461224
allenai/Olmo-3-1125-32B>allenai/Olmo-3.1-32B-Instruct,indiv,I,absent,0.15279743433794424
allenai/Olmo-Hybrid-7B>allenai/Olmo-Hybrid-Instruct-DPO-7B,indiv,I,absent,0.42275628017463757
bigscience/bloom-7b1>bigscience/bloomz-7b1,indiv,I,absent,0.08189930215771823
deepseek-ai/deepseek-llm-7b-base>deepseek-ai/deepseek-llm-7b-chat,indiv,I,absent,-0.5508683057865943
huggyllama/llama-7b>PKU-Alignment/beaver-7b-v1.0,indiv,I,absent,-0.7311351937015165
m-a-p/CT-LLM-Base>m-a-p/CT-LLM-SFT-DPO,indiv,I,absent,-0.0537404120142051
m-a-p/neo_7b>m-a-p/neo_7b_instruct_v0.1,indiv,I,absent,0.08305565261634296
meta-llama/Llama-3.1-8B>allenai/Llama-3.1-Tulu-3-8B-SFT,indiv,I,absent,0.2786796798827079
meta-llama/Llama-3.1-8B>allenai/Llama-3.1-Tulu-3-8B-SFT-no-math-data,indiv,I,absent,0.23796375138421533
meta-llama/Llama-3.1-8B>allenai/Llama-3.1-Tulu-3-8B-SFT-no-persona-data,indiv,I,absent,0.27653315684639224
meta-llama/Llama-3.1-8B>allenai/Llama-3.1-Tulu-3-8B-SFT-no-wildchat-data,indiv,I,absent,-0.016771777786295794
meta-llama/Llama-3.1-8B>allenai/Llama-3.1-Tulu-3.1-8B,indiv,I,absent,-0.0822639379762452
meta-llama/Llama-3.1-8B>meta-llama/Llama-3.1-8B-Instruct,indiv,I,absent,-0.27445396017837437
microsoft/phi-4>microsoft/phi-4-reasoning,indiv,I,absent,-1.220042398545962
mistralai/Mistral-7B-v0.1>HuggingFaceH4/zephyr-7b-beta,indiv,I,absent,0.16921221604982495
openbmb/MiniCPM5-1B-Base>openbmb/MiniCPM5-1B,indiv,I,absent,0.33135028591440036
stabilityai/stablelm-2-1_6b>stabilityai/stablelm-2-zephyr-1_6b,indiv,I,absent,0.18816795851806234
tiiuae/Falcon-H1-1.5B-Base>tiiuae/Falcon-H1-1.5B-Instruct,indiv,I,absent,-0.48588335523326753
