a,b,cos,jaccard,n_a,n_b,open_a,open_b
induced:locomotion_posture,wordnet:motion,0.0016512870788574219,0.5445544554455446,67,89,1.0,1.0
induced:object_handling,wordnet:contact,0.0027199983596801758,0.3575757575757576,105,119,1.0,1.0
induced:speech_act,wordnet:communication,0.0033313632011413574,0.4657534246575342,39,68,1.0,0.9705882352941176
rid:social_behavior,usas:Q2.2,0.0044283270835876465,0.20304568527918782,134,103,1.0,1.0
framenet:Self_motion,verbnet:run,0.004509449005126953,0.4166666666666667,68,34,1.0,1.0
framenet:Self_motion,wordnet:motion,0.005784034729003906,0.12142857142857143,68,89,1.0,1.0
induced:object_handling,wordnet:motion,0.0061604976654052734,0.0718232044198895,105,89,1.0,1.0
framenet:Statement,rid:social_behavior,0.0062029361724853516,0.189873417721519,54,134,1.0,1.0
induced:perception_cognition,wordnet:perception,0.0063138604164123535,0.3508771929824561,49,28,1.0,1.0
induced:grammatical_function,wordnet:unassigned,0.006338536739349365,0.41935483870967744,100,120,0.42,0.4583333333333333
framenet:Self_motion,induced:locomotion_posture,0.007831752300262451,0.1440677966101695,68,67,1.0,1.0
framenet:Communication_manner,verbnet:manner_speaking,0.007887661457061768,0.5789473684210527,12,18,1.0,1.0
induced:perception_cognition,wordnet:communication,0.008010923862457275,0.07339449541284404,49,68,1.0,0.9705882352941176
rid:need,usas:B1,0.008092403411865234,0.17647058823529413,70,50,1.0,1.0
induced:object_handling,wordnet:change,0.008131682872772217,0.09375,105,35,1.0,0.9714285714285714
framenet:Body_movement,rid:icarian_imagery,0.008294463157653809,0.08823529411764706,47,101,1.0,0.9900990099009901
rid:aggression,usas:A1.1.2,0.008662283420562744,0.15,83,32,0.9879518072289156,1.0
rid:icarian_imagery,usas:M1,0.008711159229278564,0.11458333333333333,101,113,0.9900990099009901,0.9911504424778761
framenet:Self_motion,wordnet:contact,0.008830606937408447,0.0,68,119,1.0,1.0
framenet:Cause_harm,rid:aggression,0.008873462677001953,0.23076923076923078,45,83,1.0,0.9879518072289156
usas:Q2.2,verbnet:say,0.008927702903747559,0.06666666666666667,103,25,1.0,1.0
induced:locomotion_posture,wordnet:contact,0.009000539779663086,0.027624309392265192,67,119,1.0,1.0
framenet:Self_motion,rid:icarian_imagery,0.009010136127471924,0.08333333333333333,68,101,1.0,0.9900990099009901
rid:icarian_imagery,usas:M2,0.009037613868713379,0.07344632768361582,101,89,0.9900990099009901,1.0
framenet:Placing,wordnet:contact,0.00904005765914917,0.09285714285714286,34,119,1.0,1.0
framenet:Self_motion,usas:M1,0.009069263935089111,0.19078947368421054,68,113,1.0,0.9911504424778761
induced:bodily_violence,wordnet:contact,0.009227514266967773,0.12403100775193798,26,119,1.0,1.0
rid:aggression,verbnet:amuse,0.009477376937866211,0.125,83,52,0.9879518072289156,0.9807692307692307
rid:instrumental_behavior,usas:A9,0.009486556053161621,0.04516129032258064,92,70,0.9891304347826086,0.9285714285714286
induced:nonverbal_expression,wordnet:body,0.009542465209960938,0.3448275862068966,18,21,1.0,1.0
rid:social_behavior,verbnet:say,0.009547233581542969,0.07432432432432433,134,25,1.0,1.0
rid:defensive_symbolization,usas:A1.1.1,0.009558260440826416,0.013605442176870748,59,90,1.0,0.9444444444444444
usas:M1,wordnet:motion,0.009569764137268066,0.21686746987951808,113,89,0.9911504424778761,1.0
induced:transfer_possession,wordnet:possession,0.009648442268371582,0.35555555555555557,29,32,1.0,0.90625
framenet:Statement,usas:Q2.2,0.009848475456237793,0.12142857142857143,54,103,1.0,1.0
induced:grammatical_function,usas:Z5,0.009899735450744629,0.17886178861788618,100,45,0.42,0.2222222222222222
rid:defensive_symbolization,verbnet:other_cos,0.009900689125061035,0.010309278350515464,59,39,1.0,1.0
framenet:Filling,verbnet:spray,0.00994253158569336,0.5714285714285714,19,14,1.0,1.0
framenet:Manipulation,wordnet:contact,0.009951293468475342,0.06802721088435375,38,119,1.0,1.0
verbnet:crane,wordnet:contact,0.01010221242904663,0.02857142857142857,25,119,1.0,1.0
usas:M2,verbnet:amuse,0.010152995586395264,0.06818181818181818,89,52,1.0,0.9807692307692307
rid:aggression,usas:A1.1.1,0.010183632373809814,0.01764705882352941,83,90,0.9879518072289156,0.9444444444444444
induced:locomotion_posture,wordnet:change,0.010187089443206787,0.030303030303030304,67,35,1.0,0.9714285714285714
