measure,kind,pred,fr,rf,d,p,n,rate
B_MILDER | B_DIFFERENT_REGISTER,CONDITIONAL,,0.25,0.0,0.25,0.4990750462476876,6,0.17532467532467533
more_transg | B_CONTINUES,exploratory,,0.11015258215962441,0.2981723675385647,-0.1880197853789403,4.999750012499375e-05,284,0.2473965662820152
B_MILDER | B_CONTINUES,CONDITIONAL,1.0,0.24455063715627096,0.06047954393024816,0.18407109322602278,4.999750012499375e-05,284,0.1294680551646496
more_transg | B_DIFFERENT_REGISTER,exploratory,,0.16666666666666666,0.3333333333333333,-0.16666666666666666,1.0,6,0.16883116883116883
pitch=B_STRONGER,directional,-1.0,0.03786181139122316,0.18809523809523807,-0.15023342670401493,4.999750012499375e-05,510,0.11296426068675543
more_transgressive=NO,directional,,0.545891690009337,0.40611577964519135,0.13977591036414566,4.999750012499375e-05,510,0.4758234057463209
more_transgressive=YES,directional,-1.0,0.06419234360410832,0.20079365079365077,-0.13660130718954247,4.999750012499375e-05,510,0.1324456902592852
pitch=B_MILDER,directional,1.0,0.16890756302521007,0.047619047619047616,0.12128851540616246,4.999750012499375e-05,510,0.10833917309039943
CONJUNCTION cont&mild,PRIMARY,1.0,0.10896358543417367,0.019887955182072828,0.08907563025210083,4.999750012499375e-05,510,0.0644709180098108
register=B_GENERIC,directional,1.0,0.5011204481792717,0.4582633053221289,0.04285714285714285,0.035548222588870554,510,0.4800280308339173
B_MILDER | B_GENERIC,CONDITIONAL,,0.06374530075187969,0.028743734335839596,0.0350015664160401,0.0026998650067496625,304,0.0835036496350365
register=B_CONTINUES,directional,,0.48515406162464986,0.5114845938375351,-0.02633053221288515,0.20368981550922455,510,0.4979677645409951
pitch=SAME_PITCH,directional,,0.4122782446311858,0.3863678804855275,0.025910364145658265,0.004249787510624469,510,0.3990189208128942
register=B_DIFFERENT_REGISTER,directional,1.0,0.013725490196078431,0.02941176470588235,-0.01568627450980392,0.00199990000499975,510,0.02158374211632796
becomes_speech=YES,directional,1.0,0.10644257703081232,0.09467787114845937,0.01176470588235294,0.3743312834358282,510,0.10063069376313945
becomes_speech=NO,directional,,0.8896358543417368,0.9002801120448178,-0.01064425770308123,0.4233788310584471,510,0.8948843728100911
more_transg | B_GENERIC,exploratory,,0.009398496240601503,0.017465538847117795,-0.00806704260651629,0.21778911054447278,304,0.01167883211678832
substitutable=NO,SYMMETRIC,,0.9042016806722689,0.9119514472455649,-0.007749766573295985,0.06589670516474176,510,0.9080588647512263
substitutable=YES,SYMMETRIC,,0.09579831932773109,0.0880485527544351,0.0077497665732959835,0.07189640517974101,510,0.09194113524877365
related=YES,SYMMETRIC,,0.9904761904761905,0.9837535014005603,0.006722689075630252,0.0026998650067496625,510,0.9871058163980378
related=NO,SYMMETRIC,,0.009523809523809523,0.016246498599439774,-0.006722689075630251,0.0026998650067496625,510,0.012894183601962159
bare_verb=YES,SYMMETRIC,,0.3585901027077497,0.36391223155929037,-0.005322128851540617,0.3799310034498275,510,0.3613174491941135
bare_verb=NO,SYMMETRIC,,0.6405695611577964,0.6358076563958917,0.0047619047619047615,0.4624268786560672,510,0.6381219341275403
more_transgressive=NOT_APPLICABLE,directional,,0.3899159663865546,0.3930905695611578,-0.0031746031746031746,0.6789660516974151,510,0.3917309039943938
pitch=NOT_APPLICABLE,directional,,0.38095238095238093,0.37791783380018673,0.0030345471521942115,0.7414129293535323,510,0.37967764540995097
becomes_speech=NOT_APPLICABLE,directional,,0.00392156862745098,0.0050420168067226885,-0.0011204481792717086,0.43072846357682115,510,0.004484933426769446
