family,rung,n_pairs,own,twin,far,own_twin,twin_far
amber,base>sft,1330,0.2996563454991893,0.2986003048549917,0.3063597023935246,0.0010560406441975645,-0.007759397538532886
amber,sft>pref,1278,0.2947166876893648,0.2934441468175588,0.30261090477121083,0.001272540871806005,-0.009166757953652016
beaver,base>sft,1280,0.2989975859061815,0.29836250374792145,0.3047423783689737,0.0006350821582600252,-0.006379874621052273
beaver,sft>pref,674,0.2985282084443095,0.2965281667845539,0.302310402695786,0.0020000416597555914,-0.005782235911232114
ct-llm,base>sft,1274,0.302576762821461,0.3021780579720786,0.30696147858067246,0.00039870484938242523,-0.00478342060859388
map-neo,base>sft,1328,0.2991646235494549,0.2977297416697425,0.3057581331266696,0.001434881879712413,-0.00802839145692713
map-neo,sft>pref,194,0.30492936328207093,0.30344564237238203,0.3105764688597512,0.0014837209096889015,-0.00713082648736918
minicpm,base>sft,1346,0.2989953423436471,0.29826257446501264,0.30574399899320476,0.000732767878634466,-0.0074814245281921155
olmo,base>sft,1342,0.3003425330767511,0.2987632538495938,0.3061924255862499,0.001579279227157282,-0.007429171736656082
olmo,sft>pref,490,0.3085159945244692,0.3064924783244425,0.3110298730889145,0.0020235162000267204,-0.004537394764472014
olmo-32b,base>sft,1314,0.301163905763735,0.29983914635587866,0.3064033839982031,0.001324759407856313,-0.006564237642324444
olmo-32b,sft>pref,202,0.309469010127653,0.3072074045344154,0.311632964723181,0.00226160559323757,-0.004425560188765609
olmo-hybrid,base>sft,1288,0.2978357528423115,0.29704721849296034,0.3036843331889336,0.0007885343493511665,-0.0066371146959732785
olmo-tiny,base>sft,1316,0.30060263387972097,0.2994159943562873,0.3060650477882214,0.0011866395234336746,-0.0066490534319341155
olmo-tiny,sft>pref,824,0.3171588150259939,0.3169524132916071,0.3185152751981344,0.00020640173438679632,-0.0015628619065272686
olmoe,base>sft,1278,0.3018940642172928,0.30094307728683073,0.30582883910907077,0.0009509869304620833,-0.004885761822240042
olmoe,sft>pref,584,0.31372046024117567,0.31277227388975554,0.3151470058635898,0.0009481863514201327,-0.0023747319738342543
redpajama,base>sft,668,0.3031456317462607,0.30206958974103726,0.3064401705643374,0.001076042005223432,-0.004370580823300163
redpajama,sft>pref,1124,0.2960265382090285,0.29445250320423966,0.3025829320064219,0.0015740350047888652,-0.008130428802182232
stablelm,base>sft,1320,0.3004863819728295,0.29989005549613273,0.307402548081044,0.0005963264766967735,-0.007512492584911268
stablelm,sft>pref,1172,0.2965679993477901,0.2954616440085014,0.3026314096290097,0.0011063553392887115,-0.007169765620508306
tulu,base>sft,1048,0.30323950652004655,0.30243924338342126,0.308757348924534,0.0008002631366252899,-0.0063181055411127285
tulu,sft>pref,1040,0.3146692971054178,0.31446367737192377,0.3157794705950297,0.0002056197334940335,-0.0013157932231059322
zephyr,base>sft,1028,0.3006280677588765,0.29961580625130046,0.3054244539733063,0.001012261507576051,-0.005808647722005844
zephyr,sft>pref,348,0.3070531281931647,0.30610218451454724,0.31088804838986234,0.0009509436786174774,-0.0047858638753150995
