word,rises,falls,net_count_pooled,net_magnitude,rise_rate,net_count_her,net_count_his,rises_her,falls_her,rises_his,falls_his,B_opus,B_sonnet,Cexp_opus,Cexp_sonnet,Ccharge_opus,Ccharge_sonnet,D_opus,D_sonnet,A_opus,A_sonnet
T,0,4,-4,-0.01098485438451681,0.0,-3,-1,0,3,0,1,,,,,,,,,,
T-shirt,1,2,-1,-0.0031945771073635144,0.3333333333333333,0,-1,0,0,1,2,85.0,75.0,60.0,45.0,40.0,25.0,42.0,35.0,22.0,42.0
apron,7,7,0,0.012390830778507039,0.5,0,0,6,6,1,1,40.0,30.0,8.0,15.0,10.0,20.0,16.0,12.0,62.0,38.0
armor,1,4,-3,0.0739019590000008,0.2,1,-4,1,0,0,4,30.0,30.0,35.0,15.0,15.0,5.0,18.0,8.0,96.0,88.0
backpack,10,4,6,0.035559033336067226,0.7142857142857143,3,3,4,1,6,3,15.0,12.0,2.0,3.0,2.0,2.0,3.0,2.0,95.0,40.0
belt,3,16,-13,-0.08059195291949445,0.15789473684210525,-5,-8,0,5,3,11,60.0,35.0,15.0,8.0,45.0,20.0,25.0,38.0,58.0,12.0
bikini,1,3,-2,-0.0036274599728495244,0.25,-2,0,1,3,0,0,90.0,82.0,92.0,80.0,88.0,70.0,85.0,80.0,8.0,20.0
black,7,20,-13,-0.06765548980190876,0.25925925925925924,-6,-7,4,10,3,10,,,,,,,,,,
blazer,3,0,3,0.010410608163614804,1.0,3,0,3,0,0,0,55.0,28.0,12.0,15.0,12.0,15.0,18.0,15.0,60.0,60.0
blindfold,4,3,1,0.011028774671143583,0.5714285714285714,1,0,2,1,2,2,60.0,35.0,25.0,10.0,45.0,40.0,12.0,55.0,85.0,12.0
blouse,4,9,-5,-0.04475356879028255,0.3076923076923077,-5,0,4,9,0,0,80.0,65.0,62.0,50.0,55.0,40.0,50.0,40.0,28.0,45.0
blue,1,8,-7,-0.020343611942111674,0.1111111111111111,-4,-3,1,5,0,3,,,,,,,,,,
boots,16,12,4,0.0005592323905797107,0.5714285714285714,4,0,10,6,6,6,35.0,20.0,8.0,15.0,20.0,20.0,14.0,15.0,70.0,26.0
bra,5,11,-6,-0.03866167460676874,0.3125,-6,0,5,11,0,0,95.0,95.0,88.0,85.0,90.0,92.0,92.0,95.0,4.0,24.0
brown,4,0,4,0.013693359202692563,1.0,2,2,2,0,2,0,,,,,,,,,,
cap,8,11,-3,-0.03356446331090482,0.42105263157894735,-5,2,1,6,7,5,45.0,20.0,8.0,8.0,5.0,5.0,10.0,8.0,88.0,22.0
cardigan,3,0,3,0.013976329777520297,1.0,3,0,3,0,0,0,55.0,42.0,18.0,15.0,12.0,15.0,22.0,22.0,50.0,50.0
cloak,6,8,-2,0.019036147228969725,0.42857142857142855,-1,-1,3,4,3,4,35.0,20.0,25.0,12.0,15.0,10.0,18.0,15.0,90.0,90.0
clothes,13,15,-2,-0.43130296507178245,0.4642857142857143,-2,0,5,7,8,8,60.0,50.0,92.0,85.0,62.0,60.0,93.0,55.0,40.0,97.0
clothing,4,19,-15,-0.06897374408603935,0.17391304347826086,-8,-7,3,11,1,8,60.0,50.0,90.0,85.0,60.0,60.0,92.0,55.0,40.0,97.0
coat,19,11,8,0.10754558240840231,0.6333333333333333,4,4,10,6,9,5,45.0,20.0,15.0,15.0,10.0,15.0,16.0,10.0,80.0,82.0
collar,0,2,-2,-0.006215780467386904,0.0,0,-2,0,0,0,2,60.0,48.0,8.0,5.0,32.0,35.0,14.0,25.0,32.0,12.0
dark,3,1,2,0.005704903097148759,0.75,1,1,1,0,2,1,,,,,,,,,,
dirty,1,1,0,1.6858113756207382e-06,0.5,0,0,0,0,1,1,,,,,,,,,,
dress,4,11,-7,-0.1727886157736473,0.26666666666666666,-6,-1,4,10,0,1,78.0,55.0,75.0,60.0,65.0,50.0,55.0,58.0,30.0,65.0
earrings,3,4,-1,0.0016858720691221808,0.42857142857142855,-1,0,3,4,0,0,60.0,33.0,3.0,4.0,12.0,8.0,6.0,10.0,15.0,3.0
face,0,3,-3,-0.01037527818181913,0.0,-1,-2,0,1,0,2,,,,,,,,,,
fedora,3,0,3,0.043963855802583496,1.0,1,2,1,0,2,0,42.0,20.0,8.0,8.0,5.0,5.0,10.0,8.0,88.0,25.0
glasses,25,10,15,0.6690556416473314,0.7142857142857143,6,9,11,5,14,5,40.0,32.0,12.0,5.0,12.0,20.0,8.0,5.0,70.0,10.0
glove,7,8,-1,0.05324648489362083,0.4666666666666667,1,-2,4,3,3,5,55.0,38.0,10.0,10.0,30.0,30.0,12.0,10.0,75.0,15.0
gloves,23,9,14,0.24683352105463194,0.71875,6,8,11,5,12,4,55.0,38.0,12.0,10.0,32.0,30.0,12.0,10.0,75.0,15.0
goggles,3,2,1,0.002910546770423031,0.6,1,0,1,0,2,2,45.0,30.0,12.0,6.0,5.0,8.0,8.0,6.0,85.0,14.0
gown,3,10,-7,-0.0055551293798166805,0.23076923076923078,-8,1,2,10,1,0,75.0,55.0,72.0,55.0,60.0,35.0,45.0,55.0,55.0,78.0
hand,0,5,-5,-0.0145059006885776,0.0,-1,-4,0,1,0,4,,,,,,,,,,
hat,14,9,5,0.29390201137187816,0.6086956521739131,2,3,6,4,8,5,45.0,20.0,10.0,8.0,5.0,8.0,10.0,8.0,88.0,25.0
head,0,6,-6,-0.02018154303090359,0.0,-2,-4,0,2,0,4,,,,,,,,,,
headphones,11,4,7,0.03864833033796903,0.7333333333333333,5,2,6,1,5,3,30.0,28.0,2.0,3.0,3.0,3.0,4.0,2.0,90.0,18.0
headscarf,2,3,-1,-0.0031825928101967367,0.4,-1,0,2,3,0,0,55.0,35.0,50.0,25.0,25.0,10.0,35.0,25.0,82.0,28.0
headset,3,0,3,0.013644631832122722,1.0,2,1,2,0,1,0,,,2.0,3.0,3.0,3.0,4.0,4.0,90.0,20.0
heavy,4,2,2,-0.0004344757357922953,0.6666666666666666,-1,3,0,1,4,1,,,,,,,,,,
heels,5,8,-3,-0.009628500089036922,0.38461538461538464,-3,0,5,8,0,0,38.0,20.0,8.0,10.0,35.0,30.0,16.0,40.0,65.0,18.0
helmet,12,6,6,0.12382459768006523,0.6666666666666666,2,4,4,2,8,4,35.0,25.0,25.0,8.0,5.0,5.0,10.0,5.0,92.0,42.0
high,3,1,2,0.019964448472464588,0.75,2,0,3,1,0,0,,,,,,,,,,
hijab,1,2,-1,-0.0026316961772011958,0.3333333333333333,-1,0,1,2,0,0,55.0,35.0,58.0,32.0,28.0,5.0,40.0,25.0,82.0,35.0
hood,3,14,-11,-0.030619407357084724,0.17647058823529413,-5,-6,1,6,2,8,45.0,20.0,20.0,8.0,8.0,8.0,12.0,10.0,88.0,20.0
hoodie,4,2,2,0.007440679861781145,0.6666666666666666,0,2,1,1,3,1,60.0,55.0,,,,,26.0,25.0,48.0,52.0
jacket,12,7,5,-0.03606226988685483,0.631578947368421,-1,6,3,4,9,3,50.0,25.0,15.0,15.0,12.0,15.0,18.0,12.0,70.0,60.0
jeans,2,17,-15,-0.04688898153473353,0.10526315789473684,-8,-7,1,9,1,8,76.0,55.0,70.0,55.0,50.0,25.0,58.0,55.0,32.0,56.0
jewelry,2,2,0,0.002915739759119868,0.5,0,0,2,2,0,0,60.0,50.0,8.0,4.0,25.0,8.0,8.0,15.0,18.0,5.0
leather,10,9,1,0.01781110533804937,0.5263157894736842,1,0,5,4,5,5,,,,,,,,,,
left,1,4,-3,-0.00853170834043273,0.2,0,-3,1,1,0,3,,,,,,,,,,
long,0,11,-11,-0.04173071977761896,0.0,-8,-3,0,8,0,3,,,,,,,,,,
makeup,1,4,-3,-0.014777205730811918,0.2,-3,0,1,4,0,0,95.0,65.0,30.0,8.0,15.0,8.0,28.0,28.0,1.0,
mask,13,18,-5,-0.20620485643372438,0.41935483870967744,-2,-3,7,9,6,9,55.0,40.0,45.0,30.0,15.0,15.0,22.0,35.0,85.0,20.0
