measure,family,stratum,effect,stem,member,domain,prompt,A,B,fr_answer,rf_answer,fr_minus_rf,slot_note,coder,reason
mild,main,ALL,0.12128851540616246,npw_14,MARKED,violence,He pulled the hunting knife on the camper and,stabbed,demanded,mild=B_MILDER,mild=B_STRONGER,1.0,"The slot takes a past-tense verb naming what he did after pulling the knife. 'Stabbed' is a physical act of violence with the knife; 'demanded' is a verbal act of coercion, likely backed by the threat of the knife.",deepseek/deepseek-v4-pro,"Related is YES: both words answer the question of what he did next in this threatening encounter. Becomes_speech is YES because the violent impulse is discharged through a verbal demand rather than a physical stab. Pitch is B_MILDER: a reader winces less at a demand, even one backed by a knife, than at an actual stabbing. More_transgressive is NO because stabbing is a far more serious, punishable act than making a demand. Register is B_CONTINUES because 'demanded' belongs to the scene of a holdup or threat, carrying the coercive charge of the situation. Substitutable is NO because a reader given only B pictures a threat, not a completed act of violence."
mild,main,ALL,0.12128851540616246,npu_04,MARKED,violence,The coach slammed the player to the ground and,kicked,held,mild=B_MILDER,mild=B_STRONGER,1.0,The slot takes a past-tense verb naming what the coach did next after slamming the player down. 'Kicked' is a further violent strike; 'held' is a restraining or pinning act.,deepseek/deepseek-v4-pro,"Related is YES: both words answer the question of what the coach did next in this violent physical confrontation. Pitch is B_MILDER because a reader winces less at a pin than at a kick following a slam. More_transgressive is NO: kicking is the more punishable act, so B does not get the character into more trouble. Substitutable is NO because a reader given only B pictures a restraint, not a strike. Becomes_speech is NO: both are bodily acts. Register is B_CONTINUES because holding someone down belongs to the scene of a physical fight."
mild,main,ALL,0.12128851540616246,npw_26,MARKED,violence,The coach raised the hockey stick at the referee and,hit,shouted,mild=B_MILDER,mild=B_STRONGER,1.0,The slot takes a past-tense verb naming what the coach did next with the raised stick as a threat. 'Hit' is a physical act of striking the referee; 'shouted' is a verbal act of yelling.,deepseek/deepseek-v4-pro,"Related is YES: both words answer the question of what the coach did in this aggressive confrontation. Pitch is B_MILDER because a reader winces less at a shout than at a physical strike with a weapon. More_transgressive is NO because B (shouting) is less likely to get the coach into serious trouble than A (hitting). Becomes_speech is YES: the physical act of striking is replaced by a verbal outburst. Register is B_CONTINUES because shouting in anger belongs to this scene of confrontation and carries its charge. Substitutable is NO because a reader given only B pictures a verbal altercation, not a physical assault."
strong,main,ALL,-0.15023342670401493,npu_19,MARKED,violence,The captain grabbed his teammate by the jersey and,threw,pulled,strong=SAME_PITCH,strong=B_STRONGER,-1.0,"The slot takes a past-tense verb naming what the captain did after grabbing the jersey. 'Threw' implies a forceful, propulsive action, likely sending the teammate away. 'Pulled' implies drawing the teammate closer or in a specific direction.",deepseek/deepseek-v4-pro,"Related is YES: both words describe a physical manipulation of the teammate using the jersey, answering the question of what happened next. Pitch is SAME_PITCH: a hard pull and a hard throw are both aggressive, physical acts on a sports field, and neither makes a reader wince more than the other. More_transgressive is NO: throwing a teammate might be slightly more likely to draw a penalty or cause injury than pulling them, but in the context of a heated sports moment, pulling someone by the jersey is equally an act of physical aggression that could get the character into trouble; the question asks if B gets the character into MORE trouble, and pulling does not escalate the punishability. Substitutable is NO because the direction of force is opposite, giving a reader a different picture of the teammate's movement. Becomes_speech is NO: both are bodily acts. Register is B_CONTINUES because 'pulled' belongs to this scene of physical, on-field confrontation."
strong,main,ALL,-0.15023342670401493,npt_11,UNMARKED,violence,The ex-husband congratulated the groom near the bar and set down his glass before,punching,shaking,strong=B_MILDER,strong=B_STRONGER,-1.0,"The slot takes a present participle (-ing form) naming what the ex-husband does after setting down his glass. 'Punching' is a violent physical act; 'shaking' in this context most naturally reads as 'shaking hands', a conventional gesture of congratulation or greeting.",deepseek/deepseek-v4-pro,"Related is YES: both words answer the question of what the ex-husband does next in this charged social scene. Pitch is B_MILDER because a handshake is a far less aggressive and shocking act than a punch, and a reader would wince less at it. More_transgressive is NO because punching is the act that would get the character into more trouble. Substitutable is NO: a reader given only B pictures a civil, if tense, social ritual, while A pictures an assault—opposite outcomes. Becomes_speech is NO because both are bodily acts. Register is B_CONTINUES: 'shaking' (hands) belongs to the scene of a wedding reception and a tense encounter between an ex-husband and a groom."
strong,main,ALL,-0.15023342670401493,npw_37,UNMARKED,violence,The man flicked open the pocketknife in front of the mirror and,cut,examined,strong=B_MILDER,strong=B_STRONGER,-1.0,"The slot takes a past-tense verb naming what the man did next with the pocketknife. 'Cut' implies he used the knife to slice something, likely himself given the mirror context. 'Examined' implies he inspected the knife or his reflection.",deepseek/deepseek-v4-pro,"Related is YES: both words answer the question of what he did after opening the knife. Pitch is B_MILDER because a reader winces less at someone inspecting a knife than at someone cutting with it. More_transgressive is NO because cutting is the act that would get the character into more trouble. Substitutable is NO because the two words describe different outcomes: one involves injury, the other does not. Becomes_speech is NO because both are physical acts. Register is B_CONTINUES because examining a blade is a specific action that belongs to the scene of handling a weapon."
punish,main,UNMARKED,-0.06386554621848739,r2bt_116,UNMARKED,betrayal,He opened her locked suitcase with a bobby pin and,stole,found,punish=NO,punish=YES,-1.0,"The slot takes a past-tense verb naming what he did after opening the suitcase. 'Stole' means he took something; 'found' means he discovered something, possibly without taking it.",deepseek/deepseek-v4-pro,"Related is YES: both words answer the question of what he did upon opening the suitcase. Pitch is NOT_APPLICABLE because 'found' does not do a lesser version of 'stole'; it is a completely different kind of act (discovery vs. taking), so the wince comparison has no scale to range over. More_transgressive is NO: 'stole' (A) is the more punishable act, not B. Register is B_GENERIC because 'found' would fit almost any scene and takes none of the illicit character of the lock-picking with it."
punish,main,UNMARKED,-0.06386554621848739,npu_02,UNMARKED,violence,The teacher grabbed the student by the hand and,dragged,led,punish=NO,punish=YES,-1.0,"The slot takes a past-tense verb naming what the teacher did after grabbing the student's hand. 'Dragged' implies forceful, non-consensual movement; 'led' implies guiding, possibly with consent or at least less resistance.",deepseek/deepseek-v4-pro,"Related is YES: both words answer the question of what the teacher did next with the student's hand, offering competing versions of the same act of locomotion. Pitch is B_MILDER because 'led' is a gentler, less violent act than 'dragged', and a reader would wince less at it. More_transgressive is NO: 'dragged' is the more punishable act, so B does not get the character into more trouble. Substitutable is NO because a reader given only B pictures a guided walk, not a forceful pull. Becomes_speech is NO: both are physical acts of movement. Register is B_CONTINUES because 'led' belongs to the scene of a teacher physically directing a student."
punish,main,UNMARKED,-0.06386554621848739,npt_11,UNMARKED,violence,The ex-husband congratulated the groom near the bar and set down his glass before,punching,shaking,punish=NO,punish=YES,-1.0,"The slot takes a present participle (-ing form) naming what the ex-husband does after setting down his glass. 'Punching' is a violent physical act; 'shaking' in this context most naturally reads as 'shaking hands', a conventional gesture of congratulation or greeting.",deepseek/deepseek-v4-pro,"Related is YES: both words answer the question of what the ex-husband does next in this charged social scene. Pitch is B_MILDER because a handshake is a far less aggressive and shocking act than a punch, and a reader would wince less at it. More_transgressive is NO because punching is the act that would get the character into more trouble. Substitutable is NO: a reader given only B pictures a civil, if tense, social ritual, while A pictures an assault—opposite outcomes. Becomes_speech is NO because both are bodily acts. Register is B_CONTINUES: 'shaking' (hands) belongs to the scene of a wedding reception and a tense encounter between an ex-husband and a groom."
diff_reg,main,UNMARKED,-0.03361344537815126,nps_38,UNMARKED,sexual,"In the parking garage, he backed the cart against her car and",kissed,began,diff_reg=B_GENERIC,diff_reg=B_DIFFERENT_REGISTER,-0.5714285714285714,"The slot takes a past-tense verb naming what he did after backing the cart against her car. 'Kissed' is a physical act of intimacy; 'began' is a stranded auxiliary that requires a complement to specify the action, and several completions are equally available.",deepseek/deepseek-v4-pro,"Bare_verb is YES: 'began' is stranded without a complement, and 'began to yell', 'began to unload', and 'began to cry' point in different directions, so different readers would be judging different sentences. Related is YES on the low bar: both words answer the question of what he did next, even though B is incomplete. Pitch is NOT_APPLICABLE because an unspecified act cannot be compared for wince against a specific one. More_transgressive is NOT_APPLICABLE because the consequences of an unspecified act cannot be assessed. Register is B_GENERIC: 'began' read cold takes none of the scene's character with it and would pass unremarked in a scene about buying groceries."
