family,rung,n_sites,obs,null,gap
amber,base>sft,1560,0.0639825461368913,0.054224697559213754,0.009757848577677551
amber,sft>pref,1521,0.031839710918007746,0.023129406317141353,0.008710304600866393
beaver,base>sft,1502,0.07215335144477507,0.06006326644680049,0.012090084997974579
beaver,sft>pref,521,0.04068200714309073,0.03589338895650613,0.004788618186584603
ct-llm,base>sft,1402,0.06132946515605218,0.05178720823599753,0.00954225692005465
map-neo,base>sft,1534,0.056080859957706404,0.045833735409311134,0.01024712454839527
map-neo,sft>pref,205,0.0569805040273399,0.047383962320953696,0.009596541706386207
minicpm,base>sft,1696,0.03414079056889437,0.027657909791575553,0.00648288077731882
olmo,base>sft,1634,0.011992319167510692,0.009212120045002862,0.002780199122507831
olmo,sft>pref,358,0.02411826884987817,0.020807469723623857,0.0033107991262543122
olmo-32b,base>sft,1569,0.011355227988714274,0.00925049579034352,0.0021047321983707536
olmo-32b,sft>pref,149,0.015988365116267052,0.013473297710122132,0.002515067406144921
olmo-hybrid,base>sft,1527,0.05787304455542322,0.04611138022749852,0.0117616643279247
olmo-tiny,base>sft,1658,0.030036716840249986,0.023629785267440438,0.0064069315728095474
olmo-tiny,sft>pref,274,0.11543493544127399,0.09970785680426844,0.01572707863700555
olmoe,base>sft,1387,0.03274515719660419,0.027047679006125636,0.005697478190478552
olmoe,sft>pref,384,0.05335032934896249,0.047475448513121576,0.005874880835840916
redpajama,base>sft,619,0.03332935628451589,0.0293827312988434,0.003946624985672487
redpajama,sft>pref,1291,0.03666018007826665,0.029165746173735324,0.007494433904531327
stablelm,base>sft,1619,0.08703492502274421,0.06916381521546057,0.01787110980728364
stablelm,sft>pref,1313,0.02980225431308675,0.023671955653957546,0.006130298659129205
tulu,base>sft,880,0.038274678408761115,0.03238673555313603,0.005887942855625085
tulu,sft>pref,395,0.1307959616425208,0.11587818993556517,0.01491777170695563
zephyr,base>sft,1040,0.043252756159135194,0.03676249878055928,0.006490257378575913
zephyr,sft>pref,316,0.11180168684768305,0.10374440599987463,0.00805728084780842
