metric,arm,pair_id,domain,marked,unmarked,within,did
departed,math,r2ds_001,taboo,0.024137171,0.0023453536,0.0217918174,0.0100420544
departed,persona,r2ds_001,taboo,0.009123686,0.0024252166,0.0066984694000000004,-0.0050512935999999994
departed,safety,r2ds_001,taboo,0.006941504,0.0,0.006941504,-0.004808259
departed,wildchat,r2ds_001,taboo,0.016141942,0.0030450611,0.0130968809,0.0013471179
departed,math,r2ds_002,taboo,0.1414167,0.008203922,0.133212778,0.0050719902999999955
departed,persona,r2ds_002,taboo,0.14011073,0.017334666,0.12277606399999999,-0.005364723700000018
departed,safety,r2ds_002,taboo,0.12520096,0.020067984,0.105132976,-0.023007811700000005
departed,wildchat,r2ds_002,taboo,0.08431735,0.024993582,0.059323768,-0.06881701970000001
departed,math,r2ds_003,taboo,0.027316986,0.0,0.027316986,0.011743221000000002
departed,persona,r2ds_003,taboo,0.028120315,0.0,0.028120315,0.01254655
departed,safety,r2ds_003,taboo,0.025473734,0.0092371125,0.0162366215,0.0006628564999999996
departed,wildchat,r2ds_003,taboo,0.015943343,0.0,0.015943343,0.0003695779999999989
departed,math,r2ds_004,taboo,0.016622245,0.044787273,-0.028165028,0.017247354
departed,persona,r2ds_004,taboo,0.016206782,0.038992293,-0.022785510999999998,0.022626871000000003
departed,safety,r2ds_004,taboo,0.01559204,0.067191474,-0.051599434,-0.0061870519999999984
departed,wildchat,r2ds_004,taboo,0.024029091,0.030794783,-0.006765692,0.03864669
departed,math,r2ds_005,taboo,0.026505038,0.004897027,0.021608011000000003,0.014601198000000003
departed,persona,r2ds_005,taboo,0.01890878,0.004381425,0.014527354999999999,0.007520541999999999
departed,safety,r2ds_005,taboo,0.013789472,0.008553443,0.005236029,-0.001770784
departed,wildchat,r2ds_005,taboo,0.0067563313,0.0043434612,0.0024128700999999997,-0.0045939429
departed,math,r2ds_006,taboo,0.009818253,0.0075065107,0.002311742300000001,-0.0167043131
departed,persona,r2ds_006,taboo,0.00955813,0.006983908,0.002574222,-0.016441833399999998
departed,safety,r2ds_006,taboo,0.022082416,0.007825595,0.014256821000000001,-0.004759234399999998
departed,wildchat,r2ds_006,taboo,0.03230316,0.006470313,0.025832847,0.0068167916
departed,math,r2ds_007,taboo,0.037967514,0.020881755,0.017085759000000002,0.060179623
departed,persona,r2ds_007,taboo,0.03814312,0.02593338,0.012209740000000004,0.055303604000000006
departed,safety,r2ds_007,taboo,0.044414215,0.04193052,0.002483695000000001,0.045577559000000004
departed,wildchat,r2ds_007,taboo,0.022626637,0.010197231,0.012429406000000002,0.055523270000000007
departed,math,r2ds_008,taboo,0.109819,0.0021648805,0.1076541195,0.0001756485000000002
departed,persona,r2ds_008,taboo,0.066248894,0.0,0.066248894,-0.041229577
departed,safety,r2ds_008,taboo,0.073936015,0.0042999247,0.0696360903,-0.03784238070000001
departed,wildchat,r2ds_008,taboo,0.052885275,0.004196923,0.048688352000000004,-0.058790119
departed,math,r2ds_009,taboo,0.025582924,0.0666294,-0.041046476000000005,0.011350854
departed,persona,r2ds_009,taboo,0.017435493,0.07329921,-0.05586371700000001,-0.0034663870000000013
departed,safety,r2ds_009,taboo,0.037235294,0.09912323,-0.061887936000000004,-0.009490605999999999
departed,wildchat,r2ds_009,taboo,0.035391655,0.026676005,0.008715650000000002,0.06111298000000001
departed,math,r2ds_010,taboo,0.010576214,0.032501988,-0.021925774000000002,0.011294082999999996
departed,persona,r2ds_010,taboo,0.010529901,0.114909634,-0.104379733,-0.07115987600000001
departed,safety,r2ds_010,taboo,0.010347501,0.0940563,-0.083708799,-0.050488942
departed,wildchat,r2ds_010,taboo,0.0,0.0037406122,-0.0037406122,0.0294792448
departed,math,r2ds_011,taboo,0.004336833,0.0061571547,-0.0018203217000000004,-0.0010886560000000012
departed,persona,r2ds_011,taboo,0.004469975,0.010648096,-0.006178120999999999,-0.0054464553
departed,safety,r2ds_011,taboo,0.017667813,0.006051917,0.011615896,0.012347561699999999
departed,wildchat,r2ds_011,taboo,0.0060658823,0.0021532956,0.0039125867,0.004644252399999999
departed,math,r2ds_012,taboo,0.018010015,0.016126335,0.0018836800000000022,-0.0027565639999999995
departed,persona,r2ds_012,taboo,0.008967851,0.01605214,-0.007084288999999999,-0.011724533
departed,safety,r2ds_012,taboo,0.021093778,0.017028261,0.004065517000000001,-0.0005747270000000006
departed,wildchat,r2ds_012,taboo,0.0241782,0.008537201,0.015640999000000003,0.011000755000000001
departed,math,r2ds_013,taboo,0.05026506,0.022100056,0.028165004,-0.0006067299999999998
departed,persona,r2ds_013,taboo,0.049768098,0.035065923,0.014702174999999998,-0.014069559000000002
departed,safety,r2ds_013,taboo,0.051264733,0.0285202,0.022744533,-0.006027200999999999
departed,wildchat,r2ds_013,taboo,0.037341982,0.02040903,0.016932952,-0.011838781999999999
departed,math,r2ds_014,taboo,0.028704701,0.02349854,0.005206161000000001,0.012316613000000004
departed,persona,r2ds_014,taboo,0.023230024,0.017249117,0.005980906999999997,0.013091359
departed,safety,r2ds_014,taboo,0.03041353,0.02215442,0.00825911,0.015369562000000003
departed,wildchat,r2ds_014,taboo,0.0019904843,0.029677242,-0.0276867577,-0.020576305699999995
departed,math,r2ds_015,taboo,0.019680727,0.026981145,-0.007300418000000003,-0.0013534750000000033
departed,persona,r2ds_015,taboo,0.013209953,0.026483173,-0.013273219999999999,-0.007326276999999999
departed,safety,r2ds_015,taboo,0.021752248,0.020326633,0.0014256149999999981,0.007372557999999998
departed,wildchat,r2ds_015,taboo,0.016561765,0.008032084,0.008529680999999999,0.014476623999999999
departed,math,r2ds_016,taboo,0.022399345,0.005058946,0.017340399,0.005138802999999999
departed,persona,r2ds_016,taboo,0.012640063,0.012214494,0.00042556900000000064,-0.011776027
departed,safety,r2ds_016,taboo,0.027186044,0.014054707,0.013131337,0.0009297409999999996
departed,wildchat,r2ds_016,taboo,0.00459742,0.0074471887,-0.0028497687000000006,-0.0150513647
departed,math,r2ds_017,taboo,0.010728685,0.002381655,0.00834703,-0.0044879354
departed,persona,r2ds_017,taboo,0.008683431,0.0060758856,0.0026075454000000003,-0.010227420000000001
departed,safety,r2ds_017,taboo,0.013962487,0.025033243,-0.011070756,-0.0239057214
