field,arm,did,se,n,n_neg,n_pos,sign_p,full_within
js_total,math,-0.0010414587738606235,0.0005651340878413027,684,338,346,0.7889907966416386,0.004887631428324786
js_total,persona,-0.0006291229322394227,0.0005997052301636445,684,325,359,0.20699292035830139,0.004887631428324786
js_total,safety,-0.0024957377261215523,0.0006364418215375374,684,389,295,0.0003694133598948357,0.004887631428324786
js_total,wildchat,0.00038249235276057114,0.0009841362081016631,684,332,352,0.4675683578220657,0.004887631428324786
js_fallers,math,-0.0005833677200741772,0.00022400429372038642,684,346,338,0.7889907966416386,0.0017617919461631905
js_fallers,persona,-0.0006240947377455441,0.0002638237049344159,684,344,340,0.9086876329662429,0.0017617919461631905
js_fallers,safety,-0.0009166237961284572,0.00026197569941995187,684,382,302,0.002497496819106325,0.0017617919461631905
js_fallers,wildchat,-0.00012376909114853848,0.00035220224229407085,684,343,341,0.9695032698222202,0.0017617919461631905
js_risers,math,-0.0005805088668159029,0.0002827321645199408,684,346,338,0.7889907966416386,0.002282711603036657
js_risers,persona,-0.00041062933582232077,0.00027311397828543423,684,347,337,0.730781196393661,0.002282711603036657
js_risers,safety,-0.0011522068521883759,0.0002914890878919243,684,383,301,0.0019327855845227516,0.002282711603036657
js_risers,wildchat,-2.556357758044276e-05,0.0004597751595271339,684,344,340,0.9086876329662429,0.002282711603036657
js_tail,math,4.160310032827471e-05,2.9317812866341828e-05,684,312,372,0.02400507819898335,-3.669584168453685e-05
js_tail,persona,8.136049761929911e-06,3.109117467252376e-05,684,338,346,0.7889907966416386,-3.669584168453685e-05
js_tail,safety,-7.88377915334609e-05,3.0745863003722214e-05,684,368,316,0.05109267464538247,-3.669584168453685e-05
js_tail,wildchat,0.00018852942920224286,4.509073953514034e-05,684,276,408,5.065660814417145e-07,-3.669584168453685e-05
js_other,math,8.08147127011819e-05,0.0002172909804549137,684,333,351,0.5157146073880089,0.0008798237208094755
js_other,persona,0.00039746509156651246,0.00023167534300971065,684,315,369,0.04263439847406531,0.0008798237208094755
js_other,safety,-0.00034806928627125817,0.00023854722979630815,684,359,325,0.20699292035830139,0.0008798237208094755
js_other,wildchat,0.0003432955922873096,0.0003543076114229153,684,325,359,0.20699292035830139,0.0008798237208094755
departed,math,-0.0022391095357748537,0.0010930375334202804,684,350,334,0.5663114145665905,0.007866339138114036
departed,persona,-0.002967241524108187,0.0011558438606409658,684,348,336,0.6740813552299213,0.007866339138114036
departed,safety,-0.003875781036798245,0.0011949486200534124,684,378,306,0.006590296786466943,0.007866339138114036
departed,wildchat,-0.0008765686855701756,0.0015116246793311645,684,345,339,0.8484023650363341,0.007866339138114036
arrived,math,2.44505924144029e-05,0.0011366221632136506,684,333,351,0.5157146073880089,0.005867421753372092
arrived,persona,0.00036367628961660306,0.0010997644094669148,684,332,352,0.4675683578220657,0.005867421753372092
arrived,safety,-0.003125769595839859,0.0011356047480854073,684,375,309,0.012885818983717455,0.005867421753372092
arrived,wildchat,0.0026316574604197166,0.0017789379284214764,684,320,364,0.10007555891693241,0.005867421753372092
tail_share,math,0.000682759255955639,0.0006082721563205155,684,311,373,0.019613622120233883,-0.0018430854327478484
tail_share,persona,-5.5693280474117e-05,0.0005555114237798273,684,335,349,0.6191737504248086,-0.0018430854327478484
tail_share,safety,-0.0010921564303699232,0.000602271346570978,684,366,318,0.07224381899458353,-0.0018430854327478484
tail_share,wildchat,0.0029435500230663965,0.000874930189357952,684,294,390,0.00027492323795740194,-0.0018430854327478484
selectivity,math,0.1543195617446694,0.49598520331828005,495,243,252,0.7192058380367842,-0.4870468528467403
selectivity,persona,0.12650845863983035,0.4781201818975366,495,239,256,0.4720868792374933,-0.4870468528467403
selectivity,safety,-0.3115448939487105,0.4353655438271977,495,248,247,1.0,-0.4870468528467403
selectivity,wildchat,-1.2080878782779532,0.6077127836459055,495,252,243,0.7192058380367842,-0.4870468528467403
concentration,math,0.0018199652739110362,0.006084875829466118,683,326,357,0.25098409924074355,0.016980888257584894
concentration,persona,-0.003204164186513665,0.006166379167514358,683,346,337,0.7595455894986556,0.016980888257584894
concentration,safety,-0.005330971346159969,0.005874239740290008,683,360,323,0.16831062833760646,0.016980888257584894
concentration,wildchat,-0.014215808138066395,0.008296326045103311,683,379,304,0.004597425783965779,0.016980888257584894
