field,mean_base_gap,mean_DiD,n_neg,n_edges,p_wilcoxon,q_bh
WN: cognition,-0.005037113600738474,-0.0014806677684707655,44,50,1.9077969426462005e-08,3.052475108233921e-07
NORM: concreteness=abstract,0.0019119653381270616,0.004580239268594334,11,50,1.0490046520317264e-07,4.4905339109391206e-07
NORM: arousal=calm,-0.019161332938223266,-0.00483737108286286,43,50,1.3054913772236887e-07,4.4905339109391206e-07
WN: contact,0.006960390930543336,-0.004196222818138058,41,50,1.4032918471684752e-07,4.4905339109391206e-07
RID: regressive_cognition:concreteness,-0.004338815468574841,-0.001833351814798561,42,50,1.4032918471684752e-07,4.4905339109391206e-07
NORM: valence=positive,-0.020990645340996372,-0.004486615511849747,43,50,8.237842195057965e-07,2.196757918682124e-06
RID: sensation:vision,-0.0077224226191751665,-0.0019876711097958637,41,50,7.111603951059919e-06,1.6255094745279814e-05
NORM: dominance=dominant,-0.018815317058125232,-0.0032171732886602704,39,50,9.898605478397826e-06,1.9797210956795652e-05
WN: perception,-0.008707109787795469,-0.00210768216598823,39,50,4.213757459226031e-05,7.491124371957388e-05
NORM: arousal=aroused,0.016581762160451742,0.0016964441336906342,12,50,0.0009149367393188612,0.001463898782910178
NORM: valence=negative,0.013089820759443992,0.0012784495345864071,11,50,0.0011471783973160399,0.0016686231233687852
NORM: dominance=submissive,0.010704938641153978,0.001707541580144292,13,50,0.004606102327862516,0.006141469770483354
RID: abstraction,-0.0019523465815321126,-0.0003762568336176287,37,50,0.007158095833210254,0.00880996410241262
USAS: Calm/Violent/Angry,0.0082250130670747,-0.00033456831760681404,27,50,0.3422827758111566,0.39118031521275043
NORM: concreteness=concrete,0.020723777889769535,0.000565992506171748,19,50,0.4042577575813002,0.4312082747533869
RID: aggression,0.017140497577066593,0.00016350748633130443,22,50,0.43191110415215306,0.43191110415215306
