word	proj	n_cells
runs	1.520789	1
reared	1.492363	48
thrown	1.427497	9
smacking	1.420063	1
dies	1.366361	1
rid	1.356334	40
raping	1.353248	3
punching	1.323882	60
stabbing	1.319912	89
kick	1.280769	750
fucks	1.276325	1
Rue	1.269497	1
bray	1.264717	3
throwing	1.240473	238
throws	1.240174	1
shaved	1.228024	54
riding	1.214405	10
bade	1.207584	15
fucked	1.206283	193
rode	1.180845	674
robbing	1.180181	1
puts	1.179450	6
voted	1.176507	26
stabbed	1.139747	1367
blow	1.130833	313
jack	1.119527	31
glide	1.119405	2
rubbing	1.116676	47
amputate	1.109122	6
totalled	1.107628	10
go	1.107308	8116
accuses	1.106445	1
alleges	1.100695	5
shows	1.099400	33
rot	1.098437	8
happened	1.098076	158
getting	1.091091	618
gotten	1.086697	19
throw	1.082237	1620
threw	1.081282	12088
jabbing	1.080911	1
punched	1.079139	1808
suck	1.076219	280
put	1.070908	22644
hitting	1.070350	88
feeds	1.068022	1
means	1.059157	540
totaled	1.047182	56
graded	1.040451	1
killed	1.031743	2804
slicked	1.026929	8
slapping	1.016516	22
went	1.015643	18244
retract	1.013825	39
smacked	1.007867	295
slip	1.004830	134
downed	1.002503	188
patting	1.000720	12
pat	0.996899	11
refuted	0.992984	29
drop	0.992690	767
driven	0.988961	9
loses	0.985970	1
eaten	0.982467	20
goes	0.979742	41
fathered	0.979166	3
got	0.975175	14042
cast	0.971863	463
smack	0.967752	224
rubbed	0.967582	2182
says	0.966312	260
objected	0.966005	29
come	0.962624	1670
die	0.960672	2258
redid	0.947911	2
sheared	0.943064	1
win	0.941245	705
shave	0.939753	44
amputated	0.937871	1
rub	0.937787	288
bitten	0.935896	2
racked	0.932148	30
goin	0.931639	1
guess	0.930427	341
scrape	0.930261	28
Sally	0.929909	1
ate	0.928214	1188
discouraged	0.921378	3
planted	0.920789	922
contradicted	0.917811	35
jabbed	0.916958	180
patted	0.913325	574
electrocuted	0.913272	8
kill	0.912986	2793
ejaculated	0.911543	32
arrive	0.905604	16
click	0.905434	49
fuck	0.903759	804
sucked	0.903184	281
kicked	0.901274	3634
drying	0.899857	14
crashing	0.896485	8
pushing	0.893452	194
typed	0.891875	361
sit	0.890791	431
hit	0.889185	4969
clicked	0.886461	945
scraped	0.885876	40
slams	0.885587	1
murdered	0.883349	119
pulls	0.881945	9
hated	0.879771	7
won	0.876158	543
falling	0.872120	69
stabs	0.870457	1
eating	0.870373	70
pricked	0.869914	10
inked	0.868442	6
undid	0.866298	95
beat	0.862902	2278
fry	0.858616	20
castrated	0.857983	1
arresting	0.857560	1
meant	0.854217	636
sear	0.854170	8
stands	0.852677	17
told	0.852113	19803
reeled	0.851324	4
get	0.845969	9300
pay	0.845158	3240
rip	0.838574	636
tells	0.836545	13
blown	0.835352	28
debited	0.835317	3
clawed	0.834227	14
knows	0.826769	7
injected	0.825694	198
stroking	0.824433	34
shoved	0.822965	3787
assassinate	0.814681	4
suppose	0.813096	33
pushed	0.811570	7723
whacked	0.810544	148
poke	0.810062	14
run	0.806935	2389
came	0.804485	5001
felled	0.801891	9
combing	0.800778	2
wrecked	0.795408	104
behead	0.792196	7
drawn	0.789512	1
includes	0.784353	203
sent	0.782764	8867
downing	0.782001	6
sprang	0.781910	25
rises	0.781613	1
flung	0.781211	1063
massaging	0.777876	2
addresses	0.773948	21
lifting	0.772388	52
slashed	0.770204	734
landed	0.766349	708
bouncing	0.765864	1
attacking	0.765250	60
drove	0.765016	4025
draws	0.764853	2
jump	0.763316	398
dropping	0.762826	101
rocked	0.762182	150
swallow	0.759749	23
topple	0.758913	36
buried	0.758307	1200
headed	0.757438	4878
kills	0.756707	3
succumb	0.756044	13
arrested	0.755183	205
conceived	0.753175	4
bury	0.753101	83
strapped	0.752845	70
eat	0.752472	968
sawed	0.750182	27
stand	0.749092	929
sues	0.746765	1
wrote	0.746532	5535
lifts	0.745806	7
blowing	0.744879	42
stamping	0.742423	8
rushes	0.740397	1
towered	0.738910	1
ripped	0.731767	1323
aping	0.731693	1
chug	0.730970	2
bake	0.730772	46
transplanted	0.729185	1
turns	0.728697	15
jumps	0.728486	3
sprung	0.725801	4
paid	0.724782	2949
abort	0.724722	3
blew	0.724274	1350
appealed	0.721774	160
radioed	0.720990	21
brings	0.720888	1
lick	0.720043	357
pitched	0.716684	19
calls	0.714512	13
sits	0.713002	3
fed	0.710064	948
say	0.709118	5408
boarded	0.705935	76
sued	0.705445	186
seems	0.704075	165
leads	0.703288	8
slung	0.702883	215
sends	0.700975	5
cut	0.699971	3788
slaughtered	0.698497	71
float	0.698316	9
booked	0.696894	91
stick	0.694487	309
tumble	0.690911	68
jumped	0.690550	1727
ran	0.688265	11478
raped	0.687531	379
snipped	0.687502	8
campaigned	0.686787	1
drain	0.685848	4
said	0.684173	27207
called	0.683147	9663
beheaded	0.681689	2
set	0.680190	10486
pictured	0.678644	1
swallows	0.677298	1
stripped	0.677267	247
bought	0.674423	1647
redrew	0.671359	1
pulled	0.670966	12881
slapped	0.670047	1329
raided	0.669295	10
pitching	0.668765	2
driving	0.667586	110
underline	0.667387	1
pick	0.665708	312
bled	0.664869	91
bared	0.664828	22
raced	0.663574	356
delivering	0.662212	30
give	0.661903	6349
putted	0.661056	3
drive	0.659201	280
reburied	0.656483	14
drag	0.656188	160
keeps	0.655860	24
arose	0.652971	1
cradled	0.652968	258
roll	0.652882	115
imprison	0.652297	28
eject	0.652220	4
bleed	0.652170	281
nabbed	0.649605	1
slay	0.646131	13
kissing	0.645358	71
rewrite	0.645022	48
drilled	0.644288	10
chewing	0.642738	1
brought	0.642348	6507
sprayed	0.642110	470
soaped	0.641121	15
soared	0.641020	34
slamming	0.640782	113
poked	0.640502	92
proofread	0.638638	19
licking	0.637335	17
forbade	0.637214	8
plead	0.635296	108
maxed	0.634618	7
hanged	0.634457	12
broken	0.630490	128
putting	0.629186	277
bedded	0.625536	3
presume	0.624556	1
contradicts	0.622288	5
turned	0.621918	13941
hung	0.621018	2228
sculpt	0.620741	13
taken	0.620498	58
petting	0.620430	11
ask	0.620077	5474
crashed	0.619914	392
picks	0.617455	1
google	0.616450	7
strung	0.616189	25
turn	0.615325	1671
works	0.614658	14
plugged	0.613435	435
paying	0.612999	24
laid	0.612952	3618
ruled	0.612443	7
doubling	0.611855	1
hate	0.611730	587
raked	0.611654	21
call	0.611244	4806
chew	0.610657	33
lift	0.609690	97
chucking	0.607026	1
died	0.606375	737
rocketed	0.606291	4
rammed	0.604111	165
baptized	0.602182	4
reads	0.600960	1
billed	0.599180	83
stashed	0.597486	292
raze	0.596968	2
snaked	0.596289	9
asks	0.596216	9
happens	0.595427	16
lifted	0.594253	3024
obeyed	0.594111	6
hang	0.593037	147
bathed	0.591842	107
rigged	0.591594	8
worked	0.591164	513
gets	0.590444	59
shipped	0.590158	2
kept	0.590009	5260
swallowing	0.589848	3
losing	0.589246	14
glued	0.589028	33
crawl	0.588166	230
contravened	0.587045	1
stowed	0.585575	68
parked	0.584228	489
morph	0.584200	1
carves	0.583864	1
comes	0.583830	11
flips	0.583507	1
dragging	0.581198	28
changed	0.580495	1242
subtract	0.580060	1
bucked	0.579315	17
picked	0.578868	3923
pluck	0.577931	15
jacked	0.575960	15
binged	0.575131	1
write	0.574562	4152
sow	0.574518	1
drank	0.574484	1298
spanked	0.574453	41
slash	0.574407	124
fought	0.573513	109
slinging	0.572551	2
cook	0.571241	104
spooked	0.570550	1
sucking	0.569610	4
dabbed	0.569473	52
buying	0.566589	5
uses	0.565048	17
praying	0.564523	8
push	0.564329	611
inject	0.563367	6
slathered	0.562997	19
towed	0.562792	12
resulted	0.562001	232
wring	0.561445	29
ambushed	0.559878	8
rob	0.559502	91
slips	0.559115	1
gone	0.557771	88
hopping	0.557058	10
exploding	0.556719	2
send	0.556262	4214
shrank	0.556147	1
patched	0.555806	3
grew	0.554374	97
bookmarked	0.553504	3
peed	0.553465	23
leaps	0.553128	4
ascended	0.553068	43
kissed	0.552534	4173
mailed	0.551442	375
lay	0.551147	2066
dropped	0.551034	5186
burned	0.548551	1338
sue	0.548077	2368
shoving	0.547592	52
add	0.546444	3183
named	0.545270	183
gave	0.544507	17113
going	0.544139	768
overthrow	0.543384	17
fallen	0.542707	94
complain	0.541319	1075
chosen	0.541102	2
struck	0.539441	1716
soak	0.538042	28
screw	0.537849	16
aced	0.537551	3
cued	0.537006	1
surged	0.536577	16
rebuild	0.532890	108
phoned	0.532637	75
toured	0.531922	7
raised	0.531111	2708
bludgeoned	0.529596	5
drew	0.528761	2543
crawled	0.527799	374
succumbed	0.527201	34
doubled	0.526497	5
pawed	0.526100	6
read	0.525301	4673
plucked	0.523668	90
ordered	0.523058	2598
keeping	0.522648	18
grabs	0.522260	20
cooked	0.521235	157
bring	0.521129	1686
sunk	0.520843	26
clipped	0.520392	130
marinate	0.520299	2
visit	0.519061	281
picking	0.517479	107
keep	0.515718	3687
rallied	0.515150	3
judged	0.512970	1
bashed	0.512284	84
looks	0.512129	16
recoiled	0.511771	12
