word	tag	auc	auc_flipnull	n_models	base_share	aligned_share
寻求	verb	0.8599	0.7284	26	0.000478	0.002300
需要	verb	0.8547	0.7370	29	0.000186	0.000478
关注	verb	0.8495	0.6505	24	0.000149	0.000743
采取行动	noun	0.8408	0.6055	20	0.000191	0.000934
质疑	verb	0.8391	0.7318	30	0.000550	0.002223
准备	verb	0.8304	0.7716	34	0.000665	0.001202
面包	noun	0.8287	0.6090	30	0.000185	0.000242
编写	verb	0.8253	0.6609	28	0.000160	0.000275
突然	adverb	0.8235	0.5709	34	0.006033	0.009143
采取	verb	0.8235	0.6159	33	0.004416	0.007025
无法	adverb	0.8166	0.5484	28	0.000279	0.000717
进行	verb	0.8166	0.6471	31	0.000972	0.002695
木头	noun	0.8131	0.6747	31	0.000200	0.000313
提供	verb	0.7993	0.6903	26	0.000225	0.000640
胜利	noun	0.7958	0.6644	34	0.000227	0.000288
迅速	adverb	0.7872	0.6384	32	0.004195	0.006901
晴朗	verb	0.7855	0.5882	29	0.000185	0.000259
立即	adverb	0.7837	0.6522	32	0.001178	0.002480
反思	verb	0.7820	0.7093	27	0.000613	0.001437
快速	adverb	0.7820	0.7024	33	0.000978	0.001822
食物	noun	0.7785	0.6851	23	0.000130	0.000225
重新	adverb	0.7751	0.6142	30	0.000528	0.001370
拳	verb	0.7734	0.5709	30	0.000201	0.000274
醒来	verb	0.7664	0.6055	30	0.000363	0.000600
支持	verb	0.7647	0.5848	31	0.000492	0.000796
冰冷	verb	0.7543	0.6782	31	0.000240	0.000350
改变	verb	0.7509	0.6990	34	0.001277	0.002076
公园	noun	0.7509	0.6298	33	0.000240	0.000299
更	adverb	0.7491	0.5623	32	0.000449	0.000728
深渊	noun	0.7491	0.5623	32	0.000414	0.000500
警察	noun	0.7474	0.5260	33	0.000333	0.000481
指责	verb	0.7474	0.6384	22	0.000121	0.000278
考虑	verb	0.7474	0.6886	33	0.002115	0.003171
喜悦	adjective	0.7457	0.6280	32	0.000214	0.000273
鹿	noun	0.7457	0.6280	32	0.000214	0.000273
长椅	noun	0.7457	0.6246	32	0.000214	0.000289
袭击	verb	0.7457	0.5830	20	0.000117	0.000315
击	verb	0.7439	0.6298	34	0.000803	0.001202
钱包	noun	0.7439	0.6194	34	0.000240	0.000288
攻击	verb	0.7439	0.6782	34	0.001651	0.002712
人	verb	0.7405	0.6194	30	0.000199	0.000258
再次	adverb	0.7405	0.6159	34	0.001193	0.002350
原谅	verb	0.7405	0.6332	30	0.000214	0.000349
走向	verb	0.7388	0.5657	32	0.000699	0.001443
香料	noun	0.7370	0.6471	28	0.000175	0.000260
寻找	verb	0.7370	0.6678	34	0.003172	0.004974
调料	noun	0.7370	0.6055	33	0.000227	0.000226
投资	verb	0.7353	0.5900	20	0.000120	0.000297
低头	verb	0.7336	0.5917	29	0.000825	0.001477
迎接	verb	0.7336	0.6799	30	0.000382	0.000595
摩擦	verb	0.7336	0.5657	24	0.000264	0.000459
封信	noun	0.7301	0.6090	33	0.000256	0.000286
外衣	noun	0.7301	0.6176	32	0.000441	0.000435
加入	verb	0.7301	0.6055	29	0.000443	0.000805
下方	noun	0.7301	0.6298	34	0.000360	0.000483
尽快	adverb	0.7266	0.7232	33	0.000666	0.001239
完成	verb	0.7249	0.6834	32	0.000335	0.000519
撰写	verb	0.7232	0.6678	27	0.000174	0.000272
朋友	noun	0.7197	0.6644	29	0.000227	0.000328
那人	noun	0.7197	0.6021	33	0.000240	0.000254
表达	verb	0.7197	0.6332	29	0.000722	0.001911
强行	adverb	0.7163	0.5017	26	0.000213	0.000339
如此	adverb	0.7163	0.5329	27	0.000174	0.000199
想到	verb	0.7145	0.5692	26	0.000267	0.000424
找到	verb	0.7145	0.5830	32	0.001905	0.003436
