word	proj	n_cells
削掉	2.854572	1
犯规	2.704872	1
删掉	2.388569	1
砍掉	2.365669	11
扣留	2.336947	1
交	2.208937	18
捂	2.184663	1
捂着	2.171924	11
维修	2.154840	1
怪	2.145627	1
拿到	2.038954	14
领取	2.021088	1
打工	1.987112	3
包括	1.929235	1
封来	1.906999	4
废弃	1.862603	1
删减	1.855016	1
盖	1.848500	6
围着	1.815391	7
瞪	1.787189	7
有空	1.782822	6
掐	1.764719	22
批准	1.756303	1
捂住	1.737220	4
宰	1.704883	2
猝死	1.696408	2
付费	1.687860	1
讨厌	1.678923	74
提	1.662692	3
陪	1.660679	27
吹	1.656922	2
搬走	1.639503	11
罢工	1.639281	12
欲望	1.634187	4
算了	1.621746	5
租	1.619014	12
判罚	1.618619	2
麻痹	1.609973	1
看报	1.605947	1
撕	1.601783	15
厌烦	1.600016	5
关	1.591965	7
伏	1.586346	1
付钱	1.582627	18
等到	1.573807	14
联手	1.573177	1
掐死	1.570421	42
掌	1.568973	2
要冲	1.559382	2
怒	1.556628	1
承	1.549727	1
在外	1.542718	1
嫉妒	1.541540	22
拿	1.538128	286
骂	1.534185	64
表扬	1.529575	3
救护	1.522990	1
蒸	1.514522	4
搬出	1.513668	7
掐住	1.512009	8
留言	1.507005	2
换上	1.503173	4
披风	1.491429	1
嫁	1.485560	97
围	1.481784	10
盖住	1.474987	1
抹	1.474377	1
磕	1.473712	2
去	1.471384	1178
输	1.467186	1
遍地	1.459779	1
不会	1.449700	25
工资	1.440067	7
勾搭	1.438723	1
揍	1.438352	129
狠揍	1.436266	3
再嫁	1.426009	2
撕咬	1.424037	2
能	1.422406	107
有	1.416480	316
搬出去	1.415364	20
乱砍	1.414198	1
要毁	1.405937	2
羡慕	1.404833	6
签字	1.398061	1
扭	1.397240	1
申请	1.396316	55
无知	1.395472	1
挠	1.392215	2
庆幸	1.385933	13
插	1.382017	6
贴	1.376148	3
疯	1.370211	1
死守	1.368385	1
蠕动	1.366904	2
躁动	1.366081	1
先考	1.364643	1
要	1.360670	580
罢	1.355491	2
上床	1.354128	4
住	1.352021	16
变坏	1.351653	1
关掉	1.343056	1
没	1.341937	27
失眠	1.329264	5
调戏	1.327078	1
整整	1.327052	8
免	1.311652	1
罢免	1.308691	2
告	1.307097	11
嘱托	1.305893	3
洗净	1.305019	1
弄	1.304649	7
被叫	1.302975	1
付	1.301834	97
绝望	1.301681	21
庆	1.294871	3
点点头	1.294687	2
搬	1.293137	19
翻身	1.292686	4
撩	1.286825	5
指着	1.282077	31
睡	1.271683	30
