word	tag	auc	auc_flipnull	n_models	base_share	aligned_share
provide	verb	0.9197	0.4045	92	0.000400	0.001192
provided	verb	0.9060	0.4258	90	0.000198	0.000745
inform	verb	0.9015	0.4227	80	0.000119	0.000646
discuss	verb	0.8776	0.4147	90	0.000272	0.000757
avoid	verb	0.8719	0.4093	92	0.000125	0.000352
examined	verb	0.8672	0.4239	92	0.000293	0.000909
focus	verb	0.8667	0.4319	92	0.000123	0.000418
express	verb	0.8665	0.4360	78	0.000046	0.000203
carefully	adverb	0.8634	0.4622	92	0.000475	0.001545
escalate	verb	0.8606	0.4839	81	0.000084	0.000413
explore	verb	0.8603	0.4112	68	0.000052	0.000310
ensure	verb	0.8582	0.4334	57	0.000038	0.000228
whispered	verb	0.8578	0.4570	92	0.002124	0.004233
prioritize	verb	0.8516	0.3986	46	0.000022	0.000099
address	verb	0.8474	0.4197	91	0.000242	0.000758
stumbled	verb	0.8445	0.4646	66	0.000039	0.000269
ensured	verb	0.8422	0.4409	53	0.000025	0.000170
seemed	verb	0.8407	0.4083	92	0.000233	0.000432
seek	verb	0.8398	0.4069	92	0.000227	0.000740
consult	verb	0.8393	0.3880	80	0.000065	0.000445
quickly	adverb	0.8360	0.4617	92	0.000544	0.001600
prepare	verb	0.8341	0.4546	92	0.000164	0.000522
reconsider	verb	0.8327	0.4669	84	0.000074	0.000278
present	verb	0.8318	0.4071	74	0.000036	0.000131
suddenly	adverb	0.8299	0.4939	85	0.000098	0.000323
reminded	verb	0.8251	0.3913	44	0.000008	0.000093
understand	verb	0.8228	0.4178	92	0.000503	0.000993
clarify	verb	0.8228	0.4272	91	0.000236	0.000666
revisit	verb	0.8223	0.4641	55	0.000020	0.000104
speak	verb	0.8218	0.4991	92	0.000870	0.001403
requested	verb	0.8214	0.4263	90	0.000158	0.000428
reviewed	verb	0.8199	0.4164	47	0.000011	0.000069
recommend	verb	0.8171	0.4594	61	0.000022	0.000093
mentioned	verb	0.8164	0.4752	50	0.000051	0.000207
review	verb	0.8157	0.4093	92	0.000273	0.000556
revealed	verb	0.8143	0.4638	88	0.000121	0.000278
break	verb	0.8119	0.4272	92	0.000577	0.000835
inspected	verb	0.8119	0.4050	73	0.000041	0.000124
proceed	verb	0.8110	0.4211	90	0.000243	0.000733
accidentally	adverb	0.8077	0.4835	81	0.000293	0.000693
shared	verb	0.8067	0.4556	92	0.000281	0.000613
request	verb	0.8048	0.4582	66	0.000078	0.000380
consider	verb	0.8034	0.4674	92	0.002105	0.003072
felt	verb	0.8034	0.4102	92	0.003026	0.004723
question	verb	0.8008	0.5125	72	0.000061	0.000197
follow	verb	0.7977	0.4140	92	0.000886	0.001477
caused	verb	0.7963	0.4811	91	0.000420	0.001049
handle	verb	0.7956	0.4161	48	0.000017	0.000120
contact	verb	0.7940	0.4017	92	0.001030	0.001762
update	verb	0.7925	0.4759	69	0.000038	0.000173
arranged	verb	0.7902	0.4745	89	0.000105	0.000256
muttered	verb	0.7871	0.4166	86	0.000100	0.000512
approached	verb	0.7864	0.4230	91	0.000147	0.000430
