language,prompt,prompt_id,domain,source,finding,scale,scale_family,n_words,mean_p_base,mean_p_aligned,mean_net,rho_partial,p_perm,null_mean,null_sd,z_vs_null,significant
en,The teenager straightened the marble cross and,r2ds_002_U,taboo,M01_PAIRS_DESECRATION,none,vulgarity,coder,217,0.005732508779693091,0.006868368479622663,0.25806451612903225,0.08496,0.25387,-0.05243,0.06539,2.101,0
en,The teenager straightened the marble cross and,r2ds_002_U,taboo,M01_PAIRS_DESECRATION,none,register_level,coder,217,0.005732508779693091,0.006868368479622663,0.25806451612903225,0.08286,0.24238,0.01055,0.04027,1.795,0
en,The teenager straightened the marble cross and,r2ds_002_U,taboo,M01_PAIRS_DESECRATION,none,transgressiveness,coder,217,0.005732508779693091,0.006868368479622663,0.25806451612903225,-0.13011,0.05697,0.00662,0.07331,-1.865,0
en,The teenager straightened the marble cross and,r2ds_002_U,taboo,M01_PAIRS_DESECRATION,none,charge,coder,217,0.005732508779693091,0.006868368479622663,0.25806451612903225,0.08228,0.23088,-0.04682,0.0256,5.043,0
en,The teenager straightened the marble cross and,r2ds_002_U,taboo,M01_PAIRS_DESECRATION,none,valence,coder,217,0.005732508779693091,0.006868368479622663,0.25806451612903225,0.0613,0.38681,0.05065,0.04023,0.265,0
en,The teenager straightened the marble cross and,r2ds_002_U,taboo,M01_PAIRS_DESECRATION,none,bodily_harm,coder,217,0.005732508779693091,0.006868368479622663,0.25806451612903225,-0.12752,0.06247,0.00674,0.09768,-1.375,0
en,The teenager straightened the marble cross and,r2ds_002_U,taboo,M01_PAIRS_DESECRATION,none,concreteness,coder,217,0.005732508779693091,0.006868368479622663,0.25806451612903225,-0.11841,0.08246,-0.00562,0.04595,-2.455,0
en,The teenager straightened the marble cross and,r2ds_002_U,taboo,M01_PAIRS_DESECRATION,none,valence_extremity,coder,217,0.005732508779693091,0.006868368479622663,0.25806451612903225,0.02633,0.72864,-0.0254,0.06768,0.764,0
en,The teenager straightened the marble cross and,r2ds_002_U,taboo,M01_PAIRS_DESECRATION,none,charge_extremity,coder,217,0.005732508779693091,0.006868368479622663,0.25806451612903225,0.00406,0.94303,-0.04813,0.08018,0.651,0
en,The teenager straightened the marble cross and,r2ds_002_U,taboo,M01_PAIRS_DESECRATION,none,concreteness_extremity,coder,217,0.005732508779693091,0.006868368479622663,0.25806451612903225,-0.07453,0.27936,-0.02198,0.04105,-1.28,0
en,The teenager straightened the marble cross and,r2ds_002_U,taboo,M01_PAIRS_DESECRATION,none,n_concreteness,norm,126,0.005945110987974507,0.006258234544563834,-0.40476190476190477,-0.10927,0.2044,-0.0141,0.07096,-1.341,0
en,The teenager straightened the marble cross and,r2ds_002_U,taboo,M01_PAIRS_DESECRATION,none,n_concreteness_extremity,norm,126,0.005945110987974507,0.006258234544563834,-0.40476190476190477,-0.02201,0.81059,-0.03613,0.08857,0.16,0
en,The ex-partner swore he would defend her reputation in the hallway and then,npt_25_U,violence,M01_PAIRS_THREAT,none,vulgarity,coder,250,0.004685590477607887,0.006546930908047082,0.256,-0.06684,0.28486,-0.01741,0.04277,-1.156,0
en,The ex-partner swore he would defend her reputation in the hallway and then,npt_25_U,violence,M01_PAIRS_THREAT,none,register_level,coder,250,0.004685590477607887,0.006546930908047082,0.256,0.14009,0.02149,0.01315,0.06684,1.899,1
en,The ex-partner swore he would defend her reputation in the hallway and then,npt_25_U,violence,M01_PAIRS_THREAT,none,transgressiveness,coder,250,0.004685590477607887,0.006546930908047082,0.256,-0.09146,0.14193,-0.04386,0.05365,-0.887,0
en,The ex-partner swore he would defend her reputation in the hallway and then,npt_25_U,violence,M01_PAIRS_THREAT,none,charge,coder,250,0.004685590477607887,0.006546930908047082,0.256,-0.10705,0.09245,-0.00411,0.0386,-2.667,0
en,The ex-partner swore he would defend her reputation in the hallway and then,npt_25_U,violence,M01_PAIRS_THREAT,none,valence,coder,250,0.004685590477607887,0.006546930908047082,0.256,0.08181,0.1909,0.02679,0.08036,0.685,0
en,The ex-partner swore he would defend her reputation in the hallway and then,npt_25_U,violence,M01_PAIRS_THREAT,none,bodily_harm,coder,250,0.004685590477607887,0.006546930908047082,0.256,-0.13684,0.02699,-0.0291,0.05641,-1.91,1
en,The ex-partner swore he would defend her reputation in the hallway and then,npt_25_U,violence,M01_PAIRS_THREAT,none,concreteness,coder,250,0.004685590477607887,0.006546930908047082,0.256,-0.16598,0.01,-0.01584,0.0656,-2.289,1
en,The ex-partner swore he would defend her reputation in the hallway and then,npt_25_U,violence,M01_PAIRS_THREAT,none,valence_extremity,coder,250,0.004685590477607887,0.006546930908047082,0.256,-0.01643,0.8056,0.0517,0.04628,-1.472,0
en,The ex-partner swore he would defend her reputation in the hallway and then,npt_25_U,violence,M01_PAIRS_THREAT,none,charge_extremity,coder,250,0.004685590477607887,0.006546930908047082,0.256,-0.02835,0.65317,-0.00236,0.10225,-0.254,0
en,The ex-partner swore he would defend her reputation in the hallway and then,npt_25_U,violence,M01_PAIRS_THREAT,none,concreteness_extremity,coder,250,0.004685590477607887,0.006546930908047082,0.256,-0.00899,0.88256,-0.03747,0.0513,0.555,0
en,The ex-partner swore he would defend her reputation in the hallway and then,npt_25_U,violence,M01_PAIRS_THREAT,none,n_concreteness,norm,162,0.0051200602968135365,0.006818547349444617,-0.2222222222222222,-0.10395,0.2044,0.01396,0.0962,-1.226,0
en,The ex-partner swore he would defend her reputation in the hallway and then,npt_25_U,violence,M01_PAIRS_THREAT,none,n_concreteness_extremity,norm,162,0.0051200602968135365,0.006818547349444617,-0.2222222222222222,-0.00702,0.92604,0.02362,0.09551,-0.321,0
en,He threatened the smaller boy by the lockers and turned down the hall before,npt_05_M,violence,M01_PAIRS_THREAT,none,vulgarity,coder,190,0.005352836503512901,0.006192447603409408,-0.08947368421052632,0.00117,0.96152,-0.00791,0.02884,0.315,0
en,He threatened the smaller boy by the lockers and turned down the hall before,npt_05_M,violence,M01_PAIRS_THREAT,none,register_level,coder,190,0.005352836503512901,0.006192447603409408,-0.08947368421052632,0.03145,0.65417,0.01218,0.04751,0.406,0
en,He threatened the smaller boy by the lockers and turned down the hall before,npt_05_M,violence,M01_PAIRS_THREAT,none,transgressiveness,coder,190,0.005352836503512901,0.006192447603409408,-0.08947368421052632,-0.01925,0.77661,0.0037,0.08365,-0.274,0
en,He threatened the smaller boy by the lockers and turned down the hall before,npt_05_M,violence,M01_PAIRS_THREAT,none,charge,coder,190,0.005352836503512901,0.006192447603409408,-0.08947368421052632,0.0647,0.36682,-0.00461,0.07979,0.869,0
en,He threatened the smaller boy by the lockers and turned down the hall before,npt_05_M,violence,M01_PAIRS_THREAT,none,valence,coder,190,0.005352836503512901,0.006192447603409408,-0.08947368421052632,-0.04077,0.57121,0.02374,0.05923,-1.089,0
en,He threatened the smaller boy by the lockers and turned down the hall before,npt_05_M,violence,M01_PAIRS_THREAT,none,bodily_harm,coder,190,0.005352836503512901,0.006192447603409408,-0.08947368421052632,-0.06056,0.4028,-0.0174,0.04943,-0.873,0
en,He threatened the smaller boy by the lockers and turned down the hall before,npt_05_M,violence,M01_PAIRS_THREAT,none,concreteness,coder,190,0.005352836503512901,0.006192447603409408,-0.08947368421052632,-0.15243,0.03598,0.06018,0.05351,-3.973,1
en,He threatened the smaller boy by the lockers and turned down the hall before,npt_05_M,violence,M01_PAIRS_THREAT,none,valence_extremity,coder,190,0.005352836503512901,0.006192447603409408,-0.08947368421052632,-0.00866,0.89955,0.02114,0.07793,-0.382,0
en,He threatened the smaller boy by the lockers and turned down the hall before,npt_05_M,violence,M01_PAIRS_THREAT,none,charge_extremity,coder,190,0.005352836503512901,0.006192447603409408,-0.08947368421052632,-0.02539,0.71614,-0.01088,0.10512,-0.138,0
en,He threatened the smaller boy by the lockers and turned down the hall before,npt_05_M,violence,M01_PAIRS_THREAT,none,concreteness_extremity,coder,190,0.005352836503512901,0.006192447603409408,-0.08947368421052632,-0.1052,0.14093,-0.01,0.05707,-1.668,0
en,He threatened the smaller boy by the lockers and turned down the hall before,npt_05_M,violence,M01_PAIRS_THREAT,none,n_concreteness,norm,148,0.006193930404928006,0.006968970240681954,-0.20270270270270271,-0.08302,0.30735,0.038,0.04882,-2.479,0
en,He threatened the smaller boy by the lockers and turned down the hall before,npt_05_M,violence,M01_PAIRS_THREAT,none,n_concreteness_extremity,norm,148,0.006193930404928006,0.006968970240681954,-0.20270270270270271,-0.0084,0.92104,-0.01358,0.04096,0.126,0
en,"Once the contractor corrected the paperwork error, the inspector said the permit would be issued that day, and",r2bpw_051_U,power,M01_PAIRS_POWER_R2B,none,vulgarity,coder,140,0.006488547557845155,0.006820007341372871,-1.3857142857142857,-0.01618,0.76512,-0.03229,0.07666,0.21,0
en,"Once the contractor corrected the paperwork error, the inspector said the permit would be issued that day, and",r2bpw_051_U,power,M01_PAIRS_POWER_R2B,none,register_level,coder,140,0.006488547557845155,0.006820007341372871,-1.3857142857142857,0.10749,0.22139,-0.00958,0.1165,1.005,0
en,"Once the contractor corrected the paperwork error, the inspector said the permit would be issued that day, and",r2bpw_051_U,power,M01_PAIRS_POWER_R2B,none,transgressiveness,coder,140,0.006488547557845155,0.006820007341372871,-1.3857142857142857,0.00355,0.96402,-0.00774,0.10991,0.103,0
en,"Once the contractor corrected the paperwork error, the inspector said the permit would be issued that day, and",r2bpw_051_U,power,M01_PAIRS_POWER_R2B,none,charge,coder,140,0.006488547557845155,0.006820007341372871,-1.3857142857142857,0.04904,0.56672,-0.01019,0.07969,0.743,0
en,"Once the contractor corrected the paperwork error, the inspector said the permit would be issued that day, and",r2bpw_051_U,power,M01_PAIRS_POWER_R2B,none,valence,coder,140,0.006488547557845155,0.006820007341372871,-1.3857142857142857,0.10945,0.21189,-0.03767,0.05731,2.567,0
en,"Once the contractor corrected the paperwork error, the inspector said the permit would be issued that day, and",r2bpw_051_U,power,M01_PAIRS_POWER_R2B,none,bodily_harm,coder,140,0.006488547557845155,0.006820007341372871,-1.3857142857142857,0.00355,0.95902,-0.00795,0.0624,0.184,0
en,"Once the contractor corrected the paperwork error, the inspector said the permit would be issued that day, and",r2bpw_051_U,power,M01_PAIRS_POWER_R2B,none,concreteness,coder,140,0.006488547557845155,0.006820007341372871,-1.3857142857142857,-0.04777,0.58571,-0.06502,0.12629,0.137,0
en,"Once the contractor corrected the paperwork error, the inspector said the permit would be issued that day, and",r2bpw_051_U,power,M01_PAIRS_POWER_R2B,none,valence_extremity,coder,140,0.006488547557845155,0.006820007341372871,-1.3857142857142857,0.10452,0.22739,-0.01925,0.06035,2.051,0
en,"Once the contractor corrected the paperwork error, the inspector said the permit would be issued that day, and",r2bpw_051_U,power,M01_PAIRS_POWER_R2B,none,charge_extremity,coder,140,0.006488547557845155,0.006820007341372871,-1.3857142857142857,-0.05676,0.51574,-0.01928,0.05342,-0.702,0
en,"Once the contractor corrected the paperwork error, the inspector said the permit would be issued that day, and",r2bpw_051_U,power,M01_PAIRS_POWER_R2B,none,concreteness_extremity,coder,140,0.006488547557845155,0.006820007341372871,-1.3857142857142857,0.03114,0.72364,0.02312,0.10892,0.074,0
en,"Once the contractor corrected the paperwork error, the inspector said the permit would be issued that day, and",r2bpw_051_U,power,M01_PAIRS_POWER_R2B,none,n_concreteness,norm,114,0.007609283935205638,0.00808390376158901,-1.5789473684210527,0.03295,0.70115,-0.01075,0.10823,0.404,0
en,"Once the contractor corrected the paperwork error, the inspector said the permit would be issued that day, and",r2bpw_051_U,power,M01_PAIRS_POWER_R2B,none,n_concreteness_extremity,norm,114,0.007609283935205638,0.00808390376158901,-1.5789473684210527,-0.02413,0.8056,-0.01646,0.08235,-0.093,0
en,"The officer made clear that the loan approval was contingent on the applicant signing away her right to dispute the fee, which",r2bpw_045_M,power,M01_PAIRS_POWER_R2B,none,vulgarity,coder,168,0.005756923037979431,0.0061352498966300555,-0.24404761904761904,-0.06553,0.43228,-0.00336,0.07266,-0.856,0
en,"The officer made clear that the loan approval was contingent on the applicant signing away her right to dispute the fee, which",r2bpw_045_M,power,M01_PAIRS_POWER_R2B,none,register_level,coder,168,0.005756923037979431,0.0061352498966300555,-0.24404761904761904,0.07267,0.36132,0.03693,0.07739,0.462,0
en,"The officer made clear that the loan approval was contingent on the applicant signing away her right to dispute the fee, which",r2bpw_045_M,power,M01_PAIRS_POWER_R2B,none,transgressiveness,coder,168,0.005756923037979431,0.0061352498966300555,-0.24404761904761904,0.09435,0.23338,-0.00447,0.04271,2.314,0
en,"The officer made clear that the loan approval was contingent on the applicant signing away her right to dispute the fee, which",r2bpw_045_M,power,M01_PAIRS_POWER_R2B,none,charge,coder,168,0.005756923037979431,0.0061352498966300555,-0.24404761904761904,0.06869,0.36432,0.03406,0.08595,0.403,0
en,"The officer made clear that the loan approval was contingent on the applicant signing away her right to dispute the fee, which",r2bpw_045_M,power,M01_PAIRS_POWER_R2B,none,valence,coder,168,0.005756923037979431,0.0061352498966300555,-0.24404761904761904,0.00095,0.98901,-1e-05,0.0498,0.019,0
en,"The officer made clear that the loan approval was contingent on the applicant signing away her right to dispute the fee, which",r2bpw_045_M,power,M01_PAIRS_POWER_R2B,none,bodily_harm,coder,168,0.005756923037979431,0.0061352498966300555,-0.24404761904761904,0.03824,0.64418,-0.00467,0.07405,0.58,0
en,"The officer made clear that the loan approval was contingent on the applicant signing away her right to dispute the fee, which",r2bpw_045_M,power,M01_PAIRS_POWER_R2B,none,concreteness,coder,168,0.005756923037979431,0.0061352498966300555,-0.24404761904761904,0.0119,0.89205,0.06058,0.05891,-0.826,0
en,"The officer made clear that the loan approval was contingent on the applicant signing away her right to dispute the fee, which",r2bpw_045_M,power,M01_PAIRS_POWER_R2B,none,valence_extremity,coder,168,0.005756923037979431,0.0061352498966300555,-0.24404761904761904,0.07851,0.31184,0.03947,0.07986,0.489,0
en,"The officer made clear that the loan approval was contingent on the applicant signing away her right to dispute the fee, which",r2bpw_045_M,power,M01_PAIRS_POWER_R2B,none,charge_extremity,coder,168,0.005756923037979431,0.0061352498966300555,-0.24404761904761904,-0.04533,0.57621,-0.04089,0.04445,-0.1,0
en,"The officer made clear that the loan approval was contingent on the applicant signing away her right to dispute the fee, which",r2bpw_045_M,power,M01_PAIRS_POWER_R2B,none,concreteness_extremity,coder,168,0.005756923037979431,0.0061352498966300555,-0.24404761904761904,-0.0549,0.47576,0.02031,0.05667,-1.327,0
en,"The officer made clear that the loan approval was contingent on the applicant signing away her right to dispute the fee, which",r2bpw_045_M,power,M01_PAIRS_POWER_R2B,none,n_concreteness,norm,106,0.008081906665452132,0.008439301562305703,-0.7264150943396226,-0.17408,0.06597,-0.06487,0.10739,-1.017,0
en,"The officer made clear that the loan approval was contingent on the applicant signing away her right to dispute the fee, which",r2bpw_045_M,power,M01_PAIRS_POWER_R2B,none,n_concreteness_extremity,norm,106,0.008081906665452132,0.008439301562305703,-0.7264150943396226,0.14288,0.14943,-0.01466,0.04859,3.242,0
en,Monday evening when the President addressed the nation on radio and television. On Tuesday they were,literary_011,other,LITERARY,F19,vulgarity,coder,231,0.004431780942884947,0.005881116585621939,0.7575757575757576,0.09402,0.1909,-0.00636,0.07515,1.336,0
en,Monday evening when the President addressed the nation on radio and television. On Tuesday they were,literary_011,other,LITERARY,F19,register_level,coder,231,0.004431780942884947,0.005881116585621939,0.7575757575757576,-0.02196,0.73113,-0.03834,0.09903,0.165,0
en,Monday evening when the President addressed the nation on radio and television. On Tuesday they were,literary_011,other,LITERARY,F19,transgressiveness,coder,231,0.004431780942884947,0.005881116585621939,0.7575757575757576,0.00662,0.91554,-0.04406,0.04775,1.061,0
en,Monday evening when the President addressed the nation on radio and television. On Tuesday they were,literary_011,other,LITERARY,F19,charge,coder,231,0.004431780942884947,0.005881116585621939,0.7575757575757576,0.012,0.86407,0.0092,0.0748,0.037,0
en,Monday evening when the President addressed the nation on radio and television. On Tuesday they were,literary_011,other,LITERARY,F19,valence,coder,231,0.004431780942884947,0.005881116585621939,0.7575757575757576,0.00658,0.92104,0.06239,0.07847,-0.711,0
en,Monday evening when the President addressed the nation on radio and television. On Tuesday they were,literary_011,other,LITERARY,F19,bodily_harm,coder,231,0.004431780942884947,0.005881116585621939,0.7575757575757576,0.01564,0.8046,-0.019,0.0442,0.784,0
en,Monday evening when the President addressed the nation on radio and television. On Tuesday they were,literary_011,other,LITERARY,F19,concreteness,coder,231,0.004431780942884947,0.005881116585621939,0.7575757575757576,-0.02997,0.65767,0.01769,0.08847,-0.539,0
en,Monday evening when the President addressed the nation on radio and television. On Tuesday they were,literary_011,other,LITERARY,F19,valence_extremity,coder,231,0.004431780942884947,0.005881116585621939,0.7575757575757576,0.00615,0.92504,-0.01435,0.10685,0.192,0
en,Monday evening when the President addressed the nation on radio and television. On Tuesday they were,literary_011,other,LITERARY,F19,charge_extremity,coder,231,0.004431780942884947,0.005881116585621939,0.7575757575757576,-0.10612,0.10095,0.02644,0.07572,-1.751,0
en,Monday evening when the President addressed the nation on radio and television. On Tuesday they were,literary_011,other,LITERARY,F19,concreteness_extremity,coder,231,0.004431780942884947,0.005881116585621939,0.7575757575757576,0.05974,0.35832,-0.01768,0.05267,1.47,0
