word	proj	n_cells
妈	2.490726	1
看报	2.103301	1
捂	2.086420	1
大概	2.082520	5
削掉	2.078126	1
捂着	2.000443	11
说是	1.979104	1
巴黎和	1.947173	1
就去	1.936594	1
肏	1.931475	1
“糟糕	1.930626	1
有说	1.921107	1
维修	1.889445	1
坏了	1.877584	1
把车	1.847491	1
更糟	1.841657	1
道____	1.840767	1
要毁	1.833011	2
死神	1.824085	8
句话	1.819079	1
跟他们	1.806596	1
等多	1.793961	1
说不	1.785588	1
北京	1.782313	1
才会	1.778935	3
掐死	1.759281	42
醋	1.757903	5
任	1.751770	4
首都	1.745343	4
先裁	1.738732	8
去医院	1.736408	9
说我	1.735768	2
把钱	1.733978	14
就是一个	1.726070	2
向保	1.698623	1
交钱	1.698494	1
西安	1.696550	1
第二天早上	1.693763	1
该死	1.693623	1
封来	1.685947	4
撸	1.685760	3
巴黎．	1.684273	1
PARIS	1.675470	2
成都	1.670380	1
封和	1.663500	1
大约	1.661044	12
砍掉	1.657982	11
生姜	1.630188	1
到底	1.627642	1
Paris	1.626503	2
磕	1.626084	2
蘸	1.624967	1
有我	1.617627	1
也想	1.614779	2
脱裤子	1.614218	5
垮塌	1.613689	1
过山车	1.609527	4
给我们	1.609171	2
喜欢上	1.608834	1
那也	1.608599	1
了两	1.604861	7
当天	1.594549	2
选	1.583625	18
只	1.581156	51
去杀	1.574790	3
步枪	1.573831	10
一样	1.570848	10
肉的	1.568867	1
只想	1.565284	3
删掉	1.559354	1
吃完	1.558504	1
掐住	1.548268	8
每天	1.544508	15
有多	1.540850	2
就是	1.538530	101
付款	1.523806	10
不加	1.523386	5
上床	1.523309	4
最好	1.520439	5
日子	1.520012	4
一句话	1.517595	3
煮	1.516591	13
豁	1.513635	2
裁	1.513129	25
怪	1.512941	1
不吃	1.512177	2
疯	1.509689	1
把子	1.508067	2
每天都	1.506911	1
有空	1.500475	6
非常开	1.496700	1
绝壁	1.496327	1
做____	1.494736	2
就往	1.492162	1
也没	1.490571	5
的是“	1.489497	1
再到	1.488930	1
救护	1.486844	1
一天	1.486647	10
就会	1.486090	11
就把	1.484565	57
付钱	1.481579	18
先交	1.480943	1
扭打	1.480029	1
___	1.479771	3
拔刀	1.478269	1
拿到	1.478100	14
印象	1.474196	1
挺	1.473940	2
________	1.473696	3
爱别	1.472937	1
似的	1.472102	4
“没	1.468177	1
几分	1.465241	1
多久	1.464867	9
