word	tag	auc	auc_flipnull	n_models	base_share	aligned_share
关注	any	0.8702	0.6505	24	0.000100	0.000510
面包	any	0.8668	0.6263	30	0.000122	0.000164
编写	any	0.8633	0.6817	28	0.000106	0.000180
需要	any	0.8616	0.7509	29	0.000124	0.000313
寻求	any	0.8529	0.7353	26	0.000318	0.001565
采取行动	any	0.8443	0.6090	20	0.000125	0.000641
质疑	any	0.8426	0.7284	30	0.000367	0.001489
一位	any	0.8408	0.4810	25	0.000108	0.000286
胜利	any	0.8374	0.7059	34	0.000151	0.000198
采取	any	0.8304	0.6263	33	0.002945	0.004828
准备	any	0.8270	0.7855	34	0.000441	0.000815
无法	any	0.8235	0.5519	28	0.000181	0.000481
木头	any	0.8235	0.6817	31	0.000134	0.000207
进行	any	0.8201	0.6471	31	0.000640	0.001836
突然	any	0.8131	0.5744	34	0.004021	0.006215
提供	any	0.7993	0.6869	26	0.000150	0.000435
晴朗	any	0.7958	0.5952	29	0.000124	0.000169
份	any	0.7958	0.5952	29	0.000123	0.000143
迅速	any	0.7941	0.6419	32	0.002808	0.004704
立即	any	0.7941	0.6488	32	0.000787	0.001689
哪些	any	0.7924	0.6765	20	0.000073	0.000272
嗯	any	0.7907	0.6176	32	0.000429	0.000541
公园	any	0.7889	0.6644	33	0.000159	0.000197
长椅	any	0.7837	0.6384	32	0.000143	0.000189
反思	any	0.7820	0.7128	27	0.000407	0.000976
喜悦	any	0.7803	0.6488	32	0.000143	0.000179
鹿	any	0.7803	0.6488	32	0.000143	0.000179
钱包	any	0.7751	0.6471	34	0.000160	0.000189
快速	any	0.7751	0.7128	33	0.000659	0.001240
食物	any	0.7751	0.6713	23	0.000087	0.000154
支持	any	0.7751	0.5848	31	0.000323	0.000542
重新	any	0.7716	0.6073	30	0.000354	0.000920
醒来	any	0.7699	0.6159	30	0.000243	0.000404
封	any	0.7682	0.6332	33	0.000151	0.000154
调料	any	0.7682	0.6332	33	0.000151	0.000154
深渊	any	0.7664	0.5727	32	0.000277	0.000335
120	any	0.7612	0.7128	33	0.000646	0.000991
击	any	0.7612	0.6471	34	0.000534	0.000777
香料	any	0.7578	0.6609	28	0.000116	0.000169
更	any	0.7561	0.5588	32	0.000299	0.000484
人的	any	0.7543	0.5087	31	0.000212	0.000295
再次	any	0.7543	0.6194	34	0.000791	0.001582
警察	any	0.7509	0.5502	33	0.000221	0.000319
攻击	any	0.7509	0.6782	34	0.001158	0.001926
考虑	any	0.7509	0.6851	33	0.001400	0.002160
哪里	any	0.7509	0.6401	30	0.000134	0.000173
袭击	any	0.7491	0.5934	20	0.000078	0.000207
双眼	any	0.7474	0.5986	34	0.000168	0.000208
外衣	any	0.7474	0.6384	32	0.000293	0.000298
指责	any	0.7439	0.6142	22	0.000082	0.000193
改变	any	0.7439	0.7059	34	0.000851	0.001406
火势	any	0.7439	0.5848	29	0.000134	0.000155
投资	any	0.7422	0.5900	20	0.000080	0.000200
那人	any	0.7405	0.6159	33	0.000160	0.000173
朋友	any	0.7405	0.6644	29	0.000151	0.000219
封书	any	0.7405	0.5415	24	0.000096	0.000123
走向	any	0.7388	0.5692	32	0.000470	0.000985
加入	any	0.7370	0.6021	29	0.000295	0.000552
摩擦	any	0.7370	0.5692	24	0.000176	0.000298
盐	any	0.7370	0.7024	31	0.000152	0.000187
信用卡	any	0.7370	0.6298	31	0.000142	0.000170
迎接	any	0.7370	0.6903	30	0.000252	0.000395
寻找	any	0.7370	0.6782	34	0.002102	0.003321
下方	any	0.7370	0.6332	34	0.000238	0.000322
舞	any	0.7353	0.6349	28	0.000123	0.000167
拳	any	0.7353	0.5779	30	0.000163	0.000218
低头	any	0.7336	0.5882	29	0.000554	0.000993
封信	any	0.7336	0.6228	33	0.000170	0.000195
尽快	any	0.7336	0.7197	33	0.000444	0.000848
巴黎	any	0.7318	0.6073	32	0.000152	0.000179
撰写	any	0.7301	0.6678	27	0.000117	0.000178
墓	any	0.7301	0.6021	30	0.000134	0.000145
仍然	any	0.7301	0.6021	31	0.000143	0.000155
晴天	any	0.7301	0.6021	31	0.000143	0.000169
阴天	any	0.7301	0.6021	31	0.000143	0.000169
怎样	any	0.7284	0.5865	33	0.004667	0.004970
50	any	0.7266	0.6332	34	0.001458	0.001729
强行	any	0.7266	0.4983	26	0.000142	0.000235
栅栏	any	0.7266	0.6021	31	0.000153	0.000164
哑	any	0.7266	0.6920	31	0.000143	0.000169
你”	any	0.7266	0.5952	34	0.000303	0.000358
如此	any	0.7266	0.5433	27	0.000116	0.000135
糖	any	0.7232	0.5917	31	0.000143	0.000168
找到	any	0.7215	0.5796	32	0.001252	0.002319
完成	any	0.7215	0.6799	32	0.000224	0.000348
表达	any	0.7197	0.6401	29	0.000483	0.001326
60	any	0.7197	0.6090	34	0.001367	0.001670
站在	any	0.7197	0.6938	26	0.000282	0.000595
挑战	any	0.7163	0.5433	22	0.000119	0.000224
轻轻地	any	0.7163	0.5952	30	0.001429	0.002896
其	any	0.7163	0.5433	29	0.000166	0.000195
想到	any	0.7145	0.5796	26	0.000179	0.000292
跟随	any	0.7111	0.6817	26	0.000169	0.000371
绝望	any	0.7093	0.6298	30	0.000190	0.000251
嘶哑	any	0.7093	0.6090	26	0.000117	0.000151
释放	any	0.7076	0.6263	22	0.000127	0.000340
时间	any	0.7059	0.6592	32	0.000203	0.000320
几乎	any	0.7059	0.5450	22	0.000126	0.000298
探索	any	0.7059	0.5848	25	0.000202	0.000440
起床	any	0.7042	0.6038	26	0.000150	0.000230
激动	any	0.7024	0.6228	33	0.000198	0.000164
腰部	any	0.7024	0.5709	27	0.000181	0.000312
冰冷	any	0.7024	0.6401	31	0.000202	0.000289
呼吸	any	0.7024	0.5744	31	0.000233	0.000357
松开	any	0.7024	0.6384	24	0.000145	0.000405
结束	any	0.6990	0.6021	29	0.000798	0.001616
宽恕	any	0.6972	0.5900	24	0.000105	0.000124
护士	any	0.6972	0.5623	30	0.000142	0.000136
多云	any	0.6955	0.5813	27	0.000123	0.000149
墙壁	any	0.6955	0.7197	22	0.000119	0.000233
回到	any	0.6955	0.6194	34	0.001000	0.001868
55	any	0.6938	0.5779	26	0.000407	0.000819
失去了	any	0.6938	0.5623	24	0.000126	0.000238
远处	any	0.6920	0.5087	34	0.000391	0.000520
废墟	any	0.6920	0.5640	31	0.000198	0.000258
树枝	any	0.6920	0.5796	24	0.000109	0.000137
手套	any	0.6920	0.6125	27	0.000169	0.000238
上下	any	0.6920	0.6021	29	0.000275	0.000336
田野	any	0.6903	0.5657	30	0.000178	0.000218
好的	any	0.6886	0.6540	21	0.000126	0.000306
狂喜	any	0.6886	0.4429	23	0.000097	0.000140
理解	any	0.6886	0.6125	21	0.000176	0.000621
写作	any	0.6886	0.5917	25	0.000124	0.000217
眼	any	0.6886	0.5675	31	0.000304	0.000465
十分	any	0.6869	0.5657	32	0.000198	0.000219
远	any	0.6869	0.5190	26	0.000198	0.000338
抵抗	any	0.6869	0.6644	22	0.000106	0.000217
