base,gap_base,gap_aligned,delta
01-ai/Yi-1.5-9B,0.09087803174768605,-0.00748927768499863,-0.09836730943268468
BAAI/Aquila2-7B,0.02307531899861237,-0.008614355083006064,-0.031689674081618435
BSC-LT/salamandra-7b,-0.26196751673614616,-0.9995632775535749,-0.7375957608174287
EleutherAI/pythia-6.9b,0.018305478043918244,0.02394523561555817,0.005639757571639925
HuggingFaceTB/SmolLM2-360M,0.10118943482148557,0.05984504973214555,-0.04134438508934002
HuggingFaceTB/SmolLM3-3B-Base,0.08776794617506323,0.04710768010807698,-0.04066026606698625
LLM360/Amber,0.12165681250513727,0.002023933149359669,-0.1196328793557776
OpenLLM-France/Lucie-7B,0.34995127709677615,-0.005432545665437494,-0.35538382276221364
Qwen/Qwen2.5-7B,0.09395242162383566,0.027213245464084213,-0.06673917615975145
Qwen/Qwen3-8B-Base,-0.014275713130039058,-0.006944338010892004,0.007331375119147054
RWKV/rwkv-4-7b-pile,0.02117696167462113,0.013518426290430652,-0.007658535384190479
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,0.06605492104519395,0.17713523518487118,0.11108031413967723
Zyphra/Zamba2-7B,0.037791603662162665,0.07291632620139782,0.035124722539235154
allenai/OLMo-2-0425-1B,0.06899555076336206,0.09126326654081818,0.02226771577745612
allenai/OLMoE-1B-7B-0125,0.07787701119157164,0.03985949442698,-0.03801751676459164
allenai/Olmo-3-1025-7B,0.10833651337137362,-0.007806620063494751,-0.11614313343486837
allenai/Olmo-Hybrid-7B,0.08091127740413684,0.03332296072731977,-0.047588316676817066
baichuan-inc/Baichuan2-7B-Base,0.002865213524741339,-0.01475407112264615,-0.01761928464738749
bigscience/bloom-7b1,0.12655385924495044,0.008120269568301808,-0.11843358967664863
deepseek-ai/deepseek-llm-7b-base,0.09956302264891859,0.09431781266827588,-0.005245209980642707
google/gemma-2-9b,0.09953459520440822,0.07851006039045894,-0.02102453481394928
google/recurrentgemma-9b,0.09742771855378274,0.015853245383008252,-0.08157447317077449
huggyllama/llama-7b,0.05213109985355202,-0.03394121976400699,-0.08607231961755901
ibm-granite/granite-3.0-8b-base,0.06707335835228567,0.016954784877327045,-0.05011857347495863
inceptionai/jais-family-6p7b,0.038984353859189524,0.025287222821999578,-0.013697131037189947
internlm/internlm2-base-7b,0.12062249913127204,0.16025317822014212,0.03963067908887008
kakaocorp/kanana-1.5-8b-base,0.12000041480514684,0.01115460021414727,-0.10884581459099957
kakaocorp/kanana-2-3b-base,0.024053151778426596,0.05236913894446055,0.02831598716603395
llm-jp/llm-jp-3-7.2b,0.014752567494812574,0.04355019698939899,0.02879762949458642
m-a-p/CT-LLM-Base,0.05113962816003881,0.04246784155713079,-0.008671786602908016
m-a-p/neo_7b,0.13631329942864423,0.08331329976329505,-0.052999999665349184
meta-llama/Llama-3.1-8B,0.04182498153771208,0.022682064379579314,-0.019142917158132766
mistralai/Mistral-7B-v0.1,0.014088495025395886,0.02747871876705632,0.013390223741660434
openbmb/MiniCPM5-1B-Base,0.07956643697260446,0.05412276064381838,-0.02544367632878608
stabilityai/stablelm-2-1_6b,0.04127785849313126,0.02019741376723949,-0.021080444725891767
tiiuae/Falcon-H1-7B-Base,0.040590205872619856,-0.046891425882196414,-0.08748163175481627
tiiuae/Falcon3-10B-Base,0.048578754158625115,-0.00785714619324529,-0.056435900351870405
tiiuae/Falcon3-7B-Base,0.09552815577899365,0.07584239411512894,-0.01968576166386471
tiiuae/Falcon3-Mamba-7B-Base,0.04881782889649677,-0.07892064087912809,-0.12773846977562486
tiiuae/falcon-mamba-7b,0.07650524946078607,0.08794025716774612,0.011435007706960043
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,0.02539409188771613,0.002495088100392895,-0.022899003787323235
zai-org/glm-4-9b-hf,0.10705099454647438,0.010928718997524567,-0.09612227554894981
