checkpoint,domain,member,n_cells,n_beams,beams_any_underscore,beams_cloze_run3,top_beam_cloze
01-ai/Yi-1.5-9B,animal,MARKED,15,1500,0,0,0
01-ai/Yi-1.5-9B,animal,UNMARKED,15,1500,0,0,0
01-ai/Yi-1.5-9B,betrayal,MARKED,15,1500,0,0,0
01-ai/Yi-1.5-9B,betrayal,UNMARKED,15,1500,0,0,0
01-ai/Yi-1.5-9B,power,MARKED,15,1500,0,0,0
01-ai/Yi-1.5-9B,power,UNMARKED,15,1500,0,0,0
01-ai/Yi-1.5-9B,property,MARKED,15,1500,0,0,0
01-ai/Yi-1.5-9B,property,UNMARKED,15,1500,0,0,0
01-ai/Yi-1.5-9B,sexual,MARKED,15,1500,0,0,0
01-ai/Yi-1.5-9B,sexual,UNMARKED,15,1500,0,0,0
01-ai/Yi-1.5-9B,taboo,MARKED,15,1500,0,0,0
01-ai/Yi-1.5-9B,taboo,UNMARKED,15,1500,0,0,0
01-ai/Yi-1.5-9B,violence,MARKED,15,1500,0,0,0
01-ai/Yi-1.5-9B,violence,UNMARKED,15,1500,0,0,0
01-ai/Yi-1.5-9B-Chat,animal,MARKED,15,1500,0,0,0
01-ai/Yi-1.5-9B-Chat,animal,UNMARKED,15,1500,0,0,0
01-ai/Yi-1.5-9B-Chat,betrayal,MARKED,15,1500,0,0,0
01-ai/Yi-1.5-9B-Chat,betrayal,UNMARKED,15,1500,0,0,0
01-ai/Yi-1.5-9B-Chat,power,MARKED,15,1500,0,0,0
01-ai/Yi-1.5-9B-Chat,power,UNMARKED,15,1500,0,0,0
01-ai/Yi-1.5-9B-Chat,property,MARKED,15,1500,0,0,0
01-ai/Yi-1.5-9B-Chat,property,UNMARKED,15,1500,0,0,0
01-ai/Yi-1.5-9B-Chat,sexual,MARKED,15,1500,0,0,0
01-ai/Yi-1.5-9B-Chat,sexual,UNMARKED,15,1500,0,0,0
01-ai/Yi-1.5-9B-Chat,taboo,MARKED,15,1500,0,0,0
01-ai/Yi-1.5-9B-Chat,taboo,UNMARKED,15,1500,4,0,0
01-ai/Yi-1.5-9B-Chat,violence,MARKED,15,1500,0,0,0
