lineage,aligned,n_groups,n_passages,top_share,argmax,gap_total,d_final,base_E-QUIZ,aligned_E-QUIZ,d_E-QUIZ,base_E-QA,aligned_E-QA,d_E-QA,base_E-TASK,aligned_E-TASK,d_E-TASK,base_E-ASSIST,aligned_E-ASSIST,d_E-ASSIST,base_E-MENTION,aligned_E-MENTION,d_E-MENTION,base_E-META,aligned_E-META,d_E-META,base_REFUSAL,aligned_REFUSAL,d_REFUSAL,base_ANY-EXIT,aligned_ANY-EXIT,d_ANY-EXIT
01-ai/Yi-1.5-9B,01-ai/Yi-1.5-9B-Chat,21,2520,0.32598,0.875,1.34993,-0.057051,1.54762,-0.833333,-2.38095,0.119048,-0.357143,-0.47619,0.357143,0.833333,0.47619,-0.238095,0,0.238095,0,0,0,0,-0.595238,-0.595238,0,0,0,1.54762,-1.30952,-2.85714
BSC-LT/salamandra-7b,BSC-LT/salamandra-7b-instruct,21,2520,0.348944,0.875,1.40529,0.0266299,-2.14286,0.595238,2.7381,-0.952381,-0.119048,0.833333,-0.238095,-0.357143,-0.119048,0.238095,-1.19048,-1.42857,0.595238,-1.42857,-2.02381,-0.119048,0.238095,0.357143,0,0,0,-2.2619,-1.19048,1.07143
EleutherAI/pythia-6.9b,lomahony/eleuther-pythia6.9b-hh-dpo,21,2520,0.406719,0.875,0.213968,-0.016289,-1.30952,0.357143,1.66667,0.238095,1.11022e-16,-0.238095,-0.238095,-0.238095,-5.55112e-17,0,0.119048,0.119048,-0.119048,0.357143,0.47619,-0.47619,0.47619,0.952381,0,0.238095,0.238095,-1.90476,0.833333,2.7381
HuggingFaceTB/SmolLM2-360M,HuggingFaceTB/SmolLM2-360M-Instruct,21,2520,0.0912333,0.5,3.59634,0.055958,-1.07143,-1.90476,-0.833333,-0.47619,-2.2619,-1.78571,-0.833333,0.119048,0.952381,0,-0.119048,-0.119048,0.238095,0.238095,5.55112e-17,0.119048,-0.595238,-0.714286,0,0,0,-1.90476,-3.92857,-2.02381
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B,21,2520,0.152901,0.75,23.5971,0.0641193,-0.714286,0.119048,0.833333,-0.595238,0.119048,0.714286,-0.238095,0.357143,0.595238,-0.119048,-0.238095,-0.119048,0.595238,-0.833333,-1.42857,-0.595238,0.595238,1.19048,0.238095,-0.119048,-0.357143,-1.42857,0.47619,1.90476
LLM360/Amber,LLM360/AmberSafe,21,2520,0.599398,0.875,3.18187,0.164262,0,0.119048,0.119048,-0.238095,1.66667,1.90476,-0.238095,-0.357143,-0.119048,0,0.238095,0.238095,0.357143,0.714286,0.357143,0.119048,0.833333,0.714286,-0.357143,1.54762,1.90476,0.119048,2.7381,2.61905
OpenLLM-France/Lucie-7B,OpenLLM-France/Lucie-7B-Instruct-v1.1,21,2520,0.350992,0.75,2.19732,0.0799729,-0.119048,-0.47619,-0.357143,-0.357143,-2.2619,-1.90476,1.78571,0.119048,-1.66667,0,0.357143,0.357143,0.47619,1.19048,0.714286,0.833333,0.357143,-0.47619,0,0,0,2.5,-0.47619,-2.97619
Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,21,2520,0.325617,0.75,0.664278,0.0358152,-16.3095,-9.88095,6.42857,-14.1667,-12.619,1.54762,-1.19048,0.119048,1.30952,-1.19048,-2.7381,-1.54762,0.238095,0.833333,0.595238,0,0.47619,0.47619,0,0,0,-19.5238,-11.9048,7.61905
Qwen/Qwen3-8B-Base,Qwen/Qwen3-8B,21,2520,0.404775,0.875,1.75906,-0.027203,-11.4286,-10.2381,1.19048,-12.381,-6.42857,5.95238,0.833333,0.357143,-0.47619,-0.714286,0,0.714286,0.357143,0.833333,0.47619,0.238095,0,-0.238095,-0.119048,0.238095,0.357143,-15,-7.7381,7.2619
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,TinyLlama/TinyLlama-1.1B-Chat-v1.0,21,2520,0.50982,0.875,0.49856,0.0840043,0.714286,0.119048,-0.595238,0,-0.238095,-0.238095,-0.238095,0.357143,0.595238,0,0,0,-0.357143,-0.47619,-0.119048,0.714286,0,-0.714286,0,0,0,0.833333,-0.119048,-0.952381
allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-DPO,21,2520,0.346931,0.875,1.64755,0.109791,1.19048,-0.238095,-1.42857,-0.714286,-0.952381,-0.238095,-0.238095,-0.119048,0.119048,-0.119048,-0.47619,-0.357143,-0.595238,0.119048,0.714286,0.357143,-0.119048,-0.47619,0.238095,-0.119048,-0.357143,0.238095,-1.42857,-1.66667
allenai/OLMoE-1B-7B-0125,allenai/OLMoE-1B-7B-0125-DPO,21,2520,0.292015,0.75,0.9243,0.0642252,0.119048,-1.19048,-1.30952,-1.66667,-1.54762,0.119048,0.595238,0.238095,-0.357143,0.357143,0.833333,0.47619,-0.833333,-0.595238,0.238095,-0.357143,0.119048,0.47619,0,-0.119048,-0.119048,-1.66667,-2.2619,-0.595238
