base,gap_base,gap_aligned,delta
01-ai/Yi-1.5-9B,0.11551431468341006,0.1607538409612247,0.045239526277814635
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,0.02181568461458705,0.06681549941755649,0.04499981480296944
BAAI/Aquila2-7B,0.041036536680726265,0.009069629112859579,-0.03196690756786669
BSC-LT/salamandra-7b,0.11404151900076176,0.07104377515400101,-0.04299774384676075
EleutherAI/pythia-6.9b,0.12965882568930998,0.14869422317494763,0.01903539748563765
HuggingFaceTB/SmolLM2-360M,0.187444554724218,0.18831181516022183,0.000867260436003825
HuggingFaceTB/SmolLM3-3B-Base,0.09022650718638114,0.003806239736944883,-0.08642026744943626
LLM360/Amber,0.10996993814565309,-0.13916203532638116,-0.24913197347203425
OpenLLM-France/Lucie-7B,0.07669276031585898,0.1448640061473231,0.06817124583146411
Qwen/Qwen2.5-7B,0.09205397853980479,0.05076448799296451,-0.04128949054684028
Qwen/Qwen3-8B-Base,0.06456671705492883,0.05857183781149594,-0.0059948792434328935
RWKV/rwkv-4-7b-pile,0.1578512575357887,0.16445893654130123,0.006607679005512512
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,0.12408155474182941,0.12883129898040324,0.0047497442385738275
Zyphra/Zamba2-7B,0.11179485441222103,0.01607241266406989,-0.09572244174815114
allenai/OLMo-2-0425-1B,0.17224145543017855,0.08828458841519354,-0.083956867014985
allenai/OLMoE-1B-7B-0125,0.1849959611857926,0.10485908158485219,-0.0801368796009404
allenai/Olmo-3-1025-7B,0.17305481345637724,0.02922469281163248,-0.14383012064474476
allenai/Olmo-Hybrid-7B,0.20434846773968895,0.12935787607607702,-0.07499059166361194
baichuan-inc/Baichuan2-7B-Base,0.1366103997904643,0.03945853263333554,-0.09715186715712876
bigscience/bloom-7b1,0.0813907560445889,0.1354984573792541,0.05410770133466519
croissantllm/CroissantLLMBase,0.23946876560240432,0.1448245798112487,-0.09464418579115563
deepseek-ai/deepseek-llm-7b-base,0.12619894170753426,0.1346784061949941,0.008479464487459842
google/gemma-2-9b,0.1694010851239639,-0.03241290519188156,-0.20181399031584546
google/recurrentgemma-9b,0.13667730891645036,0.05341278209142469,-0.08326452682502566
huggyllama/llama-7b,0.1624287611519179,0.09464214885058364,-0.06778661230133426
ibm-granite/granite-3.0-8b-base,0.09162889101458505,0.06812730848762338,-0.023501582526961662
inceptionai/jais-family-6p7b,0.1092807045846293,0.14199837416232558,0.032717669577696284
internlm/internlm2-base-7b,0.09746709081280913,0.09439947651483394,-0.0030676142979751964
kakaocorp/kanana-1.5-8b-base,0.18973981936874862,0.07674103940599841,-0.1129987799627502
kakaocorp/kanana-2-3b-base,0.24444413595192016,0.19730453905700907,-0.047139596894911096
llm-jp/llm-jp-3-7.2b,0.17186202056439392,0.06967396853594598,-0.10218805202844794
m-a-p/CT-LLM-Base,0.14830660602564633,0.09038155657291069,-0.05792504945273563
m-a-p/neo_7b,0.07148785937288527,0.10772668032435684,0.03623882095147157
meta-llama/Llama-3.1-8B,0.1430355243229922,0.10850374740191066,-0.03453177692108156
mistralai/Mistral-7B-v0.1,0.06152902210339578,0.004616908166271583,-0.0569121139371242
openGPT-X/Teuken-7B-base-v0.6,0.05993730549278775,0.05498794897469883,-0.004949356518088921
openbmb/MiniCPM5-1B-Base,0.2552233211452666,0.014159378957493363,-0.24106394218777322
stabilityai/stablelm-2-1_6b,0.10944215120847695,0.08199538546029289,-0.027446765748184054
team-hatakeyama-phase2/Tanuki-8B-base-v1.0,0.1481662891438974,0.15454524552965077,0.006378956385753365
tiiuae/Falcon-H1-7B-Base,0.09505591315498191,0.030905021471249294,-0.06415089168373261
tiiuae/Falcon3-10B-Base,0.10267531035343902,0.07172885419860764,-0.03094645615483138
tiiuae/Falcon3-7B-Base,0.014772974932457217,0.00928133930590408,-0.005491635626553137
tiiuae/Falcon3-Mamba-7B-Base,0.10514670845003043,0.05712056102459595,-0.048026147425434484
tiiuae/falcon-mamba-7b,0.15650769787345975,0.1250354308175199,-0.03147226705593986
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,0.13112542817093203,-0.0349223970892385,-0.16604782526017053
zai-org/glm-4-9b-hf,0.09249950891173181,0.08666606577747782,-0.0058334431342539905
