checkpoint,group,role,prompt_id,n_gens,E-QUIZ,E-QA,E-TASK,E-ASSIST,E-MENTION,E-META,REFUSAL
EleutherAI/pythia-1b/step0,f11_love,POLE_A,store_g027_B,25,0,0,0,0,0,0,0
EleutherAI/pythia-1b/step0,f11_love,POLE_B,store_g027_A,25,0,0,0,0,0,0,0
EleutherAI/pythia-1b/step1,f11_love,POLE_A,store_g027_B,25,0,0,0,0,0,0,0
EleutherAI/pythia-1b/step1,f11_love,POLE_B,store_g027_A,25,1,0,1,0,0,0,0
EleutherAI/pythia-1b/step1000,f11_love,POLE_A,store_g027_B,25,0,0,0,0,0,0,0
EleutherAI/pythia-1b/step1000,f11_love,POLE_B,store_g027_A,25,0,0,0,0,0,0,0
EleutherAI/pythia-1b/step10000,f11_love,POLE_A,store_g027_B,25,0,1,0,0,0,0,0
EleutherAI/pythia-1b/step10000,f11_love,POLE_B,store_g027_A,25,1,0,0,0,0,0,0
EleutherAI/pythia-1b/step100000,f11_love,POLE_A,store_g027_B,25,0,0,0,0,0,0,0
EleutherAI/pythia-1b/step100000,f11_love,POLE_B,store_g027_A,25,0,0,0,0,0,0,0
EleutherAI/pythia-1b/step143000,f11_love,POLE_A,store_g027_B,25,0,0,0,0,0,0,0
EleutherAI/pythia-1b/step143000,f11_love,POLE_B,store_g027_A,25,0,0,0,0,0,0,0
EleutherAI/pythia-1b/step25000,f11_love,POLE_A,store_g027_B,25,0,0,0,0,0,0,0
EleutherAI/pythia-1b/step25000,f11_love,POLE_B,store_g027_A,25,1,0,0,0,0,0,0
EleutherAI/pythia-1b/step5000,f11_love,POLE_A,store_g027_B,25,0,0,0,0,0,0,0
EleutherAI/pythia-1b/step5000,f11_love,POLE_B,store_g027_A,25,0,0,0,0,0,0,0
EleutherAI/pythia-1b/step50000,f11_love,POLE_A,store_g027_B,25,0,0,0,0,0,0,0
EleutherAI/pythia-1b/step50000,f11_love,POLE_B,store_g027_A,25,0,0,0,0,0,0,0
EleutherAI/pythia-1b/step512,f11_love,POLE_A,store_g027_B,25,0,0,0,0,0,0,0
EleutherAI/pythia-1b/step512,f11_love,POLE_B,store_g027_A,25,0,0,0,0,0,0,0
EleutherAI/pythia-1b/step64,f11_love,POLE_A,store_g027_B,25,0,0,0,0,0,0,0
EleutherAI/pythia-1b/step64,f11_love,POLE_B,store_g027_A,25,0,0,0,0,0,0,0
EleutherAI/pythia-6.9b/step0,f11_love,POLE_A,store_g027_B,25,0,0,0,0,0,0,0
EleutherAI/pythia-6.9b/step0,f11_love,POLE_B,store_g027_A,25,1,0,0,0,0,0,0
EleutherAI/pythia-6.9b/step1,f11_love,POLE_A,store_g027_B,25,0,0,0,0,0,0,0
EleutherAI/pythia-6.9b/step1,f11_love,POLE_B,store_g027_A,25,0,0,0,0,0,0,0
EleutherAI/pythia-6.9b/step1000,f11_love,POLE_A,store_g027_B,25,0,0,0,0,0,0,0
EleutherAI/pythia-6.9b/step1000,f11_love,POLE_B,store_g027_A,25,0,0,1,0,0,0,0
EleutherAI/pythia-6.9b/step10000,f11_love,POLE_A,store_g027_B,25,0,0,1,0,0,0,0
EleutherAI/pythia-6.9b/step10000,f11_love,POLE_B,store_g027_A,25,0,0,0,0,0,0,0
EleutherAI/pythia-6.9b/step100000,f11_love,POLE_A,store_g027_B,25,1,0,0,0,0,0,0
