pair,role,member,domain,n_beams,beams_cloze_run3
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,aligned,MARKED,animal,1500,0
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,aligned,MARKED,betrayal,1500,0
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,aligned,MARKED,power,1500,0
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,aligned,MARKED,property,1500,0
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,aligned,MARKED,sexual,1500,0
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,aligned,MARKED,taboo,1500,0
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,aligned,MARKED,violence,1500,0
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,aligned,UNMARKED,animal,1500,0
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,aligned,UNMARKED,betrayal,1500,0
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,aligned,UNMARKED,power,1500,0
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,aligned,UNMARKED,property,1500,0
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,aligned,UNMARKED,sexual,1500,0
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,aligned,UNMARKED,taboo,1500,0
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,aligned,UNMARKED,violence,1500,0
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,base,MARKED,animal,1500,0
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,base,MARKED,betrayal,1500,0
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,base,MARKED,power,1500,0
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,base,MARKED,property,1500,0
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,base,MARKED,sexual,1500,0
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,base,MARKED,taboo,1500,0
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,base,MARKED,violence,1500,0
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,base,UNMARKED,animal,1500,0
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,base,UNMARKED,betrayal,1500,0
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,base,UNMARKED,power,1500,0
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,base,UNMARKED,property,1500,0
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,base,UNMARKED,sexual,1500,0
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,base,UNMARKED,taboo,1500,0
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,base,UNMARKED,violence,1500,0
EleutherAI/pythia-2.8b>ContextualAI/archangel_sft-dpo_pythia2-8b,aligned,MARKED,animal,1500,0
EleutherAI/pythia-2.8b>ContextualAI/archangel_sft-dpo_pythia2-8b,aligned,MARKED,betrayal,1500,0
EleutherAI/pythia-2.8b>ContextualAI/archangel_sft-dpo_pythia2-8b,aligned,MARKED,power,1500,0
EleutherAI/pythia-2.8b>ContextualAI/archangel_sft-dpo_pythia2-8b,aligned,MARKED,property,1500,0
EleutherAI/pythia-2.8b>ContextualAI/archangel_sft-dpo_pythia2-8b,aligned,MARKED,sexual,1500,0
EleutherAI/pythia-2.8b>ContextualAI/archangel_sft-dpo_pythia2-8b,aligned,MARKED,taboo,1500,0
EleutherAI/pythia-2.8b>ContextualAI/archangel_sft-dpo_pythia2-8b,aligned,MARKED,violence,1500,0
EleutherAI/pythia-2.8b>ContextualAI/archangel_sft-dpo_pythia2-8b,aligned,UNMARKED,animal,1500,0
EleutherAI/pythia-2.8b>ContextualAI/archangel_sft-dpo_pythia2-8b,aligned,UNMARKED,betrayal,1500,0
EleutherAI/pythia-2.8b>ContextualAI/archangel_sft-dpo_pythia2-8b,aligned,UNMARKED,power,1500,0
EleutherAI/pythia-2.8b>ContextualAI/archangel_sft-dpo_pythia2-8b,aligned,UNMARKED,property,1500,0
EleutherAI/pythia-2.8b>ContextualAI/archangel_sft-dpo_pythia2-8b,aligned,UNMARKED,sexual,1500,0
EleutherAI/pythia-2.8b>ContextualAI/archangel_sft-dpo_pythia2-8b,aligned,UNMARKED,taboo,1500,0
EleutherAI/pythia-2.8b>ContextualAI/archangel_sft-dpo_pythia2-8b,aligned,UNMARKED,violence,1500,0
EleutherAI/pythia-2.8b>ContextualAI/archangel_sft-dpo_pythia2-8b,base,MARKED,animal,1500,0
EleutherAI/pythia-2.8b>ContextualAI/archangel_sft-dpo_pythia2-8b,base,MARKED,betrayal,1500,0
EleutherAI/pythia-2.8b>ContextualAI/archangel_sft-dpo_pythia2-8b,base,MARKED,power,1500,0
EleutherAI/pythia-2.8b>ContextualAI/archangel_sft-dpo_pythia2-8b,base,MARKED,property,1500,0
EleutherAI/pythia-2.8b>ContextualAI/archangel_sft-dpo_pythia2-8b,base,MARKED,sexual,1500,0
EleutherAI/pythia-2.8b>ContextualAI/archangel_sft-dpo_pythia2-8b,base,MARKED,taboo,1500,0
EleutherAI/pythia-2.8b>ContextualAI/archangel_sft-dpo_pythia2-8b,base,MARKED,violence,1500,0
