arm,layer,depth,A_mass,B_mass,null_A,null_B,tail,n_words
base,4,0.125,0.0,0.0,0.0,0.0,0.6995895504951477,139
base,8,0.25,0.0,0.0,0.0,0.0,0.649899423122406,149
base,16,0.5,0.0006238923515825695,0.0,0.0,0.0,0.412492036819458,195
base,24,0.75,0.014816121077572325,0.0,0.0,0.0,0.10063093900680542,211
base,32,1.0,0.07133945274287978,0.03617943968586962,0.026287613545500743,0.055911536354698504,0.19181442260742188,131
aligned,4,0.125,0.0,0.0,0.0,0.0,0.6963772773742676,139
aligned,8,0.25,0.0,0.0,0.0,0.0,0.5720828175544739,168
aligned,16,0.5,0.0008185176755661043,0.0,0.0,1.256749336585837e-05,0.4747585654258728,199
aligned,24,0.75,0.0004972622244316244,0.0,0.0,0.0002486311122158122,0.021889328956604004,239
aligned,32,1.0,0.22819805192316786,0.04104498782081592,0.09962607852699275,0.07583360098065309,0.08125454187393188,89
