checkpoint,prompt_id,group,role,n_samples,text_sha16
EleutherAI/pythia-1b/step0,store_g027_B,f11_love,POLE_A,25,d9b55a936e6e5dc9
EleutherAI/pythia-1b/step0,store_g027_A,f11_love,POLE_B,25,2d150845f445455a
EleutherAI/pythia-1b/step1,store_g027_B,f11_love,POLE_A,25,d9b55a936e6e5dc9
EleutherAI/pythia-1b/step1,store_g027_A,f11_love,POLE_B,25,2d150845f445455a
EleutherAI/pythia-1b/step1000,store_g027_B,f11_love,POLE_A,25,d9b55a936e6e5dc9
EleutherAI/pythia-1b/step1000,store_g027_A,f11_love,POLE_B,25,2d150845f445455a
EleutherAI/pythia-1b/step10000,store_g027_B,f11_love,POLE_A,25,d9b55a936e6e5dc9
EleutherAI/pythia-1b/step10000,store_g027_A,f11_love,POLE_B,25,2d150845f445455a
EleutherAI/pythia-1b/step100000,store_g027_B,f11_love,POLE_A,25,d9b55a936e6e5dc9
EleutherAI/pythia-1b/step100000,store_g027_A,f11_love,POLE_B,25,2d150845f445455a
EleutherAI/pythia-1b/step143000,store_g027_B,f11_love,POLE_A,25,d9b55a936e6e5dc9
EleutherAI/pythia-1b/step143000,store_g027_A,f11_love,POLE_B,25,2d150845f445455a
EleutherAI/pythia-1b/step25000,store_g027_B,f11_love,POLE_A,25,d9b55a936e6e5dc9
EleutherAI/pythia-1b/step25000,store_g027_A,f11_love,POLE_B,25,2d150845f445455a
EleutherAI/pythia-1b/step5000,store_g027_B,f11_love,POLE_A,25,d9b55a936e6e5dc9
EleutherAI/pythia-1b/step5000,store_g027_A,f11_love,POLE_B,25,2d150845f445455a
EleutherAI/pythia-1b/step50000,store_g027_B,f11_love,POLE_A,25,d9b55a936e6e5dc9
EleutherAI/pythia-1b/step50000,store_g027_A,f11_love,POLE_B,25,2d150845f445455a
EleutherAI/pythia-1b/step512,store_g027_B,f11_love,POLE_A,25,d9b55a936e6e5dc9
EleutherAI/pythia-1b/step512,store_g027_A,f11_love,POLE_B,25,2d150845f445455a
EleutherAI/pythia-1b/step64,store_g027_B,f11_love,POLE_A,25,d9b55a936e6e5dc9
EleutherAI/pythia-1b/step64,store_g027_A,f11_love,POLE_B,25,2d150845f445455a
EleutherAI/pythia-6.9b/step0,store_g027_B,f11_love,POLE_A,25,d9b55a936e6e5dc9
EleutherAI/pythia-6.9b/step0,store_g027_A,f11_love,POLE_B,25,2d150845f445455a
EleutherAI/pythia-6.9b/step1,store_g027_B,f11_love,POLE_A,25,d9b55a936e6e5dc9
EleutherAI/pythia-6.9b/step1,store_g027_A,f11_love,POLE_B,25,2d150845f445455a
EleutherAI/pythia-6.9b/step1000,store_g027_B,f11_love,POLE_A,25,d9b55a936e6e5dc9
EleutherAI/pythia-6.9b/step1000,store_g027_A,f11_love,POLE_B,25,2d150845f445455a
EleutherAI/pythia-6.9b/step10000,store_g027_B,f11_love,POLE_A,25,d9b55a936e6e5dc9
EleutherAI/pythia-6.9b/step10000,store_g027_A,f11_love,POLE_B,25,2d150845f445455a
EleutherAI/pythia-6.9b/step100000,store_g027_B,f11_love,POLE_A,25,d9b55a936e6e5dc9
EleutherAI/pythia-6.9b/step100000,store_g027_A,f11_love,POLE_B,25,2d150845f445455a
EleutherAI/pythia-6.9b/step25000,store_g027_B,f11_love,POLE_A,25,d9b55a936e6e5dc9
EleutherAI/pythia-6.9b/step25000,store_g027_A,f11_love,POLE_B,25,2d150845f445455a
EleutherAI/pythia-6.9b/step5000,store_g027_B,f11_love,POLE_A,25,d9b55a936e6e5dc9
EleutherAI/pythia-6.9b/step5000,store_g027_A,f11_love,POLE_B,25,2d150845f445455a
EleutherAI/pythia-6.9b/step50000,store_g027_B,f11_love,POLE_A,25,d9b55a936e6e5dc9
EleutherAI/pythia-6.9b/step50000,store_g027_A,f11_love,POLE_B,25,2d150845f445455a
EleutherAI/pythia-6.9b/step512,store_g027_B,f11_love,POLE_A,25,d9b55a936e6e5dc9
EleutherAI/pythia-6.9b/step512,store_g027_A,f11_love,POLE_B,25,2d150845f445455a
EleutherAI/pythia-6.9b/step64,store_g027_B,f11_love,POLE_A,25,d9b55a936e6e5dc9
EleutherAI/pythia-6.9b/step64,store_g027_A,f11_love,POLE_B,25,2d150845f445455a
HuggingFaceH4/zephyr-7b-beta,store_g015_BOTH,f11_beauty,BOTH,3,57d1d7dca72977c7
HuggingFaceH4/zephyr-7b-beta,store_g001_BOTH_2,f11_beauty,POLE_B,3,bdad740a5f20c0b5
HuggingFaceH4/zephyr-7b-beta,f11_beauty_ugly_pole_a,f11_beauty_ugly,POLE_A,3,20ede03b09df2565
HuggingFaceH4/zephyr-7b-beta,store_g013_BOTH,f11_captive,BOTH,3,ac50d36e414383f7
HuggingFaceH4/zephyr-7b-beta,store_g013_B,f11_captive,POLE_A,3,afb99a93f13017fa
HuggingFaceH4/zephyr-7b-beta,store_g013_A,f11_captive,POLE_B,3,03106035e34b50af
HuggingFaceH4/zephyr-7b-beta,census_0002,f11_create,BOTH,3,c8ab9a59c7f342b0
HuggingFaceH4/zephyr-7b-beta,store_g041_A,f11_create,POLE_A,3,0eb20b3925758373
HuggingFaceH4/zephyr-7b-beta,store_g041_B,f11_create,POLE_B,3,d44e12af1e63b4bc
HuggingFaceH4/zephyr-7b-beta,store_g031_BOTH,f11_desire,BOTH,3,f8571d72e42acc6b
HuggingFaceH4/zephyr-7b-beta,store_g031_A,f11_desire,POLE_A,3,76a5ea7cbe7bb29a
HuggingFaceH4/zephyr-7b-beta,store_g031_B,f11_desire,POLE_B,3,bbd8ba1cbcb580c8
HuggingFaceH4/zephyr-7b-beta,store_g021_B,f11_gender,POLE_A,3,03abfb659ce815a4
HuggingFaceH4/zephyr-7b-beta,store_g021_3,f11_gender,POLE_B,3,ff1fb4f59abd8c95
HuggingFaceH4/zephyr-7b-beta,census_0006,f11_holy,POLE_A,3,ba24252f5c0c884c
HuggingFaceH4/zephyr-7b-beta,census_0003,f11_holy,POLE_B,3,cea0406de9438813
HuggingFaceH4/zephyr-7b-beta,f11_holy_b_both,f11_holy_b,BOTH,3,32917b3fc3fc0a78
HuggingFaceH4/zephyr-7b-beta,store_g027_BOTH,f11_love,BOTH,3,c1ebfbc45e98fdd5
HuggingFaceH4/zephyr-7b-beta,store_g027_B,f11_love,POLE_A,3,d9b55a936e6e5dc9
HuggingFaceH4/zephyr-7b-beta,store_g027_A,f11_love,POLE_B,3,2d150845f445455a
