lineage,arm,group,js_arith,js_geo
01-ai/Yi-1.5-9B,base,f11_beauty,0.11532797426950578,0.21387557210454683
01-ai/Yi-1.5-9B,base,f11_beauty_ugly,0.08688923632074383,0.14987011678658546
01-ai/Yi-1.5-9B,base,f11_captive,0.10676695257582272,0.09191313403160542
01-ai/Yi-1.5-9B,base,f11_captive_b,0.04757062487138153,0.0484476542082298
01-ai/Yi-1.5-9B,base,f11_class,0.07494144458113558,0.07248064826567532
01-ai/Yi-1.5-9B,base,f11_create,0.13190173648528347,0.18822630430191256
01-ai/Yi-1.5-9B,base,f11_desire,0.1006841263039841,0.14824361343428277
01-ai/Yi-1.5-9B,base,f11_faithful,0.06518946675205403,0.09350593337515126
01-ai/Yi-1.5-9B,base,f11_gender,0.05819896900727565,0.05768792186759614
01-ai/Yi-1.5-9B,base,f11_gender_he,0.03572257763571464,0.03164135541852698
01-ai/Yi-1.5-9B,base,f11_gender_she,0.03390332654871525,0.03373863355842699
01-ai/Yi-1.5-9B,base,f11_guilt,0.09136518697806698,0.0992540794318919
01-ai/Yi-1.5-9B,base,f11_holy,0.10658863423459519,0.15004747183622003
01-ai/Yi-1.5-9B,base,f11_holy_b,0.06915688078779031,0.09071436704804275
01-ai/Yi-1.5-9B,base,f11_love,0.19598505567778252,0.3254855121428434
01-ai/Yi-1.5-9B,base,f11_love_he,0.17717006882510813,0.30163109283658407
01-ai/Yi-1.5-9B,base,f11_loyal,0.06719694900067277,0.10346052343681783
01-ai/Yi-1.5-9B,base,f11_parent,0.03099029359537687,0.032295627589218695
01-ai/Yi-1.5-9B,base,f11_reason,0.06275481731331259,0.061237726800080744
01-ai/Yi-1.5-9B,base,f11_sensation,0.08086968478197587,0.1066467185323719
01-ai/Yi-1.5-9B,base,f11_species,0.047393818270238086,0.07683048378172723
01-ai/Yi-1.5-9B,base,f11_trust,0.04917446465738151,0.05251562639457212
01-ai/Yi-1.5-9B,aligned,f11_beauty,0.12291747866444092,0.20037778687279362
01-ai/Yi-1.5-9B,aligned,f11_beauty_ugly,0.06603589474308572,0.1075294194994243
01-ai/Yi-1.5-9B,aligned,f11_captive,0.16597682582802342,0.1419051663255952
01-ai/Yi-1.5-9B,aligned,f11_captive_b,0.06162617703365654,0.07224921942563983
01-ai/Yi-1.5-9B,aligned,f11_class,0.07196013075012991,0.07799006433292159
01-ai/Yi-1.5-9B,aligned,f11_create,0.20155484361204762,0.25734480327242826
01-ai/Yi-1.5-9B,aligned,f11_desire,0.13830581756754212,0.20326864139127007
01-ai/Yi-1.5-9B,aligned,f11_faithful,0.06439915172047084,0.0612524552133124
01-ai/Yi-1.5-9B,aligned,f11_gender,0.08107193864267336,0.07682409812437857
01-ai/Yi-1.5-9B,aligned,f11_gender_he,0.0950620725933057,0.08784864673185382
01-ai/Yi-1.5-9B,aligned,f11_gender_she,0.05441651129880971,0.053999010805621916
01-ai/Yi-1.5-9B,aligned,f11_guilt,0.143022515200885,0.16036917745294238
01-ai/Yi-1.5-9B,aligned,f11_holy,0.13471551736221493,0.18799496897017876
01-ai/Yi-1.5-9B,aligned,f11_holy_b,0.1086253329152721,0.14416750995477834
01-ai/Yi-1.5-9B,aligned,f11_love,0.20765434412666117,0.2874543595313509
01-ai/Yi-1.5-9B,aligned,f11_love_he,0.19525169543412174,0.27611715208772036
01-ai/Yi-1.5-9B,aligned,f11_loyal,0.07296292941283045,0.11659510504753512
01-ai/Yi-1.5-9B,aligned,f11_parent,0.05801732789403962,0.056758267598410767
01-ai/Yi-1.5-9B,aligned,f11_reason,0.07592191824536923,0.06602417652949234
01-ai/Yi-1.5-9B,aligned,f11_sensation,0.097376886093274,0.12116063775454282
01-ai/Yi-1.5-9B,aligned,f11_species,0.06408220211465139,0.08554263507775388
01-ai/Yi-1.5-9B,aligned,f11_trust,0.05977810710811293,0.04964293624080181
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,base,f11_beauty,0.1277072321363482,0.13228926372911015
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,base,f11_beauty_ugly,0.08649295994155046,0.13140975324845255
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,base,f11_captive,0.13626577437627813,0.12160627640895899
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,base,f11_captive_b,0.08390280245115861,0.06815025354716825
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,base,f11_class,0.04818802530208805,0.05144652027018904
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,base,f11_create,0.12290234790874056,0.17244159382139265
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,base,f11_desire,0.19998681567474608,0.2292802914882967
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,base,f11_faithful,0.06908824122144881,0.07227343900826155
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,base,f11_gender,0.03463388493624801,0.03878533057942604
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,base,f11_gender_he,0.07526835678210744,0.0856738954323809
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,base,f11_gender_she,0.0965401725606346,0.10623729114263147
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,base,f11_guilt,0.06900645188875121,0.07928206615296832
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,base,f11_holy,0.19360913424115028,0.2107328108416167
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,base,f11_holy_b,0.27199221403270557,0.30834494424373937
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,base,f11_love,0.17590425380635777,0.2926783206328042
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,base,f11_love_he,0.20307440566413373,0.31935950488565057
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,base,f11_loyal,0.07597630836841965,0.09946245107121651
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,base,f11_parent,0.0631020031186667,0.06475107536623169
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,base,f11_sensation,0.11417896437608302,0.16314202467313618
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,base,f11_species,0.08239905001648598,0.08370553059353947
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,base,f11_trust,0.05505971755112152,0.08840653661612077
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,aligned,f11_beauty,0.15750042231957523,0.15949869422281523
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,aligned,f11_beauty_ugly,0.11042244818465283,0.15822589628873895
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,aligned,f11_captive,0.15023012089802884,0.12468332707094705
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,aligned,f11_captive_b,0.0804697613227345,0.05936172055410355
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,aligned,f11_class,0.06316914481239264,0.06542696112138505
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,aligned,f11_create,0.1596576151130512,0.19648295912442262
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,aligned,f11_desire,0.21247304959167337,0.22973607030886922
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,aligned,f11_faithful,0.0629328596078371,0.07382882093292568
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,aligned,f11_gender,0.043330117975202476,0.04753306303473655
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,aligned,f11_gender_he,0.06162530905803182,0.06468571691717524
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,aligned,f11_gender_she,0.0835409095088134,0.08393718483803675
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,aligned,f11_guilt,0.081881152144606,0.09931600054312939
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,aligned,f11_holy,0.20459390339852934,0.20130010329975587
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,aligned,f11_holy_b,0.239757216434853,0.3196853892703859
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,aligned,f11_love,0.20879516665278985,0.31003751808501484
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,aligned,f11_love_he,0.23508184460201942,0.3492957256622997
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,aligned,f11_loyal,0.07276685035370946,0.09570502615510879
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,aligned,f11_parent,0.07904057990333202,0.08059809039810573
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,aligned,f11_sensation,0.10541814435964653,0.14582965536859788
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,aligned,f11_species,0.09266489350638585,0.09192910646491123
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,aligned,f11_trust,0.06690985631066165,0.10975939146911781
BAAI/Aquila2-7B,base,f11_beauty,0.20642695393633154,0.1868514530795073
BAAI/Aquila2-7B,base,f11_beauty_ugly,0.2152053725943952,0.27954745280413945
BAAI/Aquila2-7B,base,f11_captive,0.2843860584823669,0.26620825764320233
